dataset,error_category,failures
AirPassengers,FORECAST_LENGTH_MISMATCH,4
AirPassengers,FORECAST_NUMPY_WRAPPED,1
AirPassengers,FORECAST_PARSE_FAILURE,6
AirPassengers,MODEL_RETURNED_ERROR,3
AirPassengers,SCRIPT_KEY_ERROR,2
AirPassengers,SCRIPT_NAME_ERROR,1
AirPassengers,SCRIPT_SYNTAX_ERROR,1
AirPassengers,SCRIPT_TORCH_ERROR,6
AirPassengers,SCRIPT_TYPE_ERROR,1
AirPassengers,SCRIPT_VALUE_ERROR,2
ETTh1,FORECAST_NUMPY_WRAPPED,1
ETTh1,MODEL_RETURNED_ERROR,3
ETTh1,SCRIPT_ATTRIBUTE_ERROR,7
ETTh1,SCRIPT_EMPTY_OUTPUT,1
ETTh1,SCRIPT_KEY_ERROR,2
ETTh1,SCRIPT_MODEL_WARNING_OUTPUT,4
ETTh1,SCRIPT_RUNTIME_ERROR,1
ETTh1,SCRIPT_SYNTAX_ERROR,6
ETTh1,SCRIPT_TORCH_ERROR,2
ETTh1,SCRIPT_TYPE_ERROR,1
ETTh1,SCRIPT_VALUE_ERROR,6
ETTh1,TIMEOUT,17
ILINet,FORECAST_LENGTH_MISMATCH,5
ILINet,FORECAST_NUMPY_WRAPPED,3
ILINet,FORECAST_PARSE_FAILURE,29
ILINet,MODEL_RETURNED_ERROR,5
ILINet,SCRIPT_ATTRIBUTE_ERROR,1
ILINet,SCRIPT_KEY_ERROR,1
ILINet,SCRIPT_MODEL_WARNING_OUTPUT,7
ILINet,SCRIPT_RUNTIME_ERROR,6
ILINet,SCRIPT_SKLEARN_ERROR,1
ILINet,SCRIPT_STATSMODELS_WARNING,3
ILINet,SCRIPT_SYNTAX_ERROR,6
ILINet,SCRIPT_TORCH_ERROR,2
ILINet,SCRIPT_TORCH_WARNING,3
ILINet,SCRIPT_TYPE_ERROR,7
ILINet,SCRIPT_VALUE_ERROR,4
ILINet,TIMEOUT,33
ILINet,UNSTRUCTURED_TEXT_OUTPUT,1
IceCreamHeater,FORECAST_LENGTH_MISMATCH,4
IceCreamHeater,FORECAST_NUMPY_WRAPPED,3
IceCreamHeater,FORECAST_PARSE_FAILURE,11
IceCreamHeater,MODEL_RETURNED_ERROR,6
IceCreamHeater,SCRIPT_KEY_ERROR,1
IceCreamHeater,SCRIPT_SKLEARN_ERROR,1
IceCreamHeater,SCRIPT_STATSMODELS_WARNING,3
IceCreamHeater,SCRIPT_SYNTAX_ERROR,1
IceCreamHeater,SCRIPT_TORCH_ERROR,1
IceCreamHeater,SCRIPT_VALUE_ERROR,1
IceCreamHeater,UNSTRUCTURED_TEXT_OUTPUT,4
Temperature,FORECAST_LENGTH_MISMATCH,13
Temperature,FORECAST_NUMPY_WRAPPED,2
Temperature,FORECAST_PARSE_FAILURE,10
Temperature,NO_FORECAST_LIST_FOUND,1
Temperature,SCRIPT_MISSING_IMPORT,1
Temperature,SCRIPT_MODEL_WARNING_OUTPUT,5
Temperature,SCRIPT_SYNTAX_ERROR,4
Temperature,SCRIPT_TORCH_ERROR,2
Temperature,SCRIPT_TYPE_ERROR,1
Temperature,SCRIPT_VALUE_ERROR,16
Temperature,TIMEOUT,97
Temperature,UNSTRUCTURED_TEXT_OUTPUT,2
