llm_version,error_category,failures
ClaudeOpus47,FORECAST_PARSE_FAILURE,10
ClaudeOpus47,NO_FORECAST_LIST_FOUND,1
ClaudeOpus47,SCRIPT_ATTRIBUTE_ERROR,4
ClaudeOpus47,SCRIPT_MODEL_WARNING_OUTPUT,3
ClaudeOpus47,SCRIPT_TYPE_ERROR,1
ClaudeOpus47,TIMEOUT,24
DeepSeekV4Pro,FORECAST_LENGTH_MISMATCH,5
DeepSeekV4Pro,FORECAST_NUMPY_WRAPPED,5
DeepSeekV4Pro,FORECAST_PARSE_FAILURE,9
DeepSeekV4Pro,MODEL_RETURNED_ERROR,2
DeepSeekV4Pro,SCRIPT_ATTRIBUTE_ERROR,4
DeepSeekV4Pro,SCRIPT_EMPTY_OUTPUT,1
DeepSeekV4Pro,SCRIPT_KEY_ERROR,6
DeepSeekV4Pro,SCRIPT_MISSING_IMPORT,1
DeepSeekV4Pro,SCRIPT_MODEL_WARNING_OUTPUT,7
DeepSeekV4Pro,SCRIPT_NAME_ERROR,1
DeepSeekV4Pro,SCRIPT_RUNTIME_ERROR,5
DeepSeekV4Pro,SCRIPT_SKLEARN_ERROR,1
DeepSeekV4Pro,SCRIPT_STATSMODELS_WARNING,2
DeepSeekV4Pro,SCRIPT_SYNTAX_ERROR,2
DeepSeekV4Pro,SCRIPT_TORCH_ERROR,4
DeepSeekV4Pro,SCRIPT_TORCH_WARNING,2
DeepSeekV4Pro,SCRIPT_TYPE_ERROR,3
DeepSeekV4Pro,SCRIPT_VALUE_ERROR,11
DeepSeekV4Pro,TIMEOUT,34
GPT55,FORECAST_PARSE_FAILURE,2
GPT55,SCRIPT_STATSMODELS_WARNING,1
GPT55,SCRIPT_SYNTAX_ERROR,12
GPT55,TIMEOUT,24
Gemini31Pro,FORECAST_LENGTH_MISMATCH,3
Gemini31Pro,FORECAST_NUMPY_WRAPPED,3
Gemini31Pro,FORECAST_PARSE_FAILURE,13
Gemini31Pro,SCRIPT_MODEL_WARNING_OUTPUT,1
Gemini31Pro,SCRIPT_TORCH_ERROR,3
Gemini31Pro,SCRIPT_TYPE_ERROR,1
Gemini31Pro,SCRIPT_VALUE_ERROR,8
Gemini31Pro,TIMEOUT,20
Grok43,FORECAST_LENGTH_MISMATCH,3
Grok43,FORECAST_NUMPY_WRAPPED,2
Grok43,FORECAST_PARSE_FAILURE,10
Grok43,MODEL_RETURNED_ERROR,12
Grok43,SCRIPT_MODEL_WARNING_OUTPUT,3
Grok43,SCRIPT_TORCH_ERROR,5
Grok43,SCRIPT_TYPE_ERROR,5
Grok43,SCRIPT_VALUE_ERROR,8
Grok43,TIMEOUT,23
Grok43,UNSTRUCTURED_TEXT_OUTPUT,1
KimiK26,FORECAST_LENGTH_MISMATCH,15
KimiK26,FORECAST_PARSE_FAILURE,12
KimiK26,MODEL_RETURNED_ERROR,3
KimiK26,SCRIPT_MODEL_WARNING_OUTPUT,2
KimiK26,SCRIPT_RUNTIME_ERROR,2
KimiK26,SCRIPT_SKLEARN_ERROR,1
KimiK26,SCRIPT_STATSMODELS_WARNING,3
KimiK26,SCRIPT_SYNTAX_ERROR,4
KimiK26,SCRIPT_TORCH_ERROR,1
KimiK26,SCRIPT_TORCH_WARNING,1
KimiK26,SCRIPT_VALUE_ERROR,2
KimiK26,TIMEOUT,22
KimiK26,UNSTRUCTURED_TEXT_OUTPUT,6
