scenario,error_category,failures
S1,FORECAST_LENGTH_MISMATCH,3
S1,FORECAST_NUMPY_WRAPPED,1
S1,FORECAST_PARSE_FAILURE,19
S1,MODEL_RETURNED_ERROR,2
S1,SCRIPT_ATTRIBUTE_ERROR,3
S1,SCRIPT_EMPTY_OUTPUT,1
S1,SCRIPT_KEY_ERROR,1
S1,SCRIPT_MODEL_WARNING_OUTPUT,3
S1,SCRIPT_RUNTIME_ERROR,1
S1,SCRIPT_STATSMODELS_WARNING,3
S1,SCRIPT_SYNTAX_ERROR,5
S1,SCRIPT_TORCH_ERROR,5
S1,SCRIPT_TORCH_WARNING,2
S1,SCRIPT_TYPE_ERROR,6
S1,SCRIPT_VALUE_ERROR,5
S1,TIMEOUT,17
S1,UNSTRUCTURED_TEXT_OUTPUT,2
S2,FORECAST_LENGTH_MISMATCH,2
S2,FORECAST_NUMPY_WRAPPED,2
S2,FORECAST_PARSE_FAILURE,5
S2,MODEL_RETURNED_ERROR,1
S2,SCRIPT_ATTRIBUTE_ERROR,1
S2,SCRIPT_KEY_ERROR,1
S2,SCRIPT_MISSING_IMPORT,1
S2,SCRIPT_MODEL_WARNING_OUTPUT,8
S2,SCRIPT_RUNTIME_ERROR,1
S2,SCRIPT_STATSMODELS_WARNING,1
S2,SCRIPT_SYNTAX_ERROR,5
S2,SCRIPT_TORCH_WARNING,1
S2,SCRIPT_TYPE_ERROR,2
S2,SCRIPT_VALUE_ERROR,9
S2,TIMEOUT,55
S2,UNSTRUCTURED_TEXT_OUTPUT,1
S3,FORECAST_LENGTH_MISMATCH,9
S3,FORECAST_NUMPY_WRAPPED,4
S3,FORECAST_PARSE_FAILURE,20
S3,MODEL_RETURNED_ERROR,3
S3,SCRIPT_ATTRIBUTE_ERROR,2
S3,SCRIPT_KEY_ERROR,4
S3,SCRIPT_MODEL_WARNING_OUTPUT,4
S3,SCRIPT_RUNTIME_ERROR,3
S3,SCRIPT_SKLEARN_ERROR,2
S3,SCRIPT_STATSMODELS_WARNING,1
S3,SCRIPT_SYNTAX_ERROR,7
S3,SCRIPT_TORCH_ERROR,4
S3,SCRIPT_TYPE_ERROR,2
S3,SCRIPT_VALUE_ERROR,10
S3,TIMEOUT,54
S3,UNSTRUCTURED_TEXT_OUTPUT,4
S4,FORECAST_LENGTH_MISMATCH,12
S4,FORECAST_NUMPY_WRAPPED,3
S4,FORECAST_PARSE_FAILURE,12
S4,MODEL_RETURNED_ERROR,11
S4,NO_FORECAST_LIST_FOUND,1
S4,SCRIPT_ATTRIBUTE_ERROR,2
S4,SCRIPT_MODEL_WARNING_OUTPUT,1
S4,SCRIPT_NAME_ERROR,1
S4,SCRIPT_RUNTIME_ERROR,2
S4,SCRIPT_STATSMODELS_WARNING,1
S4,SCRIPT_SYNTAX_ERROR,1
S4,SCRIPT_TORCH_ERROR,4
S4,SCRIPT_VALUE_ERROR,5
S4,TIMEOUT,21
