dataset,scenario,n_recommendations,unique_recommendations,top_recommendation,top_recommendation_share,consensus_score,entropy_bits,normalized_entropy,recommendation_diversity
AirPassengers,S1,30,2,Statistical :: ExponentialSmoothing,0.5666666666666667,0.5666666666666667,0.9871377743721863,0.9871377743721863,2
AirPassengers,S2,30,2,Statistical :: ExponentialSmoothing,0.7333333333333333,0.7333333333333333,0.8366407419411672,0.8366407419411672,2
AirPassengers,S3,30,2,Statistical :: SARIMA,0.5,0.5,1.0,1.0,2
AirPassengers,S4,30,2,Statistical :: ExponentialSmoothing,0.7666666666666667,0.7666666666666667,0.783776947484701,0.783776947484701,2
ETTh1,S1,30,4,Statistical :: SARIMA,0.7,0.7,1.2486092328524885,0.6243046164262442,4
ETTh1,S2,30,4,Statistical :: SARIMA,0.8,0.8,0.972253928364927,0.4861269641824635,4
ETTh1,S3,30,4,Statistical :: SARIMA,0.7666666666666667,0.7666666666666667,1.1054930959648086,0.5527465479824043,4
ETTh1,S4,30,5,Statistical :: SARIMA,0.6,0.6,1.6627801778601177,0.7161204438334599,5
ILINet,S1,30,2,Statistical :: SARIMA,0.9333333333333333,0.9333333333333333,0.35335933502142136,0.35335933502142136,2
ILINet,S2,30,3,Statistical :: SARIMA,0.9,0.9,0.5608251769947302,0.35384129071795417,3
ILINet,S3,30,2,Statistical :: SARIMA,0.9,0.9,0.4689955935892812,0.4689955935892812,2
ILINet,S4,30,3,Statistical :: SARIMA,0.8333333333333334,0.8333333333333334,0.8118475207241325,0.5122187561880757,3
IceCreamHeater,S1,30,3,Statistical :: SARIMA,0.6,0.6,1.136477334576122,0.7170373646436595,3
IceCreamHeater,S2,30,4,Statistical :: SARIMA,0.5666666666666667,0.5666666666666667,1.3222033920663172,0.6611016960331586,4
IceCreamHeater,S3,30,5,Statistical :: SARIMA,0.5,0.5,1.6876396827696898,0.726826849843323,5
IceCreamHeater,S4,30,3,Statistical :: SARIMA,0.6,0.6,1.136477334576122,0.7170373646436595,3
Temperature,S1,30,3,Statistical :: SARIMA,0.5666666666666667,0.5666666666666667,1.4036736364187659,0.8856194615204436,3
Temperature,S2,30,3,Statistical :: SARIMA,0.7,0.7,1.0322683996633863,0.6512888470192232,3
Temperature,S3,30,3,Statistical :: SARIMA,0.4666666666666667,0.4666666666666667,1.2866926683547546,0.8118126881672664,3
Temperature,S4,30,3,Statistical :: SARIMA,0.43333333333333335,0.43333333333333335,1.552389217314685,0.9794485463273419,3
