dataset,scenario,baseline_model,model_votes,model_pct,hp_votes,hp_pct,hp_selection_method
AirPassengers,S1,ExponentialSmoothing,17,56.7,10,33.3,exact
AirPassengers,S2,ExponentialSmoothing,22,73.3,16,53.3,exact
AirPassengers,S3,SARIMA,15,50.0,4,13.3,exact
AirPassengers,S4,ExponentialSmoothing,23,76.7,12,40.0,exact
ETTh1,S1,SARIMA,21,70.0,4,13.3,exact
ETTh1,S2,SARIMA,24,80.0,6,20.0,exact
ETTh1,S3,SARIMA,23,76.7,10,33.3,exact
ETTh1,S4,SARIMA,18,60.0,5,16.7,exact
ILINet,S1,SARIMA,28,93.3,7,23.3,exact
ILINet,S2,SARIMA,27,90.0,5,16.7,exact
ILINet,S3,SARIMA,27,90.0,8,26.7,exact
ILINet,S4,SARIMA,25,83.3,5,16.7,exact
IceCreamHeater,S1,SARIMA,18,60.0,13,43.3,exact
IceCreamHeater,S2,SARIMA,17,56.7,10,33.3,exact
IceCreamHeater,S3,SARIMA,15,50.0,12,40.0,exact
IceCreamHeater,S4,SARIMA,18,60.0,13,43.3,exact
Temperature,S1,SARIMA,17,56.7,6,20.0,exact
Temperature,S2,SARIMA,21,70.0,8,26.7,exact
Temperature,S3,SARIMA,14,46.7,5,16.7,exact
Temperature,S4,SARIMA,13,43.3,5,16.7,exact
