dataset,model,scenario,horizon_or_block,forecast_length,forecast_output_file,mae,rmse,smape,mase,r2
AirPassengers,Naive (Flat),S1,1,29,results/part0-traditional-baselines/forecast-outputs/airpassengers__S1__naive-flat.csv,81.44827586206897,93.13394136662936,18.057443575330144,3.867181777707564,-0.4209100492493396
AirPassengers,Naive (Seasonal),S1,1,29,results/part0-traditional-baselines/forecast-outputs/airpassengers__S1__naive-seasonal.csv,64.75862068965517,75.23388818235092,15.43044131251834,3.0747533355354806,0.0727910062494688
AirPassengers,Auto-ARIMA,S1,1,29,results/part0-traditional-baselines/forecast-outputs/airpassengers__S1__auto-arima.csv,28.5474087597444,35.08281305366807,6.345217060526792,1.3554371506084386,0.7983772938713357
AirPassengers,Naive (Flat),S2,1,29,results/part0-traditional-baselines/forecast-outputs/airpassengers__S2__naive-flat.csv,44.72413793103448,52.4913786024544,10.092925118689587,2.123511755159488,0.5486363519492873
AirPassengers,Naive (Seasonal),S2,1,29,results/part0-traditional-baselines/forecast-outputs/airpassengers__S2__naive-seasonal.csv,41.310344827586206,46.08163670464961,9.694491822421494,1.9614241192606527,0.6521384622456794
AirPassengers,Auto-ARIMA,S2,1,29,results/part0-traditional-baselines/forecast-outputs/airpassengers__S2__auto-arima.csv,15.16760177383131,18.93487539786001,3.4625528039922386,0.720161017166501,0.941267900739009
AirPassengers,Naive (Flat),S3,12,29,results/part0-traditional-baselines/forecast-outputs/airpassengers__S3__naive-flat.csv,44.72413793103448,52.4913786024544,10.092925118689587,2.123511755159488,0.5486363519492873
AirPassengers,Naive (Seasonal),S3,12,29,results/part0-traditional-baselines/forecast-outputs/airpassengers__S3__naive-seasonal.csv,41.310344827586206,46.08163670464961,9.694491822421494,1.9614241192606527,0.6521384622456794
AirPassengers,Auto-ARIMA,S3,12,29,results/part0-traditional-baselines/forecast-outputs/airpassengers__S3__auto-arima.csv,15.16760177383131,18.93487539786001,3.4625528039922386,0.720161017166501,0.941267900739009
AirPassengers,Naive (Flat),S4,12,29,results/part0-traditional-baselines/forecast-outputs/airpassengers__S4__naive-flat.csv,107.6206896551724,122.4377392800112,22.80168846507648,5.109853652931967,-1.455733445840921
AirPassengers,Naive (Seasonal),S4,12,29,results/part0-traditional-baselines/forecast-outputs/airpassengers__S4__naive-seasonal.csv,41.310344827586206,46.08163670464961,9.694491822421494,1.9614241192606527,0.6521384622456794
AirPassengers,Auto-ARIMA,S4,12,29,results/part0-traditional-baselines/forecast-outputs/airpassengers__S4__auto-arima.csv,22.325147804934456,25.08926573557569,5.08441107259482,1.0600028528790204,0.8968838893690791
ETTh1,Naive (Flat),S1,1,3484,results/part0-traditional-baselines/forecast-outputs/etth1__S1__naive-flat.csv,4.247947549197187,5.116656022307689,66.30654366612883,6.477781799755251,-1.204730366164937
ETTh1,Naive (Seasonal),S1,1,3484,results/part0-traditional-baselines/forecast-outputs/etth1__S1__naive-seasonal.csv,5.119685739066015,6.039597566626374,90.2045398611263,7.80711313331917,-2.071843198441824
ETTh1,Auto-ARIMA,S1,1,3484,results/part0-traditional-baselines/forecast-outputs/etth1__S1__auto-arima.csv,4.247947549197187,5.116656022307689,66.30654366612883,6.477781799755251,-1.204730366164937
ETTh1,Naive (Flat),S2,1,3484,results/part0-traditional-baselines/forecast-outputs/etth1__S2__naive-flat.csv,0.4480861066171067,0.6541843541173432,9.45681506947285,0.6832956369049432,0.9639601191392212
ETTh1,Naive (Seasonal),S2,1,3484,results/part0-traditional-baselines/forecast-outputs/etth1__S2__naive-seasonal.csv,1.713828071769518,2.23652009743072,30.49761664828341,2.613451358013197,0.5787609246942689
ETTh1,Auto-ARIMA,S2,1,3484,results/part0-traditional-baselines/forecast-outputs/etth1__S2__auto-arima.csv,0.4484463071574779,0.6543876234001432,9.8452736675425,0.6838449140505896,0.9639377189126449
ETTh1,Naive (Flat),S3,24,3484,results/part0-traditional-baselines/forecast-outputs/etth1__S3__naive-flat.csv,0.4480861066171067,0.6541843541173432,9.45681506947285,0.6832956369049432,0.9639601191392212
ETTh1,Naive (Seasonal),S3,24,3484,results/part0-traditional-baselines/forecast-outputs/etth1__S3__naive-seasonal.csv,1.713828071769518,2.23652009743072,30.49761664828341,2.613451358013197,0.5787609246942689
ETTh1,Auto-ARIMA,S3,24,3484,results/part0-traditional-baselines/forecast-outputs/etth1__S3__auto-arima.csv,0.4484463071574779,0.6543876234001432,9.8452736675425,0.6838449140505896,0.9639377189126449
ETTh1,Naive (Flat),S4,168,3484,results/part0-traditional-baselines/forecast-outputs/etth1__S4__naive-flat.csv,2.8371730612764066,3.779273522429892,42.0994286723286,4.326463028613792,-0.2028173673079605
ETTh1,Naive (Seasonal),S4,168,3484,results/part0-traditional-baselines/forecast-outputs/etth1__S4__naive-seasonal.csv,2.6283685383208955,3.495040078460196,39.86983801257609,4.008052755689539,-0.0286967341555399
ETTh1,Auto-ARIMA,S4,168,3484,results/part0-traditional-baselines/forecast-outputs/etth1__S4__auto-arima.csv,2.851501145928767,3.793769486803528,42.17991180599452,4.348312216936268,-0.2120622323747536
ILINet,Naive (Flat),S1,1,261,results/part0-traditional-baselines/forecast-outputs/ilinet__S1__naive-flat.csv,1.141756724137931,1.8371106842512896,50.61682338855105,5.068521107276973,-0.449083263165521
ILINet,Naive (Seasonal),S1,1,261,results/part0-traditional-baselines/forecast-outputs/ilinet__S1__naive-seasonal.csv,0.8150777471264369,1.2118336420180706,35.49020960869342,3.618317876342133,0.3694657176376653
ILINet,Auto-ARIMA,S1,1,261,results/part0-traditional-baselines/forecast-outputs/ilinet__S1__auto-arima.csv,0.997451075510474,1.5720976211960616,42.785161369000974,4.42791509156044,-0.0611620636061041
ILINet,Naive (Flat),S2,1,261,results/part0-traditional-baselines/forecast-outputs/ilinet__S2__naive-flat.csv,0.2242164137931034,0.3731519639317301,8.739191432323775,0.9953483100932482,0.9402147350972008
ILINet,Naive (Seasonal),S2,1,261,results/part0-traditional-baselines/forecast-outputs/ilinet__S2__naive-seasonal.csv,0.9830228084291186,1.566721894915311,37.67433971815764,4.363864690369683,-0.0539172671879457
ILINet,Auto-ARIMA,S2,1,261,results/part0-traditional-baselines/forecast-outputs/ilinet__S2__auto-arima.csv,0.18059017570722988,0.3220763110091234,6.9712618856399216,0.8016813897286714,0.955461020602195
ILINet,Naive (Flat),S3,4,261,results/part0-traditional-baselines/forecast-outputs/ilinet__S3__naive-flat.csv,0.2242164137931034,0.3731519639317301,8.739191432323775,0.9953483100932482,0.9402147350972008
ILINet,Naive (Seasonal),S3,4,261,results/part0-traditional-baselines/forecast-outputs/ilinet__S3__naive-seasonal.csv,0.9830228084291186,1.566721894915311,37.67433971815764,4.363864690369683,-0.0539172671879457
ILINet,Auto-ARIMA,S3,4,261,results/part0-traditional-baselines/forecast-outputs/ilinet__S3__auto-arima.csv,0.18059017570722988,0.3220763110091234,6.9712618856399216,0.8016813897286714,0.955461020602195
ILINet,Naive (Flat),S4,52,261,results/part0-traditional-baselines/forecast-outputs/ilinet__S4__naive-flat.csv,1.0275750383141764,1.75539955560925,43.68751516260277,4.5616423016372405,-0.3230451426083929
ILINet,Naive (Seasonal),S4,52,261,results/part0-traditional-baselines/forecast-outputs/ilinet__S4__naive-seasonal.csv,0.9830228084291186,1.566721894915311,37.67433971815764,4.363864690369683,-0.0539172671879457
ILINet,Auto-ARIMA,S4,52,261,results/part0-traditional-baselines/forecast-outputs/ilinet__S4__auto-arima.csv,0.926241761977118,1.504098342891279,39.04432025447509,4.111800545398226,0.0286513071374256
IceCreamHeater,Naive (Flat),S1,1,40,results/part0-traditional-baselines/forecast-outputs/icecreamheater__S1__naive-flat.csv,16.975,23.47924615484918,31.55833714450574,3.954117210682493,-0.8519708317323538
IceCreamHeater,Naive (Seasonal),S1,1,40,results/part0-traditional-baselines/forecast-outputs/icecreamheater__S1__naive-seasonal.csv,12.325,14.687579787017327,22.703455845330343,2.8709569732937683,0.2752865490445566
IceCreamHeater,Auto-ARIMA,S1,1,40,results/part0-traditional-baselines/forecast-outputs/icecreamheater__S1__auto-arima.csv,7.133823335627705,9.511379835683252,12.619000816939066,1.6617362962812308,0.6960844682841762
IceCreamHeater,Naive (Flat),S2,1,40,results/part0-traditional-baselines/forecast-outputs/icecreamheater__S2__naive-flat.csv,9.675,12.131570384744096,16.335334378472538,2.2536721068249257,0.5055756071648285
IceCreamHeater,Naive (Seasonal),S2,1,40,results/part0-traditional-baselines/forecast-outputs/icecreamheater__S2__naive-seasonal.csv,5.475,7.98905501295366,9.9868157724924,1.275333827893175,0.7855842577020227
