Month,Passengers,actual,forecast
1958-08,505,505.0,490.3379107897934
1958-09,404,404.0,427.8830430177261
1958-10,359,359.0,370.7714129698707
1958-11,310,310.0,328.79427213494245
1958-12,337,337.0,359.78959112442766
1959-01,360,360.0,363.7905496834726
1959-02,342,342.0,341.7903533934964
1959-03,406,406.0,385.79039358899075
1959-04,396,396.0,371.79038535791454
1959-05,420,420.0,386.7903870434421
1959-06,472,472.0,458.79038669828645
1959-07,548,548.0,514.7903867689661
1959-08,559,559.0,549.8761158084313
1959-09,463,463.0,449.76040849729185
1959-10,407,407.0,399.63987621178427
1959-11,362,362.0,347.0820989432492
1959-12,405,405.0,371.61013345475317
1960-01,417,417.0,392.89259665716946
1960-02,391,391.0,373.69924154570765
1960-03,419,419.0,436.8700910878802
1960-04,461,461.0,426.2939922593652
1960-05,472,472.0,449.89371525646044
1960-06,535,535.0,501.6156003374153
1960-07,622,622.0,577.4223643842274
1960-08,606,606.0,629.5992952951275
1960-09,508,508.0,534.6506400669269
1960-10,461,461.0,478.3256116022079
1960-11,390,390.0,433.42609576849776
1960-12,432,432.0,476.3950305887643
