Month,Heater,Ice cream,actual,forecast
2017-03,25,44,44.0,50.87929893272746
2017-04,20,55,55.0,50.71657335347169
2017-05,21,60,60.0,60.57672114495133
2017-06,20,74,74.0,67.30708787396756
2017-07,19,89,89.0,78.84452765648396
2017-08,19,64,64.0,68.50848995800462
2017-09,23,48,48.0,54.82520561194667
2017-10,33,40,40.0,46.66432707982332
2017-11,43,36,36.0,46.87168828070891
2017-12,56,35,35.0,50.77472156192089
2018-01,56,40,40.0,30.498739446893527
2018-02,33,42,42.0,42.9577673496354
2018-03,27,51,51.0,47.1296009560875
2018-04,24,56,56.0,57.78279096246742
2018-05,22,71,71.0,60.80661926584072
2018-06,21,79,79.0,75.98544168771488
2018-07,21,91,91.0,85.02666482436895
2018-08,21,66,66.0,71.5107544312828
2018-09,24,49,49.0,54.91072519669406
2018-10,39,39,39.0,45.281139507045566
2018-11,53,34,34.0,41.641998571152655
2018-12,48,36,36.0,41.64785039912373
2019-01,49,39,39.0,35.78002968291178
2019-02,39,42,42.0,42.68265363000995
2019-03,30,53,53.0,49.16578346481879
2019-04,24,57,57.0,59.1790609079102
2019-05,23,65,65.0,65.53527968584493
2019-06,22,82,82.0,73.62815495348738
2019-07,21,100,100.0,89.9521712620085
2019-08,21,68,68.0,76.63734068761732
2019-09,24,51,51.0,54.657268553693946
2019-10,40,40,40.0,44.83239887521228
2019-11,56,36,36.0,39.91930972237355
2019-12,46,36,36.0,41.567941611220505
2020-01,41,43,43.0,37.90468949872834
2020-02,34,45,45.0,46.086631448424455
2020-03,25,44,44.0,53.74067638019528
2020-04,25,53,53.0,52.55551822982555
2020-05,27,70,70.0,63.229305326528646
2020-06,24,74,74.0,81.00470438662134
