Date,Daily minimum temperatures,actual,forecast
1/1/1989,14.3,14.3,14.27937019359511
1/2/1989,17.4,17.4,14.43128327449407
1/3/1989,18.5,18.5,14.488126881995546
1/4/1989,16.8,16.8,14.465689974445192
1/5/1989,11.5,11.5,14.44342262514776
1/6/1989,9.5,9.5,14.421323552732314
1/7/1989,12.2,12.2,14.39939148551139
1/8/1989,15.7,15.7,14.37762516140781
1/9/1989,16.3,16.3,14.35602332788205
1/10/1989,13.6,13.6,14.334584741860178
1/11/1989,12.6,12.6,14.313308169662305
1/12/1989,13.8,13.8,14.292192386931603
1/13/1989,12.1,12.1,14.271236178563848
1/14/1989,13.4,13.4,14.250438338637498
1/15/1989,17.3,17.3,14.229797670344292
1/16/1989,19.4,19.4,14.20931298592039
1/17/1989,16.6,16.6,14.188983106578014
1/18/1989,13.9,13.9,14.168806862437622
1/19/1989,13.1,13.1,14.148783092460581
1/20/1989,16.0,16.0,14.128910644382362
1/21/1989,14.5,14.5,14.109188374646225
1/22/1989,15.0,15.0,14.089615148337423
1/23/1989,12.6,12.6,14.070189839117884
1/24/1989,12.5,12.5,14.050911329161403
1/25/1989,15.2,15.2,14.031778509089316
1/26/1989,16.2,16.2,14.012790277906653
1/27/1989,16.5,16.5,13.993945542938794
1/28/1989,20.1,20.1,13.975243219768583
1/29/1989,20.6,20.6,13.956682232173927
1/30/1989,16.9,16.9,13.938261512065864
1/31/1989,16.5,16.5,13.919979999427104
2/1/1989,16.1,16.1,13.901836642251025
2/2/1989,14.4,14.4,13.883830396481141
2/3/1989,16.3,16.3,13.865960225951017
2/4/1989,15.7,15.7,13.848225102324648
2/5/1989,14.2,14.2,13.830624005037276
2/6/1989,13.2,13.2,13.81315592123667
2/7/1989,16.8,16.8,13.795819845724838
2/8/1989,18.5,18.5,13.778614780900181
2/9/1989,16.7,16.7,13.761539736700092
2/10/1989,15.3,15.3,13.744593730543976
2/11/1989,15.9,15.9,13.727775787276713
2/12/1989,15.2,15.2,13.711084939112538
2/13/1989,17.5,17.5,13.694520225579357
2/14/1989,18.3,18.3,13.678080693463466
2/15/1989,19.4,19.4,13.661765396754712
2/16/1989,19.4,19.4,13.645573396592043
2/17/1989,19.5,19.5,13.629503761209492
2/18/1989,20.5,20.5,13.613555565882544
2/19/1989,15.7,15.7,13.597727892874941
2/20/1989,15.0,15.0,13.582019831385857
2/21/1989,16.1,16.1,13.56643047749749
2/22/1989,14.3,14.3,13.550958934123054
2/23/1989,13.0,13.0,13.53560431095514
2/24/1989,16.2,16.2,13.5203657244145
2/25/1989,17.7,17.7,13.505242297599192
2/26/1989,13.2,13.2,13.490233160234123
2/27/1989,15.8,15.8,13.475337448620964
2/28/1989,18.5,18.5,13.460554305588456
3/1/1989,20.4,20.4,13.44588288044308
3/2/1989,22.0,22.0,13.4313223289201
3/3/1989,19.7,19.7,13.416871813134989
3/4/1989,19.6,19.6,13.402530501535207
