Date,Daily minimum temperatures,actual,forecast
1/1/1989,14.3,14.3,14.1
1/2/1989,17.4,17.4,14.1
1/3/1989,18.5,18.5,14.1
1/4/1989,16.8,16.8,14.1
1/5/1989,11.5,11.5,14.1
1/6/1989,9.5,9.5,14.1
1/7/1989,12.2,12.2,14.1
1/8/1989,15.7,15.7,14.1
1/9/1989,16.3,16.3,14.1
1/10/1989,13.6,13.6,14.1
1/11/1989,12.6,12.6,14.1
1/12/1989,13.8,13.8,14.1
1/13/1989,12.1,12.1,14.1
1/14/1989,13.4,13.4,14.1
1/15/1989,17.3,17.3,14.1
1/16/1989,19.4,19.4,14.1
1/17/1989,16.6,16.6,14.1
1/18/1989,13.9,13.9,14.1
1/19/1989,13.1,13.1,14.1
1/20/1989,16.0,16.0,14.1
1/21/1989,14.5,14.5,14.1
1/22/1989,15.0,15.0,14.1
1/23/1989,12.6,12.6,14.1
1/24/1989,12.5,12.5,14.1
1/25/1989,15.2,15.2,14.1
1/26/1989,16.2,16.2,14.1
1/27/1989,16.5,16.5,14.1
1/28/1989,20.1,20.1,14.1
1/29/1989,20.6,20.6,14.1
1/30/1989,16.9,16.9,14.1
1/31/1989,16.5,16.5,14.1
2/1/1989,16.1,16.1,14.1
2/2/1989,14.4,14.4,14.1
2/3/1989,16.3,16.3,14.1
2/4/1989,15.7,15.7,14.1
2/5/1989,14.2,14.2,14.1
2/6/1989,13.2,13.2,14.1
2/7/1989,16.8,16.8,14.1
2/8/1989,18.5,18.5,14.1
2/9/1989,16.7,16.7,14.1
2/10/1989,15.3,15.3,14.1
2/11/1989,15.9,15.9,14.1
2/12/1989,15.2,15.2,14.1
2/13/1989,17.5,17.5,14.1
2/14/1989,18.3,18.3,14.1
2/15/1989,19.4,19.4,14.1
2/16/1989,19.4,19.4,14.1
2/17/1989,19.5,19.5,14.1
2/18/1989,20.5,20.5,14.1
2/19/1989,15.7,15.7,14.1
2/20/1989,15.0,15.0,14.1
2/21/1989,16.1,16.1,14.1
2/22/1989,14.3,14.3,14.1
2/23/1989,13.0,13.0,14.1
2/24/1989,16.2,16.2,14.1
2/25/1989,17.7,17.7,14.1
2/26/1989,13.2,13.2,14.1
2/27/1989,15.8,15.8,14.1
2/28/1989,18.5,18.5,14.1
3/1/1989,20.4,20.4,14.1
3/2/1989,22.0,22.0,14.1
3/3/1989,19.7,19.7,14.1
3/4/1989,19.6,19.6,14.1
3/5/1989,20.3,20.3,14.1
3/6/1989,18.3,18.3,14.1
3/7/1989,18.9,18.9,14.1
3/8/1989,20.3,20.3,14.1
3/9/1989,21.4,21.4,14.1
3/10/1989,18.3,18.3,14.1
3/11/1989,17.8,17.8,14.1
3/12/1989,17.7,17.7,14.1
3/13/1989,12.8,12.8,14.1
3/14/1989,15.1,15.1,14.1
3/15/1989,15.0,15.0,14.1
3/16/1989,14.8,14.8,14.1
3/17/1989,12.0,12.0,14.1
3/18/1989,12.5,12.5,14.1
3/19/1989,15.0,15.0,14.1
3/20/1989,17.1,17.1,14.1
3/21/1989,17.3,17.3,14.1
3/22/1989,16.9,16.9,14.1
3/23/1989,16.5,16.5,14.1
3/24/1989,13.6,13.6,14.1
3/25/1989,13.2,13.2,14.1
3/26/1989,9.4,9.4,14.1
3/27/1989,9.5,9.5,14.1
3/28/1989,11.8,11.8,14.1
3/29/1989,10.4,10.4,14.1
3/30/1989,9.7,9.7,14.1
3/31/1989,12.6,12.6,14.1
4/1/1989,13.3,13.3,14.1
4/2/1989,15.1,15.1,14.1
4/3/1989,14.2,14.2,14.1
4/4/1989,14.2,14.2,14.1
4/5/1989,19.2,19.2,14.1
4/6/1989,12.6,12.6,14.1
4/7/1989,14.2,14.2,14.1
4/8/1989,11.9,11.9,14.1
4/9/1989,13.9,13.9,14.1
4/10/1989,13.5,13.5,14.1
4/11/1989,15.3,15.3,14.1
4/12/1989,13.9,13.9,14.1
4/13/1989,14.0,14.0,14.1
4/14/1989,12.9,12.9,14.1
4/15/1989,8.5,8.5,14.1
4/16/1989,11.4,11.4,14.1
4/17/1989,10.9,10.9,14.1
4/18/1989,12.0,12.0,14.1
4/19/1989,8.6,8.6,14.1
4/20/1989,9.0,9.0,14.1
4/21/1989,9.6,9.6,14.1
4/22/1989,10.2,10.2,14.1
4/23/1989,9.8,9.8,14.1
4/24/1989,8.3,8.3,14.1
4/25/1989,11.0,11.0,14.1
4/26/1989,11.9,11.9,14.1
4/27/1989,14.0,14.0,14.1
4/28/1989,15.8,15.8,14.1
4/29/1989,14.5,14.5,14.1
4/30/1989,13.2,13.2,14.1
5/1/1989,14.2,14.2,14.1
5/2/1989,14.6,14.6,14.1
5/3/1989,11.8,11.8,14.1
5/4/1989,14.4,14.4,14.1
5/5/1989,10.4,10.4,14.1
5/6/1989,10.3,10.3,14.1
5/7/1989,10.8,10.8,14.1
5/8/1989,10.5,10.5,14.1
5/9/1989,9.5,9.5,14.1
5/10/1989,12.5,12.5,14.1
5/11/1989,13.7,13.7,14.1
5/12/1989,12.7,12.7,14.1
5/13/1989,11.9,11.9,14.1
5/14/1989,11.4,11.4,14.1
5/15/1989,9.7,9.7,14.1
5/16/1989,8.3,8.3,14.1
5/17/1989,8.1,8.1,14.1
5/18/1989,11.7,11.7,14.1
5/19/1989,11.6,11.6,14.1
5/20/1989,7.4,7.4,14.1
5/21/1989,5.2,5.2,14.1
5/22/1989,11.0,11.0,14.1
5/23/1989,9.5,9.5,14.1
5/24/1989,9.2,9.2,14.1
5/25/1989,10.7,10.7,14.1
5/26/1989,9.0,9.0,14.1
5/27/1989,10.2,10.2,14.1
5/28/1989,10.3,10.3,14.1
5/29/1989,12.1,12.1,14.1
5/30/1989,13.2,13.2,14.1
5/31/1989,6.6,6.6,14.1
6/1/1989,2.3,2.3,14.1
6/2/1989,1.4,1.4,14.1
6/3/1989,2.1,2.1,14.1
6/4/1989,6.6,6.6,14.1
6/5/1989,8.9,8.9,14.1
6/6/1989,7.8,7.8,14.1
6/7/1989,9.0,9.0,14.1
6/8/1989,10.3,10.3,14.1
6/9/1989,7.9,7.9,14.1
6/10/1989,7.2,7.2,14.1
6/11/1989,8.6,8.6,14.1
6/12/1989,8.8,8.8,14.1
6/13/1989,6.2,6.2,14.1
6/14/1989,9.5,9.5,14.1
6/15/1989,10.2,10.2,14.1
6/16/1989,9.7,9.7,14.1
6/17/1989,11.2,11.2,14.1
6/18/1989,10.2,10.2,14.1
6/19/1989,10.1,10.1,14.1
6/20/1989,8.1,8.1,14.1
6/21/1989,6.6,6.6,14.1
6/22/1989,5.0,5.0,14.1
6/23/1989,4.7,4.7,14.1
6/24/1989,5.3,5.3,14.1
6/25/1989,4.5,4.5,14.1
6/26/1989,2.3,2.3,14.1
6/27/1989,1.4,1.4,14.1
6/28/1989,0.5,0.5,14.1
6/29/1989,2.4,2.4,14.1
6/30/1989,8.0,8.0,14.1
7/1/1989,6.0,6.0,14.1
7/2/1989,7.1,7.1,14.1
7/3/1989,9.7,9.7,14.1
7/4/1989,6.9,6.9,14.1
7/5/1989,5.3,5.3,14.1
7/6/1989,7.0,7.0,14.1
7/7/1989,6.2,6.2,14.1
7/8/1989,7.0,7.0,14.1
7/9/1989,9.7,9.7,14.1
7/10/1989,8.0,8.0,14.1
7/11/1989,8.5,8.5,14.1
7/12/1989,7.1,7.1,14.1
7/13/1989,7.5,7.5,14.1
7/14/1989,3.3,3.3,14.1
7/15/1989,1.8,1.8,14.1
7/16/1989,2.6,2.6,14.1
7/17/1989,5.3,5.3,14.1
7/18/1989,5.8,5.8,14.1
7/19/1989,5.8,5.8,14.1
7/20/1989,7.2,7.2,14.1
7/21/1989,5.3,5.3,14.1
7/22/1989,1.6,1.6,14.1
7/23/1989,3.1,3.1,14.1
7/24/1989,5.3,5.3,14.1
7/25/1989,7.7,7.7,14.1
7/26/1989,4.2,4.2,14.1
7/27/1989,5.5,5.5,14.1
7/28/1989,9.0,9.0,14.1
7/29/1989,11.2,11.2,14.1
7/30/1989,8.0,8.0,14.1
7/31/1989,7.6,7.6,14.1
8/1/1989,3.7,3.7,14.1
8/2/1989,7.5,7.5,14.1
8/3/1989,8.1,8.1,14.1
8/4/1989,8.4,8.4,14.1
8/5/1989,7.1,7.1,14.1
8/6/1989,7.6,7.6,14.1
8/7/1989,7.6,7.6,14.1
8/8/1989,5.6,5.6,14.1
8/9/1989,7.0,7.0,14.1
8/10/1989,10.5,10.5,14.1
8/11/1989,7.3,7.3,14.1
8/12/1989,7.8,7.8,14.1
8/13/1989,5.8,5.8,14.1
8/14/1989,3.8,3.8,14.1
8/15/1989,5.8,5.8,14.1
8/16/1989,6.7,6.7,14.1
8/17/1989,6.6,6.6,14.1
