Date,Daily minimum temperatures,actual,forecast
1/1/1989,14.3,14.3,15.3
1/2/1989,17.4,17.4,14.3
1/3/1989,18.5,18.5,13.5
1/4/1989,16.8,16.8,15.0
1/5/1989,11.5,11.5,13.6
1/6/1989,9.5,9.5,15.2
1/7/1989,12.2,12.2,17.0
1/8/1989,15.7,15.7,18.7
1/9/1989,16.3,16.3,16.5
1/10/1989,13.6,13.6,17.4
1/11/1989,12.6,12.6,18.3
1/12/1989,13.8,13.8,18.3
1/13/1989,12.1,12.1,22.4
1/14/1989,13.4,13.4,21.4
1/15/1989,17.3,17.3,20.9
1/16/1989,19.4,19.4,17.6
1/17/1989,16.6,16.6,15.5
1/18/1989,13.9,13.9,16.6
1/19/1989,13.1,13.1,16.2
1/20/1989,16.0,16.0,15.6
1/21/1989,14.5,14.5,14.5
1/22/1989,15.0,15.0,14.0
1/23/1989,12.6,12.6,15.6
1/24/1989,12.5,12.5,12.3
1/25/1989,15.2,15.2,11.6
1/26/1989,16.2,16.2,12.6
1/27/1989,16.5,16.5,14.9
1/28/1989,20.1,20.1,17.3
1/29/1989,20.6,20.6,21.4
1/30/1989,16.9,16.9,23.4
1/31/1989,16.5,16.5,14.4
2/1/1989,16.1,16.1,14.1
2/2/1989,14.4,14.4,15.0
2/3/1989,16.3,16.3,14.5
2/4/1989,15.7,15.7,15.1
2/5/1989,14.2,14.2,13.9
2/6/1989,13.2,13.2,13.4
2/7/1989,16.8,16.8,9.2
2/8/1989,18.5,18.5,12.5
2/9/1989,16.7,16.7,15.1
2/10/1989,15.3,15.3,12.1
2/11/1989,15.9,15.9,14.5
2/12/1989,15.2,15.2,16.3
2/13/1989,17.5,17.5,16.5
2/14/1989,18.3,18.3,14.9
2/15/1989,19.4,19.4,13.2
2/16/1989,19.4,19.4,11.8
2/17/1989,19.5,19.5,13.6
2/18/1989,20.5,20.5,16.2
2/19/1989,15.7,15.7,14.1
2/20/1989,15.0,15.0,13.5
2/21/1989,16.1,16.1,15.0
2/22/1989,14.3,14.3,14.8
2/23/1989,13.0,13.0,16.2
2/24/1989,16.2,16.2,16.2
2/25/1989,17.7,17.7,13.3
2/26/1989,13.2,13.2,15.3
2/27/1989,15.8,15.8,18.4
2/28/1989,18.5,18.5,16.2
3/1/1989,20.4,20.4,16.3
3/2/1989,22.0,22.0,12.4
3/3/1989,19.7,19.7,15.6
3/4/1989,19.6,19.6,14.9
3/5/1989,20.3,20.3,14.8
3/6/1989,18.3,18.3,12.7
3/7/1989,18.9,18.9,14.2
3/8/1989,20.3,20.3,16.8
