scenario,requirement,expected_value,supported,turn2_correct_count,turn2_correct_pct,turn3_correct_count,turn3_correct_pct,scenario_success_count,scenario_success_pct
S1,Retraining,False,True,219.0,95.2,205.0,89.1,195.0,84.8
S1,Ground truth usage,False,True,177.0,77.0,110.0,47.8,80.0,34.8
S1,Blockwise evaluation,,False,,,,,,
S2,Retraining,True,True,176.0,76.5,74.0,32.2,60.0,26.1
S2,Ground truth usage,True,True,138.0,60.0,162.0,70.4,99.0,43.0
S2,Blockwise evaluation,,False,,,,,,
S3,Retraining,True,True,155.0,67.4,98.0,42.6,65.0,28.3
S3,Ground truth usage,True,True,109.0,47.4,157.0,68.3,71.0,30.9
S3,Blockwise evaluation,,False,,,,,,
S4,Retraining,True,True,167.0,72.6,126.0,54.8,96.0,41.7
S4,Ground truth usage,True,True,114.0,49.6,194.0,84.3,97.0,42.2
S4,Blockwise evaluation,True,True,174.0,75.7,181.0,78.7,135.0,58.7
