file_id,reference_file_id,dataset,scenario,llm_version,run_id,branch,reference_branch,loss,lag,n,mean_loss_diff,statistic,p_value,challenger_better_than_base
Part2-AirPassengers-S1-ChalDL-ClaudeOpus47-Run1,Part2-AirPassengers-S1-Base-ClaudeOpus47-Run1,AirPassengers,S1,ClaudeOpus47,1,ChalDL,Base,squared_error,0,29,11562.04839779718,3.645291598006251,0.0002670887824050626,False
Part2-AirPassengers-S1-ChalDL-ClaudeOpus47-Run2,Part2-AirPassengers-S1-Base-ClaudeOpus47-Run2,AirPassengers,S1,ClaudeOpus47,2,ChalDL,Base,squared_error,0,29,10761.016591486108,4.889314415798337,1.0118776685284964e-06,False
Part2-AirPassengers-S1-ChalDL-ClaudeOpus47-Run3,Part2-AirPassengers-S1-Base-ClaudeOpus47-Run3,AirPassengers,S1,ClaudeOpus47,3,ChalDL,Base,squared_error,0,29,8784.4089684695,3.332776407532945,0.0008598401317642566,False
Part2-AirPassengers-S1-ChalDL-DeepSeekV4Pro-Run1,Part2-AirPassengers-S1-Base-DeepSeekV4Pro-Run1,AirPassengers,S1,DeepSeekV4Pro,1,ChalDL,Base,squared_error,0,29,175329.79290190892,13.899555896864513,6.373559258409359e-44,False
Part2-AirPassengers-S1-ChalDL-DeepSeekV4Pro-Run2,Part2-AirPassengers-S1-Base-DeepSeekV4Pro-Run2,AirPassengers,S1,DeepSeekV4Pro,2,ChalDL,Base,squared_error,0,29,176120.59924514775,13.9316874449461,4.0663338789672256e-44,False
Part2-AirPassengers-S1-ChalDL-Gemini31Pro-Run1,Part2-AirPassengers-S1-Base-Gemini31Pro-Run1,AirPassengers,S1,Gemini31Pro,1,ChalDL,Base,squared_error,0,29,176120.59924514775,13.9316874449461,4.0663338789672256e-44,False
Part2-AirPassengers-S1-ChalDL-Gemini31Pro-Run2,Part2-AirPassengers-S1-Base-Gemini31Pro-Run2,AirPassengers,S1,Gemini31Pro,2,ChalDL,Base,squared_error,0,29,176120.59924514775,13.9316874449461,4.0663338789672256e-44,False
Part2-AirPassengers-S1-ChalDL-Gemini31Pro-Run3,Part2-AirPassengers-S1-Base-Gemini31Pro-Run3,AirPassengers,S1,Gemini31Pro,3,ChalDL,Base,squared_error,0,29,176120.59924514775,13.9316874449461,4.0663338789672256e-44,False
Part2-AirPassengers-S1-ChalDL-GPT55-Run1,Part2-AirPassengers-S1-Base-GPT55-Run1,AirPassengers,S1,GPT55,1,ChalDL,Base,squared_error,0,29,175329.79290190892,13.899555896864513,6.373559258409359e-44,False
Part2-AirPassengers-S1-ChalDL-GPT55-Run3,Part2-AirPassengers-S1-Base-GPT55-Run3,AirPassengers,S1,GPT55,3,ChalDL,Base,squared_error,0,29,175305.51518663246,13.898568399086551,6.462095786952308e-44,False
Part2-AirPassengers-S1-ChalDL-Grok43-Run2,Part2-AirPassengers-S1-Base-Grok43-Run2,AirPassengers,S1,Grok43,2,ChalDL,Base,squared_error,0,29,175329.79290190892,13.899555896864513,6.373559258409359e-44,False
Part2-AirPassengers-S1-ChalDL-KimiK26-Run1,Part2-AirPassengers-S1-Base-KimiK26-Run1,AirPassengers,S1,KimiK26,1,ChalDL,Base,squared_error,0,29,175329.79290190892,13.899555896864513,6.373559258409359e-44,False
Part2-AirPassengers-S1-ChalDL-KimiK26-Run2,Part2-AirPassengers-S1-Base-KimiK26-Run2,AirPassengers,S1,KimiK26,2,ChalDL,Base,squared_error,0,29,175329.79290190892,13.899555896864513,6.373559258409359e-44,False
Part2-AirPassengers-S1-ChalDL-KimiK26-Run3,Part2-AirPassengers-S1-Base-KimiK26-Run3,AirPassengers,S1,KimiK26,3,ChalDL,Base,squared_error,0,29,175787.18079934586,13.91814900591437,4.914676584465239e-44,False
Part2-AirPassengers-S1-ChalML-ClaudeOpus47-Run1,Part2-AirPassengers-S1-Base-ClaudeOpus47-Run1,AirPassengers,S1,ClaudeOpus47,1,ChalML,Base,squared_error,0,29,9706.610142560707,3.492758286710579,0.00047805902268639153,False
Part2-AirPassengers-S1-ChalML-ClaudeOpus47-Run2,Part2-AirPassengers-S1-Base-ClaudeOpus47-Run2,AirPassengers,S1,ClaudeOpus47,2,ChalML,Base,squared_error,0,29,9706.610142560707,3.492758286710579,0.00047805902268639153,False
