Month,Passengers,actual,forecast
1958-08,505,505.0,485.501113324189
1958-09,404,404.0,426.4757518575547
1958-10,359,359.0,370.7832510037984
1958-11,310,310.0,324.3753426178755
1958-12,337,337.0,365.7063255687339
1959-01,360,360.0,372.7058185852188
1959-02,342,342.0,360.23315535522704
1959-03,406,406.0,415.7561537258083
1959-04,396,396.0,403.2896245855067
1959-05,420,420.0,407.7708125838263
1959-06,472,472.0,472.1013827320376
1959-07,548,548.0,525.0919245944275
1959-08,559,559.0,519.0173009433502
1959-09,463,463.0,455.7487667609908
1959-10,407,407.0,396.08882282233714
1959-11,362,362.0,346.38842538105
1959-12,405,405.0,390.3846903706096
1960-01,417,417.0,397.71587603268927
1960-02,391,391.0,384.2718227405968
1960-03,419,419.0,443.34649116795566
1960-04,461,461.0,429.9054707140589
1960-05,472,472.0,434.53520587416
1960-06,535,535.0,502.919604086134
1960-07,622,622.0,559.183849292427
1960-08,606,606.0,552.5334885625114
1960-09,508,508.0,485.0217816644268
1960-10,461,461.0,421.39439464087593
1960-11,390,390.0,368.4015081442245
1960-12,432,432.0,415.0630551724853
