Month,Passengers,actual,forecast
1958-08,505,505.0,485.501113324189
1958-09,404,404.0,418.0688369126847
1958-10,359,359.0,353.5274120638121
1958-11,310,310.0,312.0493390628532
1958-12,337,337.0,346.2586440858534
1959-01,360,360.0,350.9594061590076
1959-02,342,342.0,336.89901928277635
1959-03,406,406.0,394.0508610684736
1959-04,396,396.0,391.5857986740848
1959-05,420,420.0,412.02314908529286
1959-06,472,472.0,495.8291607846229
1959-07,548,548.0,525.0285476226293
1959-08,559,559.0,547.0222178319627
1959-09,463,463.0,446.8575390948034
1959-10,407,407.0,399.9092062571152
1959-11,362,362.0,348.21667949457765
1959-12,405,405.0,387.6295272267047
1960-01,417,417.0,417.28529688352825
1960-02,391,391.0,393.9516175476507
1960-03,419,419.0,460.9576811548715
1960-04,461,461.0,431.9282773058297
1960-05,472,472.0,464.8522116720344
1960-06,535,535.0,534.5568067688247
1960-07,622,622.0,616.8570669083446
1960-08,606,606.0,626.7020127508001
1960-09,508,508.0,506.3021604991853
1960-10,461,461.0,442.8884818725701
1960-11,390,390.0,393.5333785869946
1960-12,432,432.0,432.3542844204411
