Month,Passengers,actual,forecast
1958-08,505,505.0,469.8766479492188
1958-09,404,404.0,436.7139892578125
1958-10,359,359.0,315.4246826171875
1958-11,310,310.0,311.3265075683594
1958-12,337,337.0,291.7579650878906
1959-01,360,360.0,348.63671875
1959-02,342,342.0,395.8605346679688
1959-03,406,406.0,359.35943603515625
1959-04,396,396.0,427.7114868164063
1959-05,420,420.0,401.8239440917969
1959-06,472,472.0,427.52484130859375
1959-07,548,548.0,461.8757629394531
1959-08,559,559.0,540.030517578125
1959-09,463,463.0,475.2792053222656
1959-10,407,407.0,357.0315246582031
1959-11,362,362.0,360.3357849121094
1959-12,405,405.0,359.5155944824219
1960-01,417,417.0,419.3154296875
1960-02,391,391.0,402.7447509765625
1960-03,419,419.0,384.220947265625
1960-04,461,461.0,407.0803833007813
1960-05,472,472.0,473.38580322265625
1960-06,535,535.0,480.8922119140625
1960-07,622,622.0,525.2197265625
1960-08,606,606.0,594.191162109375
1960-09,508,508.0,544.2725830078125
1960-10,461,461.0,412.610107421875
1960-11,390,390.0,413.1362915039063
1960-12,432,432.0,409.3282165527344
