Month,Passengers,actual,forecast
1958-08,505,505.0,36.76463317871094
1958-09,404,404.0,39.84475326538086
1958-10,359,359.0,36.74313735961914
1958-11,310,310.0,37.77864456176758
1958-12,337,337.0,26.778995513916016
1959-01,360,360.0,39.15157699584961
1959-02,342,342.0,33.11289596557617
1959-03,406,406.0,34.233619689941406
1959-04,396,396.0,34.83580017089844
1959-05,420,420.0,37.03335189819336
1959-06,472,472.0,37.14475631713867
1959-07,548,548.0,44.244571685791016
1959-08,559,559.0,39.6291618347168
1959-09,463,463.0,40.57000350952149
1959-10,407,407.0,39.283958435058594
1959-11,362,362.0,40.15810775756836
1959-12,405,405.0,32.29559326171875
1960-01,417,417.0,33.58151626586914
1960-02,391,391.0,41.56108093261719
1960-03,419,419.0,40.79979705810547
1960-04,461,461.0,36.5472526550293
1960-05,472,472.0,43.15582275390625
1960-06,535,535.0,43.97774505615234
1960-07,622,622.0,42.51255416870117
1960-08,606,606.0,33.013370513916016
1960-09,508,508.0,42.20976257324219
1960-10,461,461.0,41.0815544128418
1960-11,390,390.0,40.89882278442383
1960-12,432,432.0,44.896629333496094
