Month,Passengers,actual,forecast
1958-08,505,505.0,466.00592
1958-09,404,404.0,437.49457
1958-10,359,359.0,382.68073
1958-11,310,310.0,344.62814
1958-12,337,337.0,340.77768
1959-01,360,360.0,339.81085
1959-02,342,342.0,346.81873
1959-03,406,406.0,355.17386
1959-04,396,396.0,356.70312
1959-05,420,420.0,403.03635
1959-06,472,472.0,462.42136
1959-07,548,548.0,482.13394
1959-08,559,559.0,512.74506
1959-09,463,463.0,400.42166
1959-10,407,407.0,372.17026
1959-11,362,362.0,364.93652
1959-12,405,405.0,352.30106
1960-01,417,417.0,390.22058
1960-02,391,391.0,428.4443
1960-03,419,419.0,445.97675
1960-04,461,461.0,438.55954
1960-05,472,472.0,460.8003
1960-06,535,535.0,503.9245
1960-07,622,622.0,539.15826
1960-08,606,606.0,593.737
1960-09,508,508.0,478.77667
1960-10,461,461.0,467.91736
1960-11,390,390.0,441.15567
1960-12,432,432.0,436.21872
