Month,Passengers,actual,forecast
1958-08,505,505.0,491.3389845422619
1958-09,404,404.0,441.98312925236655
1958-10,359,359.0,355.8131156049698
1958-11,310,310.0,311.4275715745256
1958-12,337,337.0,345.0204583131805
1959-01,360,360.0,341.385970669169
1959-02,342,342.0,333.0844085388913
1959-03,406,406.0,386.11203385328815
1959-04,396,396.0,388.1961796993116
1959-05,420,420.0,410.76566684711895
1959-06,472,472.0,489.3578553632926
1959-07,548,548.0,532.5471000676313
1959-08,559,559.0,554.7049344395654
1959-09,463,463.0,463.2451727155816
1959-10,407,407.0,415.7218272059929
1959-11,362,362.0,360.9805102440079
1959-12,405,405.0,387.3992215179407
1960-01,417,417.0,423.2207756897761
1960-02,391,391.0,401.8859983394972
1960-03,419,419.0,454.0647612819541
1960-04,461,461.0,415.11470057338016
1960-05,472,472.0,465.2222674177808
1960-06,535,535.0,534.7610411655329
1960-07,622,622.0,604.4083654991848
1960-08,606,606.0,630.1972794581792
1960-09,508,508.0,518.7765789195092
1960-10,461,461.0,452.92400254674175
1960-11,390,390.0,413.2134758879478
1960-12,432,432.0,439.6400079180781
