Month,Passengers,actual,forecast
1958-08,505,505.0,489.724162374718
1958-09,404,404.0,429.4062900764506
1958-10,359,359.0,372.2166775486934
1958-11,310,310.0,331.8368151173174
1958-12,337,337.0,362.7002239101374
1959-01,360,360.0,367.7201315966112
1959-02,342,342.0,346.37785974881524
1959-03,406,406.0,392.2396272611424
1959-04,396,396.0,378.8781942129707
1959-05,420,420.0,392.9240698944544
1959-06,472,472.0,464.5270235582007
1959-07,548,548.0,519.0933079279215
1959-08,559,559.0,545.2386025077165
1959-09,463,463.0,414.2617499389509
1959-10,407,407.0,371.0126969836568
1959-11,362,362.0,318.7270372843465
1959-12,405,405.0,339.8522589608439
1960-01,417,417.0,373.8494896781255
1960-02,391,391.0,363.2819727995587
1960-03,419,419.0,437.78443924930167
1960-04,461,461.0,431.5099621797805
1960-05,472,472.0,463.3933267730888
1960-06,535,535.0,508.72599419769807
1960-07,622,622.0,596.3568890670294
1960-08,606,606.0,611.8991822853176
1960-09,508,508.0,512.8932782875003
1960-10,461,461.0,450.5886163425173
1960-11,390,390.0,408.4367875236426
1960-12,432,432.0,466.2168588033143
