Month,Passengers,actual,forecast
1958-08,505,505.0,469.385498046875
1958-09,404,404.0,454.035400390625
1958-10,359,359.0,401.3065185546875
1958-11,310,310.0,401.1897277832031
1958-12,337,337.0,384.8031311035156
1959-01,360,360.0,327.53253173828125
1959-02,342,342.0,367.4263916015625
1959-03,406,406.0,358.6681213378906
1959-04,396,396.0,395.1671142578125
1959-05,420,420.0,387.2248229980469
1959-06,472,472.0,399.2587890625
1959-07,548,548.0,467.6779174804688
1959-08,559,559.0,509.2604675292969
1959-09,463,463.0,545.5226440429688
1959-10,407,407.0,447.3349609375
1959-11,362,362.0,462.94927978515625
1959-12,405,405.0,411.9104309082031
1960-01,417,417.0,421.4389343261719
1960-02,391,391.0,415.47900390625
1960-03,419,419.0,417.6828918457031
1960-04,461,461.0,398.4396057128906
1960-05,472,472.0,476.0703430175781
1960-06,535,535.0,454.4576110839844
1960-07,622,622.0,478.5830078125
1960-08,606,606.0,572.2140502929688
1960-09,508,508.0,556.858154296875
1960-10,461,461.0,495.3192138671875
1960-11,390,390.0,439.29888916015625
1960-12,432,432.0,458.3384094238281
