Month,Passengers,actual,forecast
1958-08,505,505.0,478.1724853515625
1958-09,404,404.0,379.4188232421875
1958-10,359,359.0,428.8620300292969
1958-11,310,310.0,423.0931701660156
1958-12,337,337.0,402.0202941894531
1959-01,360,360.0,377.4349365234375
1959-02,342,342.0,306.6658630371094
1959-03,406,406.0,357.97271728515625
1959-04,396,396.0,396.4990234375
1959-05,420,420.0,376.3359069824219
1959-06,472,472.0,402.4377746582031
1959-07,548,548.0,420.7370910644531
1959-08,559,559.0,451.1379089355469
1959-09,463,463.0,391.3580932617188
1959-10,407,407.0,410.1377868652344
1959-11,362,362.0,357.625244140625
1959-12,405,405.0,353.1840515136719
1960-01,417,417.0,437.5903015136719
1960-02,391,391.0,390.0248718261719
1960-03,419,419.0,399.5477600097656
1960-04,461,461.0,391.2109680175781
1960-05,472,472.0,477.1296691894531
1960-06,535,535.0,472.6480407714844
1960-07,622,622.0,514.9456787109375
1960-08,606,606.0,485.3499450683594
1960-09,508,508.0,497.1553649902344
1960-10,461,461.0,479.9384460449219
1960-11,390,390.0,482.4448547363281
1960-12,432,432.0,494.8833618164063
