Month,Passengers,actual,forecast
1958-08,505,505.0,501.2704162597656
1958-09,404,404.0,511.2776794433594
1958-10,359,359.0,391.8236389160156
1958-11,310,310.0,361.5333251953125
1958-12,337,337.0,307.6907653808594
1959-01,360,360.0,324.3344116210937
1959-02,342,342.0,357.44317626953125
1959-03,406,406.0,325.6424865722656
1959-04,396,396.0,376.4534606933594
1959-05,420,420.0,400.6460571289063
1959-06,472,472.0,419.7663879394531
1959-07,548,548.0,473.7140808105469
1959-08,559,559.0,531.4052734375
1959-09,463,463.0,550.562744140625
1959-10,407,407.0,461.1206665039063
1959-11,362,362.0,404.7723693847656
1959-12,405,405.0,359.6949462890625
1960-01,417,417.0,395.431396484375
1960-02,391,391.0,391.640625
1960-03,419,419.0,382.5245971679688
1960-04,461,461.0,394.6893615722656
1960-05,472,472.0,452.9449462890625
1960-06,535,535.0,449.5278625488281
1960-07,622,622.0,526.8796997070312
1960-08,606,606.0,618.62548828125
1960-09,508,508.0,612.6547241210938
1960-10,461,461.0,513.5169067382812
1960-11,390,390.0,460.6211242675781
1960-12,432,432.0,384.1977233886719
