Month,Passengers,actual,forecast
1958-08,505,505.0,464.4109523809524
1958-09,404,404.0,469.29666666666674
1958-10,359,359.0,362.3254387448636
1958-11,310,310.0,348.5930347418507
1958-12,337,337.0,344.80453437249025
1959-01,360,360.0,344.43658557429853
1959-02,342,342.0,348.4665433108343
1959-03,406,406.0,393.3184908041044
1959-04,396,396.0,356.14028056112846
1959-05,420,420.0,408.06211858974353
1959-06,472,472.0,463.7047676767677
1959-07,548,548.0,477.5524285714286
1959-08,559,559.0,503.0172424242424
1959-09,463,463.0,459.6255952380953
1959-10,407,407.0,396.7604522862759
1959-11,362,362.0,365.33289628740704
1959-12,405,405.0,352.14003777733006
1960-01,417,417.0,414.254506616572
1960-02,391,391.0,379.87246430812417
1960-03,419,419.0,460.6379552669553
1960-04,461,461.0,433.2574985569987
1960-05,472,472.0,458.5799236874237
1960-06,535,535.0,525.9150382395383
1960-07,622,622.0,541.904
1960-08,606,606.0,557.6601367521369
1960-09,508,508.0,524.7728736263738
1960-10,461,461.0,460.8097203235362
1960-11,390,390.0,430.9388923707013
1960-12,432,432.0,448.2781808322396
