Month,Passengers,actual,forecast
1958-08,505,505.0,340.0
1958-09,404,404.0,318.0
1958-10,359,359.0,362.0
1958-11,310,310.0,348.0
1958-12,337,337.0,363.0
1959-01,360,360.0,435.0
1959-02,342,342.0,491.0
1959-03,406,406.0,505.0
1959-04,396,396.0,404.0
1959-05,420,420.0,359.0
1959-06,472,472.0,310.0
1959-07,548,548.0,337.0
1959-08,559,559.0,340.0
1959-09,463,463.0,318.0
1959-10,407,407.0,362.0
1959-11,362,362.0,348.0
1959-12,405,405.0,363.0
1960-01,417,417.0,435.0
1960-02,391,391.0,491.0
1960-03,419,419.0,505.0
1960-04,461,461.0,404.0
1960-05,472,472.0,359.0
1960-06,535,535.0,310.0
1960-07,622,622.0,337.0
1960-08,606,606.0,360.0
1960-09,508,508.0,342.0
1960-10,461,461.0,406.0
1960-11,390,390.0,396.0
1960-12,432,432.0,420.0
