Month,Passengers,actual,forecast
1958-08,505,505.0,485.501113324189
1958-09,404,404.0,426.4757518575547
1958-10,359,359.0,370.7832510037984
1958-11,310,310.0,324.3753426178755
1958-12,337,337.0,365.7063255687339
1959-01,360,360.0,372.7058185852188
1959-02,342,342.0,360.23315535522704
1959-03,406,406.0,415.7561537258083
1959-04,396,396.0,403.2896245855067
1959-05,420,420.0,407.7708125838263
1959-06,472,472.0,472.1013827320376
1959-07,548,548.0,525.0919245944275
1959-08,559,559.0,547.0222178319627
1959-09,463,463.0,442.80993309044345
1959-10,407,407.0,390.8351735456219
1959-11,362,362.0,338.1841501408346
1959-12,405,405.0,371.4393353123697
1960-01,417,417.0,392.8341359485444
1960-02,391,391.0,371.0323999114227
1960-03,419,419.0,435.4683101747751
1960-04,461,461.0,422.5544615479967
1960-05,472,472.0,444.5295134151418
1960-06,535,535.0,508.83958747824
1960-07,622,622.0,583.932565731101
1960-08,606,606.0,626.7020127508001
1960-09,508,508.0,512.5967687542201
1960-10,461,461.0,447.6771611462015
1960-11,390,390.0,392.50386808526906
1960-12,432,432.0,432.1818399640722
