Month,Passengers,actual,forecast
1958-08,505,505.0,379.59481486347175
1958-09,404,404.0,390.6456364134892
1958-10,359,359.0,400.08562036750953
1958-11,310,310.0,390.47683213002
1958-12,337,337.0,397.7790590773724
1959-01,360,360.0,391.30888177596415
1959-02,342,342.0,382.52310092162566
1959-03,406,406.0,376.6815915543074
1959-04,396,396.0,383.1973953756258
1959-05,420,420.0,378.8464292153608
1959-06,472,472.0,381.8856905957025
1959-07,548,548.0,396.3480979233666
1959-08,559,559.0,395.40706952606905
1959-09,463,463.0,398.8325500472949
1959-10,407,407.0,394.4549575896664
1959-11,362,362.0,400.60805077868577
1959-12,405,405.0,390.8643123633488
1960-01,417,417.0,391.2231439987181
1960-02,391,391.0,387.6032555422889
1960-03,419,419.0,399.35286782758817
1960-04,461,461.0,400.224660122915
1960-05,472,472.0,409.4208752913934
1960-06,535,535.0,413.1578954550389
1960-07,622,622.0,427.4555061069847
1960-08,606,606.0,438.7966914080391
1960-09,508,508.0,456.0912222451039
1960-10,461,461.0,453.4305821936292
1960-11,390,390.0,438.1413651484648
1960-12,432,432.0,447.79505423814976
