Month,Passengers,actual,forecast
1958-08,505,505.0,371.2412731138337
1958-09,404,404.0,373.9131037864229
1958-10,359,359.0,368.9226002929365
1958-11,310,310.0,363.4496199722851
1958-12,337,337.0,362.1679349139635
1959-01,360,360.0,361.6208272512949
1959-02,342,342.0,362.235112364233
1959-03,406,406.0,363.7387030351586
1959-04,396,396.0,367.31528313586784
1959-05,420,420.0,371.7677195077525
1959-06,472,472.0,377.9385947322611
1959-07,548,548.0,388.51703795499895
1959-08,559,559.0,388.1634996782224
1959-09,463,463.0,390.727856490622
1959-10,407,407.0,393.42768151426566
1959-11,362,362.0,391.9929822199686
1959-12,405,405.0,391.2879498848084
1960-01,417,417.0,391.28341268604953
1960-02,391,391.0,388.1020471105953
1960-03,419,419.0,389.6237186696561
1960-04,461,461.0,390.4174339281151
1960-05,472,472.0,393.3113333308152
1960-06,535,535.0,400.855623472589
1960-07,622,622.0,403.1398930938735
1960-08,606,606.0,420.7541165808599
1960-09,508,508.0,421.12635914848505
1960-10,461,461.0,433.7970018826356
1960-11,390,390.0,435.2888856739368
1960-12,432,432.0,437.7454487631222
