Month,Passengers,actual,forecast
1958-08,505,505.0,377.3109756602609
1958-09,404,404.0,377.1876003576723
1958-10,359,359.0,377.92894878505
1958-11,310,310.0,376.43266310378135
1958-12,337,337.0,376.1357585923779
1959-01,360,360.0,377.02949504629606
1959-02,342,342.0,377.1249499667329
1959-03,406,406.0,377.9745584511501
1959-04,396,396.0,390.6232493759258
1959-05,420,420.0,389.42609493438925
1959-06,472,472.0,389.4772737914013
1959-07,548,548.0,388.51703795499895
1959-08,559,559.0,413.7252395170525
1959-09,463,463.0,424.9602296466744
1959-10,407,407.0,388.922869732721
1959-11,362,362.0,348.7301355094101
1959-12,405,405.0,384.5275651048724
1960-01,417,417.0,388.9696477947632
1960-02,391,391.0,391.6124684409004
1960-03,419,419.0,402.2544164974538
1960-04,461,461.0,404.8534171290112
1960-05,472,472.0,404.9282292230579
1960-06,535,535.0,404.70252588560015
1960-07,622,622.0,403.1398930938735
1960-08,606,606.0,491.7024610693433
1960-09,508,508.0,495.896690099474
1960-10,461,461.0,496.7480543288305
1960-11,390,390.0,500.4384185257206
1960-12,432,432.0,499.4663194171498
