DATE,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS,actual,forecast
2017-10-08,1.26589,1.2802,7698,4976.0,,9112,2142.0,1750,25678,4440,2005784,1.26589,1.3590770262738012
2017-10-15,1.30479,1.33123,8236,5352.0,,8906,2146.0,1894,26534,4490,1993190,1.30479,1.410649360114816
2017-10-22,1.34075,1.40786,8816,5610.0,,9986,2278.0,1948,28638,4532,2034152,1.34075,1.4683904595844717
2017-10-29,1.51674,1.5722,10012,5844.0,,11062,2648.0,2098,31664,4532,2013996,1.51674,1.5174320389507514
2017-11-05,1.74583,1.70326,10438,6578.0,,12268,2730.0,2124,34138,4444,2004280,1.74583,1.605268621579965
2017-11-12,1.88708,1.86636,12252,7218.0,,13342,3044.0,2258,38114,4576,2042158,1.88708,1.703676920096062
2017-11-19,2.05923,2.07647,13760,8486.0,,15154,3610.0,2774,43784,4592,2108580,2.05923,1.9255800411991515
2017-11-26,2.27971,2.33593,13890,7688.0,,11750,3414.0,2890,39632,4542,1696628,2.27971,2.010861439103759
2017-12-03,2.28379,2.24637,14016,10470.0,,14948,4412.0,3658,47504,4558,2114700,2.28379,2.1322968917501126
2017-12-10,2.58278,2.49504,14458,10092.0,,16976,4670.0,3714,49910,4544,2000366,2.58278,2.53207746726802
2017-12-17,3.36558,3.2005,16570,13342.0,,22518,5910.0,4664,63004,4524,1968566,3.36558,3.247248517409483
2017-12-24,4.73117,4.43807,20894,19712.0,,28332,9160.0,7466,85564,4422,1927956,4.73117,3.7050531517348144
2017-12-31,5.70943,5.46361,22670,23014.0,,23080,11508.0,10238,90510,4264,1656598,5.70943,3.317486792151776
2018-01-07,5.74658,5.35765,18820,26766.0,,23434,13742.0,11776,94538,4486,1764542,5.74658,3.0196477290979624
2018-01-14,5.89207,5.52437,20106,30760.0,,34714,15544.0,12398,113522,4514,2054932,5.89207,3.1964469063211163
2018-01-21,6.51759,6.34528,23994,32024.0,,43794,15138.0,11122,126072,4572,1986862,6.51759,3.2678941247424387
2018-01-28,7.16338,7.01811,26816,36634.0,,61250,17822.0,12130,154652,4576,2203614,7.16338,3.36582370410446
2018-02-04,7.52133,7.7809,29688,38172.0,,74400,17830.0,11880,171970,4550,2210156,7.52133,3.517323381141773
2018-02-11,7.38748,7.76939,30384,39054.0,,77212,17252.0,11748,175650,4598,2260794,7.38748,3.4633462448321146
2018-02-18,6.44688,6.81176,26730,34406.0,,64248,16158.0,10878,152420,4454,2237600,6.44688,3.2583018960990597
2018-02-25,4.95881,5.15749,20308,24874.0,,40900,11610.0,8358,106050,4544,2056232,4.95881,3.000897980698782
2018-03-04,3.68612,3.55945,14416,16970.0,,26784,8208.0,5750,72128,4416,2026382,3.68612,3.030910314479737
2018-03-11,3.18626,3.00518,12736,12970.0,,21700,6276.0,4584,58266,4428,1938854,3.18626,2.702017526405481
2018-03-18,2.76894,2.73038,11176,11856.0,,18936,5644.0,4264,51876,4402,1899956,2.76894,2.523355751113276
2018-03-25,2.48706,2.47768,10446,10816.0,,17280,5126.0,3942,47610,4360,1921558,2.48706,2.2938082861907065
2018-04-01,2.40802,2.36314,9442,9440.0,,14428,4590.0,3486,41386,4288,1751316,2.40802,1.9914820596283576
2018-04-08,2.07483,2.03139,9106,8918.0,,12436,4306.0,3382,38148,4254,1877926,2.07483,1.8107696593503684
2018-04-15,1.77898,1.80376,8290,7498.0,,11010,3636.0,2894,33328,4172,1847696,1.77898,1.6802455790094022
2018-04-22,1.61487,1.58696,7712,6428.0,,10538,2854.0,2206,29738,4224,1873900,1.61487,1.5702760148203714
2018-04-29,1.5385,1.53801,7446,6052.0,,10672,2742.0,2192,29104,4176,1892320,1.5385,1.4527320215364825
2018-05-06,1.52612,1.44974,7316,5208.0,,9630,2434.0,1994,26582,4036,1833566,1.52612,1.3569523631768652
2018-05-13,1.28847,1.27729,6888,4410.0,,8266,1870.0,1804,23238,3866,1819322,1.28847,1.3084603380305213
2018-05-20,1.18344,1.22051,6718,4478.0,,7528,1810.0,1598,22132,3954,1813336,1.18344,1.2364924668746369
2018-05-27,1.24919,1.23235,6770,4164.0,,6858,1768.0,1732,21292,3792,1727758,1.24919,1.1754981418617465
2018-06-03,1.14131,1.223,6440,3644.0,,5974,1692.0,1466,19216,3604,1571212,1.14131,1.095444964628572
2018-06-10,0.9878,1.0473,5694,3676.0,,5104,1604.0,1308,17386,3596,1660080,0.9878,1.013583173531825
2018-06-17,0.895565,0.978113,4750,3192.0,,4490,1398.0,1316,15146,3506,1548492,0.895565,0.9657163059289268
2018-06-24,0.892204,0.947548,4624,3108.0,,4324,1458.0,1232,14746,3546,1556228,0.892204,0.9482848915158454
2018-07-01,0.877184,0.867554,4412,3060.0,,3832,1338.0,1252,13894,3472,1601514,0.877184,0.885468512156513
2018-07-08,0.780203,0.82328,4018,2598.0,,3724,1078.0,1098,12516,3560,1520260,0.780203,0.8302143762494625
2018-07-15,0.725075,0.771497,3886,2886.0,,3802,1254.0,1174,13002,3570,1685294,0.725075,0.8026051213872587
2018-07-22,0.68247,0.706819,3482,2580.0,,3440,1132.0,938,11572,3496,1637194,0.68247,0.7980872307798438
2018-07-29,0.640393,0.685155,3330,2404.0,,3286,1048.0,926,10994,3482,1604600,0.640393,0.7835403111281196
2018-08-05,0.639127,0.687351,3236,2492.0,,3538,1050.0,908,11224,3448,1632936,0.639127,0.7863783959587519
2018-08-12,0.705637,0.735733,3452,2668.0,,3568,1082.0,952,11722,3380,1593242,0.705637,0.8196579778992252
2018-08-19,0.707801,0.806048,3972,2774.0,,4340,1032.0,956,13074,3450,1621988,0.707801,0.9189668432424998
2018-08-26,0.822659,0.944013,4478,2984.0,,4936,1218.0,1030,14646,3220,1551462,0.822659,1.03541518768643
2018-09-02,0.859864,0.960101,4890,3276.0,,5660,1312.0,1084,16222,3362,1689614,0.859864,1.0909676699085915
2018-09-09,1.10083,1.14128,5628,3970.0,,6686,1534.0,1242,19060,3420,1670054,1.10083,1.1562092929285448
2018-09-16,1.15323,1.14784,5546,4224.0,,7320,1658.0,1382,20130,3416,1753724,1.15323,1.196117662793238
2018-09-23,1.20178,1.31156,6484,4694.0,,7898,1844.0,1458,22378,3368,1706218,1.20178,1.2616718554168809
2018-09-30,1.2498,1.26102,6962,4976.0,,8396,1862.0,1338,23534,3420,1866260,1.2498,1.3188660557474767
2018-10-07,1.41876,1.41974,4887,3886.0,,6341,1563.0,1298,17975,2611,1266076,1.41876,1.3968319250432812
2018-10-14,1.40077,1.473,5332,4048.0,,6279,1667.0,1326,18652,2651,1266257,1.40077,1.444101002324121
2018-10-21,1.47139,1.58968,5589,4405.0,,6802,1752.0,1400,19948,2623,1254844,1.47139,1.5080050557649047
2018-10-28,1.63634,1.72208,6249,4619.0,,7487,1835.0,1444,21634,2678,1256271,1.63634,1.570292236872722
2018-11-04,1.79125,1.84114,6869,4733.0,,8291,1825.0,1451,23169,2666,1258405,1.79125,1.6557949179433171
2018-11-11,1.86871,1.92692,7509,4834.0,,8451,1840.0,1451,24085,2672,1249921,1.86871,1.752649300442539
2018-11-18,1.98121,2.0852,7821,5037.0,,8076,1998.0,1487,24419,2665,1171062,1.98121,1.9827496139627403
2018-11-25,2.23487,2.40063,8607,5017.0,,7197,2112.0,1702,24635,2618,1026187,2.23487,2.035492609527299
2018-12-02,2.14572,2.24479,8890,6582.0,,8788,2758.0,2078,29096,2666,1296156,2.14572,2.152906596627666
2018-12-09,2.25134,2.29962,8809,5974.0,,9276,2456.0,1862,28377,2658,1233986,2.25134,2.5341509152627184
2018-12-16,2.6411,2.73181,10156,6821.0,,11376,2779.0,1981,33113,2650,1212127,2.6411,3.215224969617204
