DATE,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS,actual,forecast
2017-10-08,1.26589,1.2802,7698,4976.0,,9112,2142.0,1750,25678,4440,2005784,1.26589,1.3466732501983645
2017-10-15,1.30479,1.33123,8236,5352.0,,8906,2146.0,1894,26534,4490,1993190,1.30479,1.5488537549972534
2017-10-22,1.34075,1.40786,8816,5610.0,,9986,2278.0,1948,28638,4532,2034152,1.34075,1.5714538097381592
2017-10-29,1.51674,1.5722,10012,5844.0,,11062,2648.0,2098,31664,4532,2013996,1.51674,1.4309022426605225
2017-11-05,1.74583,1.70326,10438,6578.0,,12268,2730.0,2124,34138,4444,2004280,1.74583,1.5983784198760986
2017-11-12,1.88708,1.86636,12252,7218.0,,13342,3044.0,2258,38114,4576,2042158,1.88708,1.649919867515564
2017-11-19,2.05923,2.07647,13760,8486.0,,15154,3610.0,2774,43784,4592,2108580,2.05923,2.03865933418274
2017-11-26,2.27971,2.33593,13890,7688.0,,11750,3414.0,2890,39632,4542,1696628,2.27971,1.970879912376404
2017-12-03,2.28379,2.24637,14016,10470.0,,14948,4412.0,3658,47504,4558,2114700,2.28379,1.947739124298096
2017-12-10,2.58278,2.49504,14458,10092.0,,16976,4670.0,3714,49910,4544,2000366,2.58278,2.031235218048096
2017-12-17,3.36558,3.2005,16570,13342.0,,22518,5910.0,4664,63004,4524,1968566,3.36558,2.200480937957764
2017-12-24,4.73117,4.43807,20894,19712.0,,28332,9160.0,7466,85564,4422,1927956,4.73117,2.2303500175476074
2017-12-31,5.70943,5.46361,22670,23014.0,,23080,11508.0,10238,90510,4264,1656598,5.70943,2.2213356494903564
2018-01-07,5.74658,5.35765,18820,26766.0,,23434,13742.0,11776,94538,4486,1764542,5.74658,2.5200443267822266
2018-01-14,5.89207,5.52437,20106,30760.0,,34714,15544.0,12398,113522,4514,2054932,5.89207,2.543873310089112
2018-01-21,6.51759,6.34528,23994,32024.0,,43794,15138.0,11122,126072,4572,1986862,6.51759,2.331182718276977
2018-01-28,7.16338,7.01811,26816,36634.0,,61250,17822.0,12130,154652,4576,2203614,7.16338,2.4912357330322266
2018-02-04,7.52133,7.7809,29688,38172.0,,74400,17830.0,11880,171970,4550,2210156,7.52133,2.5241634845733643
2018-02-11,7.38748,7.76939,30384,39054.0,,77212,17252.0,11748,175650,4598,2260794,7.38748,2.561957597732544
2018-02-18,6.44688,6.81176,26730,34406.0,,64248,16158.0,10878,152420,4454,2237600,6.44688,2.590593099594116
2018-02-25,4.95881,5.15749,20308,24874.0,,40900,11610.0,8358,106050,4544,2056232,4.95881,2.338001012802124
2018-03-04,3.68612,3.55945,14416,16970.0,,26784,8208.0,5750,72128,4416,2026382,3.68612,2.4665701389312744
2018-03-11,3.18626,3.00518,12736,12970.0,,21700,6276.0,4584,58266,4428,1938854,3.18626,2.2132372856140137
2018-03-18,2.76894,2.73038,11176,11856.0,,18936,5644.0,4264,51876,4402,1899956,2.76894,1.979841232299805
2018-03-25,2.48706,2.47768,10446,10816.0,,17280,5126.0,3942,47610,4360,1921558,2.48706,1.9497748613357544
2018-04-01,2.40802,2.36314,9442,9440.0,,14428,4590.0,3486,41386,4288,1751316,2.40802,1.8757967948913568
2018-04-08,2.07483,2.03139,9106,8918.0,,12436,4306.0,3382,38148,4254,1877926,2.07483,1.7302902936935425
2018-04-15,1.77898,1.80376,8290,7498.0,,11010,3636.0,2894,33328,4172,1847696,1.77898,1.5345276594161987
2018-04-22,1.61487,1.58696,7712,6428.0,,10538,2854.0,2206,29738,4224,1873900,1.61487,1.6229866743087769
2018-04-29,1.5385,1.53801,7446,6052.0,,10672,2742.0,2192,29104,4176,1892320,1.5385,1.7031298875808716
2018-05-06,1.52612,1.44974,7316,5208.0,,9630,2434.0,1994,26582,4036,1833566,1.52612,1.6164453029632568
