Month,Heater,Ice cream,actual,forecast
2017-03,25,44,44.0,17.18
2017-04,20,55,55.0,15.89
2017-05,21,60,60.0,19.03
2017-06,20,74,74.0,20.46
2017-07,19,89,89.0,24.77
2017-08,19,64,64.0,29.63
2017-09,23,48,48.0,34.71
2017-10,33,40,40.0,24.52
2017-11,43,36,36.0,19.15
2017-12,56,35,35.0,15.31
2018-01,56,40,40.0,14.62
2018-02,33,42,42.0,15.28
2018-03,27,51,51.0,16.23
2018-04,24,56,56.0,17.31
2018-05,22,71,71.0,20.89
2018-06,21,79,79.0,22.67
2018-07,21,91,91.0,27.43
2018-08,21,66,66.0,32.78
2018-09,24,49,49.0,38.42
2018-10,39,39,39.0,27.12
2018-11,53,34,34.0,21.19
2018-12,48,36,36.0,16.94
2019-01,49,39,39.0,16.18
2019-02,39,42,42.0,16.91
2019-03,30,53,53.0,17.96
2019-04,24,57,57.0,19.16
2019-05,23,65,65.0,23.12
2019-06,22,82,82.0,25.09
2019-07,21,100,100.0,30.35
2019-08,21,68,68.0,36.27
2019-09,24,51,51.0,42.51
2019-10,40,40,40.0,30.01
2019-11,56,36,36.0,23.44
2019-12,46,36,36.0,18.74
2020-01,41,43,43.0,17.9
2020-02,34,45,45.0,18.71
2020-03,25,44,44.0,19.87
2020-04,25,53,53.0,21.19
2020-05,27,70,70.0,25.57
2020-06,24,74,74.0,27.75
