Month,Heater,Ice cream,actual,forecast
2017-03,25,44,44.0,49.21624392831231
2017-04,20,55,55.0,53.62783819188189
2017-05,21,60,60.0,61.15074762203577
2017-06,20,74,74.0,66.9239927135654
2017-07,19,89,89.0,78.9070151963747
2017-08,19,64,64.0,69.28507150168106
2017-09,23,48,48.0,55.20535907692833
2017-10,33,40,40.0,46.59339684464868
2017-11,43,36,36.0,46.28827730107557
2017-12,56,35,35.0,47.84397403990107
2018-01,56,40,40.0,37.24948116587681
2018-02,33,42,42.0,43.00034906132101
2018-03,27,51,51.0,48.40873216516868
2018-04,24,56,56.0,57.6350703273684
2018-05,22,71,71.0,62.27820193185321
2018-06,21,79,79.0,76.46459799966857
2018-07,21,91,91.0,86.6016087327995
2018-08,21,66,66.0,71.1357890839184
2018-09,24,49,49.0,55.977107682918216
2018-10,39,39,39.0,46.92539725837575
2018-11,53,34,34.0,45.23536413254679
2018-12,48,36,36.0,47.471453016954655
2019-01,49,39,39.0,32.931419908212625
2019-02,39,42,42.0,42.56880803350617
2019-03,30,53,53.0,49.08405774032157
2019-04,24,57,57.0,59.701257935468
2019-05,23,65,65.0,65.75677007125573
2019-06,22,82,82.0,75.0130156134509
2019-07,21,100,100.0,91.50649437816824
2019-08,21,68,68.0,75.08477022780505
2019-09,24,51,51.0,54.02542226705367
2019-10,40,40,40.0,44.62081204487792
2019-11,56,36,36.0,40.01970437476588
2019-12,46,36,36.0,41.914881000768005
2020-01,41,43,43.0,37.568415325685706
2020-02,34,45,45.0,45.32885337815968
2020-03,25,44,44.0,53.74230954532543
2020-04,25,53,53.0,53.09306166735959
2020-05,27,70,70.0,64.36422048108618
2020-06,24,74,74.0,81.05185151807804
