Month,Heater,Ice cream,actual,forecast
2017-03,25,44,44.0,42.30247352333144
2017-04,20,55,55.0,48.28481639916932
2017-05,21,60,60.0,55.39364607802034
2017-06,20,74,74.0,60.26229598511134
2017-07,19,89,89.0,63.19657050727554
2017-08,19,64,64.0,68.50413748954537
2017-09,23,48,48.0,56.18600883798481
2017-10,33,40,40.0,48.84707812314458
2017-11,43,36,36.0,41.067715347091365
2017-12,56,35,35.0,34.01269134410923
2018-01,56,40,40.0,36.91819227122788
2018-02,33,42,42.0,37.25619219996227
2018-03,27,51,51.0,44.41079520455539
2018-04,24,56,56.0,53.79081034820163
2018-05,22,71,71.0,56.51531221775206
2018-06,21,79,79.0,66.71911633441846
2018-07,21,91,91.0,66.13313700279653
2018-08,21,66,66.0,77.51986115224796
2018-09,24,49,49.0,56.56916384448412
2018-10,39,39,39.0,41.89277841222663
2018-11,53,34,34.0,38.18493364068327
2018-12,48,36,36.0,36.29196137592121
2019-01,49,39,39.0,37.86523399131813
2019-02,39,42,42.0,40.64576388757429
2019-03,30,53,53.0,43.83788262747795
2019-04,24,57,57.0,57.69513822575044
2019-05,23,65,65.0,57.88012247636068
2019-06,22,82,82.0,62.2260047301441
2019-07,21,100,100.0,72.87891308910864
2019-08,21,68,68.0,75.25164299925306
2019-09,24,51,51.0,55.509063506695085
2019-10,40,40,40.0,46.77060039009604
2019-11,56,36,36.0,37.04500203284229
2019-12,46,36,36.0,39.00425702527375
2020-01,41,43,43.0,37.24491265550493
2020-02,34,45,45.0,43.3975480377929
2020-03,25,44,44.0,48.43571624891213
2020-04,25,53,53.0,53.593806465746965
2020-05,27,70,70.0,56.78004210271472
2020-06,24,74,74.0,70.56049988412954
