Month,Heater,Ice cream,actual,forecast
2017-03,25,44,44.0,14.270039558410645
2017-04,20,55,55.0,13.549999237060549
2017-05,21,60,60.0,13.124545097351074
2017-06,20,74,74.0,13.065399169921877
2017-07,19,89,89.0,14.690942764282228
2017-08,19,64,64.0,14.767492294311523
2017-09,23,48,48.0,15.79891872406006
2017-10,33,40,40.0,15.467653274536133
2017-11,43,36,36.0,15.44381046295166
2017-12,56,35,35.0,14.525623321533203
2018-01,56,40,40.0,11.603148460388184
2018-02,33,42,42.0,15.488943099975586
2018-03,27,51,51.0,14.342798233032228
2018-04,24,56,56.0,15.47665023803711
2018-05,22,71,71.0,15.103108406066896
2018-06,21,79,79.0,15.304244995117188
2018-07,21,91,91.0,16.258211135864258
2018-08,21,66,66.0,14.266717910766602
2018-09,24,49,49.0,15.290817260742188
2018-10,39,39,39.0,15.815571784973145
2018-11,53,34,34.0,13.893491744995115
2018-12,48,36,36.0,16.355392456054688
2019-01,49,39,39.0,12.578025817871094
2019-02,39,42,42.0,15.93013858795166
2019-03,30,53,53.0,13.001678466796877
2019-04,24,57,57.0,16.221187591552734
2019-05,23,65,65.0,16.565324783325195
2019-06,22,82,82.0,16.14251136779785
2019-07,21,100,100.0,14.858187675476074
2019-08,21,68,68.0,14.800490379333496
2019-09,24,51,51.0,14.149994850158691
2019-10,40,40,40.0,17.608646392822266
2019-11,56,36,36.0,15.936038970947266
2019-12,46,36,36.0,15.269083976745604
2020-01,41,43,43.0,18.03262519836425
2020-02,34,45,45.0,16.43206024169922
2020-03,25,44,44.0,16.20226287841797
2020-04,25,53,53.0,16.619417190551758
2020-05,27,70,70.0,17.17366600036621
2020-06,24,74,74.0,17.334850311279297
