Month,Heater,Ice cream,actual,forecast
2017-03,25,44,44.0,40.99090043869647
2017-04,20,55,55.0,50.82939992315906
2017-05,21,60,60.0,55.094946906894286
2017-06,20,74,74.0,58.76112634527495
2017-07,19,89,89.0,59.81809252374732
2017-08,19,64,64.0,53.86737360480564
2017-09,23,48,48.0,48.007111313973375
2017-10,33,40,40.0,44.73494398130604
2017-11,43,36,36.0,49.47165144084362
2017-12,56,35,35.0,39.591616596116594
2018-01,56,40,40.0,38.82621402486402
2018-02,33,42,42.0,40.578649267399264
2018-03,27,51,51.0,40.78547161019808
2018-04,24,56,56.0,52.46220454391365
2018-05,22,71,71.0,65.2850179513469
2018-06,21,79,79.0,73.35636163836165
2018-07,21,91,91.0,78.25089826839826
2018-08,21,66,66.0,59.362773284390485
2018-09,24,49,49.0,52.07300982052153
2018-10,39,39,39.0,47.17829827901567
2018-11,53,34,34.0,41.10307983682984
2018-12,48,36,36.0,35.79246270086982
2019-01,49,39,39.0,37.802193335903866
2019-02,39,42,42.0,40.42472666753538
2019-03,30,53,53.0,45.26369250290517
2019-04,24,57,57.0,57.02740508183629
2019-05,23,65,65.0,69.05530143995438
2019-06,22,82,82.0,72.2955317362376
2019-07,21,100,100.0,80.61174603174602
2019-08,21,68,68.0,63.68484714374408
2019-09,24,51,51.0,53.8669931226996
2019-10,40,40,40.0,41.5952741980242
2019-11,56,36,36.0,39.863694348135525
2019-12,46,36,36.0,37.186395230500494
2020-01,41,43,43.0,37.5323328925976
2020-02,34,45,45.0,41.664091152054
2020-03,25,44,44.0,46.87097841197121
2020-04,25,53,53.0,61.14893193604075
2020-05,27,70,70.0,65.97597750474098
2020-06,24,74,74.0,71.29310826860436
