Month,Heater,Ice cream,actual,forecast
2017-03,25,44,44.0,41.32222159295989
2017-04,20,55,55.0,49.76679363057188
2017-05,21,60,60.0,57.93208715718555
2017-06,20,74,74.0,61.06825348854044
2017-07,19,89,89.0,61.46380932225669
2017-08,19,64,64.0,55.32978385981637
2017-09,23,48,48.0,48.7094008429637
2017-10,33,40,40.0,45.86129954277748
2017-11,43,36,36.0,50.427973248973245
2017-12,56,35,35.0,38.534742652389546
2018-01,56,40,40.0,37.65839678227997
2018-02,33,42,42.0,43.73845271979483
2018-03,27,51,51.0,41.51734430192801
2018-04,24,56,56.0,55.70436223936743
2018-05,22,71,71.0,63.78402536509472
2018-06,21,79,79.0,74.62296983408748
2018-07,21,91,91.0,80.39387179487179
2018-08,21,66,66.0,60.08588390583977
2018-09,24,49,49.0,52.12006571234083
2018-10,39,39,39.0,48.52529220903983
2018-11,53,34,34.0,41.92532012893068
2018-12,48,36,36.0,36.8200342920213
2019-01,49,39,39.0,38.2739212768668
2019-02,39,42,42.0,43.47247815358833
2019-03,30,53,53.0,44.54366730435342
2019-04,24,57,57.0,57.0979416200041
2019-05,23,65,65.0,71.64581623931623
2019-06,22,82,82.0,71.41034004884004
2019-07,21,100,100.0,83.77223382173382
2019-08,21,68,68.0,63.69342358484309
2019-09,24,51,51.0,51.23396623520459
2019-10,40,40,40.0,44.28326386762916
2019-11,56,36,36.0,40.30116642054634
2019-12,46,36,36.0,38.71149232016587
2020-01,41,43,43.0,38.70015939960931
2020-02,34,45,45.0,45.2675643432969
2020-03,25,44,44.0,47.0939449770024
2020-04,25,53,53.0,61.18007673480504
2020-05,27,70,70.0,64.80215612165613
2020-06,24,74,74.0,73.20158930874749
