Month,Heater,Ice cream,actual,forecast
2017-03,25,44,44.0,41.76722159295989
2017-04,20,55,55.0,50.78346029723854
2017-05,21,60,60.0,57.53542049051888
2017-06,20,74,74.0,61.654809044096
2017-07,19,89,89.0,61.79714265559002
2017-08,19,64,64.0,58.648783859816376
2017-09,23,48,48.0,50.64056750963037
2017-10,33,40,40.0,45.47470863368657
2017-11,43,36,36.0,50.063819402819405
2017-12,56,35,35.0,38.81781957546647
2018-01,56,40,40.0,37.65839678227997
2018-02,33,42,42.0,43.56451332585544
2018-03,27,51,51.0,41.51734430192801
2018-04,24,56,56.0,56.08693799694318
2018-05,22,71,71.0,65.80574105136924
2018-06,21,79,79.0,75.10930316742082
2018-07,21,91,91.0,79.39053846153845
2018-08,21,66,66.0,60.40588390583977
2018-09,24,49,49.0,52.94006571234083
2018-10,39,39,39.0,47.57321491435384
2018-11,53,34,34.0,41.57865346226402
2018-12,48,36,36.0,36.8200342920213
2019-01,49,39,39.0,38.15106413400966
2019-02,39,42,42.0,43.61247815358833
2019-03,30,53,53.0,44.14926730435342
2019-04,24,57,57.0,56.7754416200041
2019-05,23,65,65.0,72.31581623931623
2019-06,22,82,82.0,74.60424481074482
2019-07,21,100,100.0,83.33223382173382
2019-08,21,68,68.0,64.18183017824968
2019-09,24,51,51.0,52.391632901871255
2019-10,40,40,40.0,44.28326386762916
2019-11,56,36,36.0,40.30116642054634
2019-12,46,36,36.0,38.71149232016587
2020-01,41,43,43.0,38.70015939960931
2020-02,34,45,45.0,45.73987999986256
2020-03,25,44,44.0,47.02549476055219
2020-04,25,53,53.0,61.53226376641143
2020-05,27,70,70.0,67.21903096903097
2020-06,24,74,74.0,71.60839594655413
