Month,Heater,Ice cream,actual,forecast
2017-03,25,44,44.0,49.215919914808936
2017-04,20,55,55.0,56.49797374037903
2017-05,21,60,60.0,62.76931371226935
2017-06,20,74,74.0,69.21494840865299
2017-07,19,89,89.0,77.22837381417762
2017-08,19,64,64.0,63.2078752548594
2017-09,23,48,48.0,53.18015824207456
2017-10,33,40,40.0,47.77955134951662
2017-11,43,36,36.0,49.47453518255873
2017-12,56,35,35.0,56.22981109258144
2018-01,56,40,40.0,48.30770551118147
2018-02,33,42,42.0,50.93861055393966
2018-03,27,51,51.0,48.40866936565845
2018-04,24,56,56.0,55.99750359734472
2018-05,22,71,71.0,61.99941538237995
2018-06,21,79,79.0,70.70698081179496
2018-07,21,91,91.0,80.37134378862157
2018-08,21,66,66.0,63.22291181630359
2018-09,24,49,49.0,52.30387447675177
2018-10,39,39,39.0,47.23878061139117
2018-11,53,34,34.0,49.61311581165941
2018-12,48,36,36.0,59.0606017052566
2019-01,49,39,39.0,46.38673710279804
2019-02,39,42,42.0,49.322515655624144
2019-03,30,53,53.0,49.08409319122256
2019-04,24,57,57.0,56.93959243093453
2019-05,23,65,65.0,65.39925864031437
2019-06,22,82,82.0,75.08879344841563
2019-07,21,100,100.0,86.50940012227274
2019-08,21,68,68.0,65.55919327953893
2019-09,24,51,51.0,51.681124566766265
2019-10,40,40,40.0,44.37083632354209
2019-11,56,36,36.0,42.6320147427625
2019-12,46,36,36.0,46.408557961145135
2020-01,41,43,43.0,44.24692175187406
2020-02,34,45,45.0,46.8302897400107
2020-03,25,44,44.0,53.7423386171888
2020-04,25,53,53.0,59.45781925898679
2020-05,27,70,70.0,69.24772814682198
2020-06,24,74,74.0,81.54253510974159
