Month,Heater,Ice cream,actual,forecast
2017-03,25,44,44.0,48.9886133481201
2017-04,20,55,55.0,56.33650132282958
2017-05,21,60,60.0,62.46607522642653
2017-06,20,74,74.0,69.50741242882526
2017-07,19,89,89.0,77.51932490640243
2017-08,19,64,64.0,62.99303143931516
2017-09,23,48,48.0,53.07306599893406
2017-10,33,40,40.0,48.1332072251469
2017-11,43,36,36.0,50.444716428793
2017-12,56,35,35.0,58.830924128585885
2018-01,56,40,40.0,48.03653517043159
2018-02,33,42,42.0,50.7558242309818
2018-03,27,51,51.0,48.10572840581496
2018-04,24,56,56.0,55.83880747364834
2018-05,22,71,71.0,61.70021646865645
2018-06,21,79,79.0,70.56734122031973
2018-07,21,91,91.0,80.32539522587668
2018-08,21,66,66.0,63.0306527232958
2018-09,24,49,49.0,51.80272033842101
2018-10,39,39,39.0,46.434687329739184
2018-11,53,34,34.0,47.98308503009248
2018-12,48,36,36.0,55.79711786836617
2019-01,49,39,39.0,45.88073607508787
2019-02,39,42,42.0,48.608229133064256
2019-03,30,53,53.0,49.29250932426883
2019-04,24,57,57.0,56.92722838508428
2019-05,23,65,65.0,65.78479473920517
2019-06,22,82,82.0,75.16529985562913
2019-07,21,100,100.0,86.3423934086488
2019-08,21,68,68.0,65.56320894616107
2019-09,24,51,51.0,51.69690656489207
2019-10,40,40,40.0,44.29627199842949
2019-11,56,36,36.0,42.408431791307166
2019-12,46,36,36.0,46.03675418978096
2020-01,41,43,43.0,44.234380129906384
2020-02,34,45,45.0,46.80630049483893
2020-03,25,44,44.0,53.77434228002973
2020-04,25,53,53.0,59.485168427486
2020-05,27,70,70.0,68.89881098814506
2020-06,24,74,74.0,81.39556275583426
