Month,Heater,Ice cream,actual,forecast
2017-03,25,44,44.0,49.21624392831231
2017-04,20,55,55.0,56.49806788154385
2017-05,21,60,60.0,62.76929531891997
2017-06,20,74,74.0,69.21483417777117
2017-07,19,89,89.0,77.22813596545268
2017-08,19,64,64.0,63.20778446728192
2017-09,23,48,48.0,53.18007232025841
2017-10,33,40,40.0,47.77942385782409
2017-11,43,36,36.0,49.4742406481362
2017-12,56,35,35.0,56.22913984001249
2018-01,56,40,40.0,48.30765930464828
2018-02,33,42,42.0,50.93849928970022
2018-03,27,51,51.0,48.40873216516868
2018-04,24,56,56.0,55.997572434391735
2018-05,22,71,71.0,61.9994964220172
2018-06,21,79,79.0,70.7069767440445
2018-07,21,91,91.0,80.37123405169513
2018-08,21,66,66.0,63.22296585772435
2018-09,24,49,49.0,52.30396474806816
2018-10,39,39,39.0,47.23885143983961
2018-11,53,34,34.0,49.61310095000269
2018-12,48,36,36.0,59.060359937906654
2019-01,49,39,39.0,46.386876542554994
2019-02,39,42,42.0,49.32261638734338
2019-03,30,53,53.0,49.08405774032157
2019-04,24,57,57.0,56.93951310358676
2019-05,23,65,65.0,65.39912305657855
2019-06,22,82,82.0,75.08857145711518
2019-07,21,100,100.0,86.5090624593719
2019-08,21,68,68.0,65.55898492892238
2019-09,24,51,51.0,51.68097182286649
2019-10,40,40,40.0,44.370696820365104
2019-11,56,36,36.0,42.63188623449256
2019-12,46,36,36.0,46.40840847726598
2020-01,41,43,43.0,44.24673394643104
2020-02,34,45,45.0,46.83006759492244
2020-03,25,44,44.0,53.74230954532543
2020-04,25,53,53.0,59.45787963402166
2020-05,27,70,70.0,69.24773061801962
2020-06,24,74,74.0,81.54242437469169
