Month,Heater,Ice cream,actual,forecast
2017-03,25,44,44.0,16.247
2017-04,20,55,55.0,17.891
2017-05,21,60,60.0,22.456
2017-06,20,74,74.0,27.134
2017-07,19,89,89.0,33.789
2017-08,19,64,64.0,42.567
2017-09,23,48,48.0,51.234
2017-10,33,40,40.0,38.912
2017-11,43,36,36.0,29.456
2017-12,56,35,35.0,21.345
2018-01,56,40,40.0,17.678
2018-02,33,42,42.0,16.543
2018-03,27,51,51.0,17.234
2018-04,24,56,56.0,19.876
2018-05,22,71,71.0,25.432
2018-06,21,79,79.0,31.098
2018-07,21,91,91.0,38.765
2018-08,21,66,66.0,48.321
2018-09,24,49,49.0,57.654
2018-10,39,39,39.0,43.876
2018-11,53,34,34.0,33.21
2018-12,48,36,36.0,24.567
2019-01,49,39,39.0,20.123
2019-02,39,42,42.0,18.765
2019-03,30,53,53.0,19.432
2019-04,24,57,57.0,22.345
2019-05,23,65,65.0,28.765
2019-06,22,82,82.0,35.432
2019-07,21,100,100.0,43.876
2019-08,21,68,68.0,54.321
2019-09,24,51,51.0,64.098
2019-10,40,40,40.0,49.234
2019-11,56,36,36.0,37.654
2019-12,46,36,36.0,28.123
2020-01,41,43,43.0,23.456
2020-02,34,45,45.0,21.876
2020-03,25,44,44.0,22.543
2020-04,25,53,53.0,25.678
2020-05,27,70,70.0,32.345
2020-06,24,74,74.0,39.876
