Month,Heater,Ice cream,actual,forecast
2017-03,25,44,44.0,38.47368240356445
2017-04,20,55,55.0,46.64361953735352
2017-05,21,60,60.0,50.815311431884766
2017-06,20,74,74.0,47.90933227539063
2017-07,19,89,89.0,54.32160186767578
2017-08,19,64,64.0,51.686893463134766
2017-09,23,48,48.0,41.56290817260742
2017-10,33,40,40.0,41.413536071777344
2017-11,43,36,36.0,42.82374954223633
2017-12,56,35,35.0,38.97528839111328
2018-01,56,40,40.0,36.050048828125
2018-02,33,42,42.0,39.39267349243164
2018-03,27,51,51.0,46.59095001220703
2018-04,24,56,56.0,59.159423828125
2018-05,22,71,71.0,65.28062438964844
2018-06,21,79,79.0,62.541648864746094
2018-07,21,91,91.0,79.33079528808594
2018-08,21,66,66.0,74.02391815185547
2018-09,24,49,49.0,64.634521484375
2018-10,39,39,39.0,56.5047721862793
2018-11,53,34,34.0,50.3563346862793
2018-12,48,36,36.0,43.40446472167969
2019-01,49,39,39.0,37.65047836303711
2019-02,39,42,42.0,42.83388519287109
2019-03,30,53,53.0,52.82554244995117
2019-04,24,57,57.0,65.24859619140625
2019-05,23,65,65.0,77.64407348632812
2019-06,22,82,82.0,78.71346282958984
2019-07,21,100,100.0,81.7093276977539
2019-08,21,68,68.0,72.14786529541016
2019-09,24,51,51.0,57.38610076904297
2019-10,40,40,40.0,45.15370941162109
2019-11,56,36,36.0,42.04635620117188
2019-12,46,36,36.0,34.485958099365234
2020-01,41,43,43.0,35.168704986572266
2020-02,34,45,45.0,46.4112548828125
2020-03,25,44,44.0,56.09042739868164
2020-04,25,53,53.0,69.2340316772461
2020-05,27,70,70.0,78.38632202148438
2020-06,24,74,74.0,85.34481048583984
