Month,Heater,Ice cream,actual,forecast
2017-03,25,44,44.0,42.07087326049805
2017-04,20,55,55.0,54.10075759887695
2017-05,21,60,60.0,57.70697021484375
2017-06,20,74,74.0,62.82304763793945
2017-07,19,89,89.0,64.95545196533203
2017-08,19,64,64.0,57.32700347900391
2017-09,23,48,48.0,50.45436477661133
2017-10,33,40,40.0,43.10615158081055
2017-11,43,36,36.0,49.67422103881836
2017-12,56,35,35.0,47.28459930419922
2018-01,56,40,40.0,50.728172302246094
2018-02,33,42,42.0,43.58073425292969
2018-03,27,51,51.0,52.33311080932617
2018-04,24,56,56.0,57.757442474365234
2018-05,22,71,71.0,68.09077453613281
2018-06,21,79,79.0,75.32440185546875
2018-07,21,91,91.0,74.40141296386719
2018-08,21,66,66.0,66.46720123291016
2018-09,24,49,49.0,58.36865615844727
2018-10,39,39,39.0,50.67459487915039
2018-11,53,34,34.0,46.44294738769531
2018-12,48,36,36.0,37.79391860961914
2019-01,49,39,39.0,42.25409698486328
2019-02,39,42,42.0,44.68772888183594
2019-03,30,53,53.0,53.3245735168457
2019-04,24,57,57.0,63.1068000793457
2019-05,23,65,65.0,76.41143798828125
2019-06,22,82,82.0,80.09109497070312
2019-07,21,100,100.0,80.52188873291016
2019-08,21,68,68.0,70.77311706542969
2019-09,24,51,51.0,56.521297454833984
2019-10,40,40,40.0,44.65725326538086
2019-11,56,36,36.0,37.99538803100586
2019-12,46,36,36.0,37.17807388305664
2020-01,41,43,43.0,42.960105895996094
2020-02,34,45,45.0,46.23909759521485
2020-03,25,44,44.0,58.07826232910156
2020-04,25,53,53.0,61.89525985717773
2020-05,27,70,70.0,73.59529113769531
2020-06,24,74,74.0,85.24764251708984
