Month,Heater,Ice cream,actual,forecast
2017-03,25,44,44.0,41.93732452392578
2017-04,20,55,55.0,45.481666564941406
2017-05,21,60,60.0,61.591758728027344
2017-06,20,74,74.0,67.81810760498047
2017-07,19,89,89.0,70.91770935058594
2017-08,19,64,64.0,70.24488830566406
2017-09,23,48,48.0,51.899993896484375
2017-10,33,40,40.0,56.31761932373047
2017-11,43,36,36.0,49.347450256347656
2017-12,56,35,35.0,67.22856903076172
2018-01,56,40,40.0,56.4547233581543
2018-02,33,42,42.0,56.483428955078125
2018-03,27,51,51.0,56.38446807861328
2018-04,24,56,56.0,65.01892852783203
2018-05,22,71,71.0,67.87130737304688
2018-06,21,79,79.0,87.08882141113281
2018-07,21,91,91.0,101.93318176269533
2018-08,21,66,66.0,82.7620849609375
2018-09,24,49,49.0,63.66387176513672
2018-10,39,39,39.0,43.432167053222656
2018-11,53,34,34.0,45.568634033203125
2018-12,48,36,36.0,42.60442733764648
2019-01,49,39,39.0,43.73129653930664
2019-02,39,42,42.0,48.05219268798828
2019-03,30,53,53.0,49.94532775878906
2019-04,24,57,57.0,61.5721435546875
2019-05,23,65,65.0,72.5611343383789
2019-06,22,82,82.0,84.21979522705078
2019-07,21,100,100.0,86.06221771240234
2019-08,21,68,68.0,71.31278991699219
2019-09,24,51,51.0,52.13394546508789
2019-10,40,40,40.0,46.7288932800293
2019-11,56,36,36.0,40.78643035888672
2019-12,46,36,36.0,41.09194564819336
2020-01,41,43,43.0,42.11265563964844
2020-02,34,45,45.0,47.531883239746094
2020-03,25,44,44.0,53.767555236816406
2020-04,25,53,53.0,64.28292083740234
2020-05,27,70,70.0,72.20355224609375
2020-06,24,74,74.0,82.49617767333984
