Month,Heater,Ice cream,actual,forecast
2017-03,25,44,44.0,41.93732985040528
2017-04,20,55,55.0,45.48166752325868
2017-05,21,60,60.0,61.59175746872553
2017-06,20,74,74.0,67.81810499245647
2017-07,19,89,89.0,70.9177079327446
2017-08,19,64,64.0,70.24488982501362
2017-09,23,48,48.0,51.89999914559142
2017-10,33,40,40.0,56.317614870349246
2017-11,43,36,36.0,49.34744540820081
2017-12,56,35,35.0,67.22856655811933
2018-01,56,40,40.0,56.4547183214211
2018-02,33,42,42.0,56.483430648624505
2018-03,27,51,51.0,52.665150639203
2018-04,24,56,56.0,60.87706837753157
2018-05,22,71,71.0,68.02884400546675
2018-06,21,79,79.0,89.1401437392802
2018-07,21,91,91.0,101.30076396109332
2018-08,21,66,66.0,84.34321338654831
2018-09,24,49,49.0,63.74663851209701
2018-10,39,39,39.0,50.76246464208622
2018-11,53,34,34.0,46.11916334174772
2018-12,48,36,36.0,46.749071698018966
2019-01,49,39,39.0,45.408467798294765
2019-02,39,42,42.0,50.22827193371192
2019-03,30,53,53.0,54.38263237870503
2019-04,24,57,57.0,61.26890948928457
2019-05,23,65,65.0,75.9034044312089
2019-06,22,82,82.0,81.96455163974042
2019-07,21,100,100.0,89.28924175807903
2019-08,21,68,68.0,74.59811585847466
2019-09,24,51,51.0,54.16398981723663
2019-10,40,40,40.0,47.6653555804606
2019-11,56,36,36.0,44.58353840910404
2019-12,46,36,36.0,43.14735949897309
2020-01,41,43,43.0,43.72811296375027
2020-02,34,45,45.0,48.2946498661064
2020-03,25,44,44.0,54.766266387813175
2020-04,25,53,53.0,64.22048659758023
2020-05,27,70,70.0,71.55911235950039
2020-06,24,74,74.0,83.94380848423427
