Month,Heater,Ice cream,actual,forecast
2017-03,25,44,44.0,48.67510905703247
2017-04,20,55,55.0,50.092555232410405
2017-05,21,60,60.0,53.55079393854399
2017-06,20,74,74.0,58.0978683313579
2017-07,19,89,89.0,58.608420836764736
2017-08,19,64,64.0,54.508424070371404
2017-09,23,48,48.0,52.10353061362726
2017-10,33,40,40.0,51.82304783175373
2017-11,43,36,36.0,50.1133505870271
2017-12,56,35,35.0,52.982282809514096
2018-01,56,40,40.0,50.38147037824808
2018-02,33,42,42.0,51.02066161289355
2018-03,27,51,51.0,47.77666205024107
2018-04,24,56,56.0,56.11256849816566
2018-05,22,71,71.0,62.13780243504666
2018-06,21,79,79.0,66.6216511426966
2018-07,21,91,91.0,64.5273368482634
2018-08,21,66,66.0,59.48804333464288
2018-09,24,49,49.0,51.508507706129386
2018-10,39,39,39.0,44.88865890534483
2018-11,53,34,34.0,39.76058796831929
2018-12,48,36,36.0,39.928811116452536
2019-01,49,39,39.0,45.20886764236959
2019-02,39,42,42.0,46.24422282642942
2019-03,30,53,53.0,52.065367349492114
2019-04,24,57,57.0,58.708898504976034
2019-05,23,65,65.0,72.5519306200832
2019-06,22,82,82.0,75.33364871694194
2019-07,21,100,100.0,73.97829195192487
2019-08,21,68,68.0,69.33292980098912
2019-09,24,51,51.0,58.00026330136853
2019-10,40,40,40.0,48.52518225765366
2019-11,56,36,36.0,41.66658182684196
2019-12,46,36,36.0,35.90769508963418
2020-01,41,43,43.0,37.43238656528047
2020-02,34,45,45.0,41.48256404397556
2020-03,25,44,44.0,53.97811705973243
2020-04,25,53,53.0,62.0052633204969
2020-05,27,70,70.0,71.4442788657558
2020-06,24,74,74.0,80.3642579417979
