Month,Heater,Ice cream,actual,forecast
2017-03,25,44,44.0,49.1301
2017-04,20,55,55.0,49.0886
2017-05,21,60,60.0,46.2908
2017-06,20,74,74.0,52.8536
2017-07,19,89,89.0,51.5799
2017-08,19,64,64.0,48.8714
2017-09,23,48,48.0,49.6232
2017-10,33,40,40.0,50.557
2017-11,43,36,36.0,48.9288
2017-12,56,35,35.0,47.0297
2018-01,56,40,40.0,41.9525
2018-02,33,42,42.0,44.3661
2018-03,27,51,51.0,52.6328
2018-04,24,56,56.0,62.6009
2018-05,22,71,71.0,63.4146
2018-06,21,79,79.0,60.9203
2018-07,21,91,91.0,55.7227
2018-08,21,66,66.0,53.3969
2018-09,24,49,49.0,47.4263
2018-10,39,39,39.0,40.0386
2018-11,53,34,34.0,35.5721
2018-12,48,36,36.0,33.4163
2019-01,49,39,39.0,43.058
2019-02,39,42,42.0,48.5486
2019-03,30,53,53.0,53.3691
2019-04,24,57,57.0,61.9469
2019-05,23,65,65.0,73.0287
2019-06,22,82,82.0,72.962
2019-07,21,100,100.0,66.7048
2019-08,21,68,68.0,60.611
2019-09,24,51,51.0,54.9556
2019-10,40,40,40.0,44.0248
2019-11,56,36,36.0,37.4658
2019-12,46,36,36.0,33.5182
2020-01,41,43,43.0,34.71
2020-02,34,45,45.0,42.34
2020-03,25,44,44.0,56.8487
2020-04,25,53,53.0,63.3294
2020-05,27,70,70.0,73.6574
2020-06,24,74,74.0,79.8441
