Date,Daily minimum temperatures,actual,forecast
1/1/1989,14.3,14.3,16.40753999306035
1/2/1989,17.4,17.4,14.582833097818732
1/3/1989,18.5,18.5,16.16932217345782
1/4/1989,16.8,16.8,17.218926034132558
1/5/1989,11.5,11.5,13.987013648218886
1/6/1989,9.5,9.5,13.75374694317923
1/7/1989,12.2,12.2,15.94660332675475
1/8/1989,15.7,15.7,14.44304783994339
1/9/1989,16.3,16.3,13.10214058035174
1/10/1989,13.6,13.6,13.675281214966084
1/11/1989,12.6,12.6,15.4475745370097
1/12/1989,13.8,13.8,15.594452762575775
1/13/1989,12.1,12.1,14.69083636242772
1/14/1989,13.4,13.4,13.761290980153696
1/15/1989,17.3,17.3,15.092203086475308
1/16/1989,19.4,19.4,15.196405414796953
1/17/1989,16.6,16.6,15.717806660239305
1/18/1989,13.9,13.9,15.638032250327427
1/19/1989,13.1,13.1,16.576046313209584
1/20/1989,16.0,16.0,17.910910841532928
1/21/1989,14.5,14.5,16.836089691201884
1/22/1989,15.0,15.0,15.44058102719215
1/23/1989,12.6,12.6,14.735952002439646
1/24/1989,12.5,12.5,12.293608568856978
1/25/1989,15.2,15.2,11.574897331669218
1/26/1989,16.2,16.2,11.930403177377135
1/27/1989,16.5,16.5,13.225104874181143
1/28/1989,20.1,20.1,11.952127220979072
1/29/1989,20.6,20.6,13.015197459891938
1/30/1989,16.9,16.9,14.045544727582548
1/31/1989,16.5,16.5,12.90905534005827
2/1/1989,16.1,16.1,11.854200418266371
2/2/1989,14.4,14.4,13.477750861114185
2/3/1989,16.3,16.3,14.711101085581396
2/4/1989,15.7,15.7,15.475209790337178
2/5/1989,14.2,14.2,13.49157744140641
2/6/1989,13.2,13.2,13.140633439163434
2/7/1989,16.8,16.8,15.10919562140224
2/8/1989,18.5,18.5,14.34658798036266
2/9/1989,16.7,16.7,13.301010832607092
2/10/1989,15.3,15.3,15.479861805310623
2/11/1989,15.9,15.9,14.728030219139049
2/12/1989,15.2,15.2,15.380660925463342
2/13/1989,17.5,17.5,14.981987791650326
2/14/1989,18.3,18.3,15.136286397321776
2/15/1989,19.4,19.4,16.27622801360236
2/16/1989,19.4,19.4,15.634784261096597
2/17/1989,19.5,19.5,15.516762370191536
2/18/1989,20.5,20.5,15.28662120746342
2/19/1989,15.7,15.7,14.73068678490988
2/20/1989,15.0,15.0,14.154667921722185
2/21/1989,16.1,16.1,13.506431269074948
2/22/1989,14.3,14.3,13.131617377267856
2/23/1989,13.0,13.0,13.545066175992623
2/24/1989,16.2,16.2,13.834438979015957
2/25/1989,17.7,17.7,13.895432790193224
2/26/1989,13.2,13.2,14.367799368236277
2/27/1989,15.8,15.8,15.13398797669039
2/28/1989,18.5,18.5,15.458479572525896
3/1/1989,20.4,20.4,15.607133520411734
3/2/1989,22.0,22.0,16.3124553624171
3/3/1989,19.7,19.7,16.754261270517297
3/4/1989,19.6,19.6,16.67980192806676
3/5/1989,20.3,20.3,16.04912527680051
3/6/1989,18.3,18.3,14.893547237323707
3/7/1989,18.9,18.9,13.01003073227552
3/8/1989,20.3,20.3,11.477312944748624
3/9/1989,21.4,21.4,11.19238371259773
3/10/1989,18.3,18.3,11.78840601028078
3/11/1989,17.8,17.8,11.698472135916647
3/12/1989,17.7,17.7,11.548800529506622
3/13/1989,12.8,12.8,12.285225673689345
3/14/1989,15.1,15.1,13.599619908388773
3/15/1989,15.0,15.0,12.801135561985165
3/16/1989,14.8,14.8,11.531352327486736
3/17/1989,12.0,12.0,13.517662991035907
3/18/1989,12.5,12.5,14.099008295213018
3/19/1989,15.0,15.0,14.389470779022108
3/20/1989,17.1,17.1,12.820410304216225
3/21/1989,17.3,17.3,12.129998068564968
3/22/1989,16.9,16.9,14.596084467978214
3/23/1989,16.5,16.5,14.0595544942738
3/24/1989,13.6,13.6,13.461241096155629
3/25/1989,13.2,13.2,14.900041279865706
3/26/1989,9.4,9.4,13.70985988618958
3/27/1989,9.5,9.5,16.046972050144575
3/28/1989,11.8,11.8,15.180804322134762
3/29/1989,10.4,10.4,14.487374350698737
3/30/1989,9.7,9.7,14.475447633575287
3/31/1989,12.6,12.6,13.861434168901654
4/1/1989,13.3,13.3,13.69407028334926
4/2/1989,15.1,15.1,14.464578170583078
4/3/1989,14.2,14.2,14.409876098342012
4/4/1989,14.2,14.2,15.386900394568382
4/5/1989,19.2,19.2,15.325261196170237
4/6/1989,12.6,12.6,15.948326295263431
4/7/1989,14.2,14.2,16.102069775968744
4/8/1989,11.9,11.9,16.50823298299535
4/9/1989,13.9,13.9,17.36717440684697
4/10/1989,13.5,13.5,17.427349565992657
4/11/1989,15.3,15.3,16.637615334519598
4/12/1989,13.9,13.9,15.24039386557946
4/13/1989,14.0,14.0,12.359650774560672
4/14/1989,12.9,12.9,11.00317950726806
4/15/1989,8.5,8.5,10.37773014160549
4/16/1989,11.4,11.4,10.504602694269092
4/17/1989,10.9,10.9,10.57704021061148
4/18/1989,12.0,12.0,10.618456519870128
4/19/1989,8.6,8.6,10.848402880681183
4/20/1989,9.0,9.0,12.193085939853177
4/21/1989,9.6,9.6,12.51531698648589
4/22/1989,10.2,10.2,11.290905417376097
4/23/1989,9.8,9.8,11.267282720555182
4/24/1989,8.3,8.3,11.69603360309895
4/25/1989,11.0,11.0,12.835990343751975
4/26/1989,11.9,11.9,11.764143613003023
4/27/1989,14.0,14.0,10.277440306942328
4/28/1989,15.8,15.8,11.266945507547195
4/29/1989,14.5,14.5,10.196784206614526
4/30/1989,13.2,13.2,8.608524732434773
5/1/1989,14.2,14.2,8.82085978999352
5/2/1989,14.6,14.6,8.240710158204246
5/3/1989,11.8,11.8,6.870899617899515
5/4/1989,14.4,14.4,7.977439844107549
5/5/1989,10.4,10.4,10.09977865967606
5/6/1989,10.3,10.3,9.855986722360992
5/7/1989,10.8,10.8,7.559445022011413
5/8/1989,10.5,10.5,7.343605949845122
5/9/1989,9.5,9.5,8.376810150992688
5/10/1989,12.5,12.5,7.577427053881041
5/11/1989,13.7,13.7,7.594829519798662
5/12/1989,12.7,12.7,6.401343269251315
5/13/1989,11.9,11.9,7.414677432868475
5/14/1989,11.4,11.4,5.974415871795484
5/15/1989,9.7,9.7,6.576869718113598
5/16/1989,8.3,8.3,7.089882623614236
5/17/1989,8.1,8.1,5.471732549688338
5/18/1989,11.7,11.7,6.64344115585781
5/19/1989,11.6,11.6,7.462785520714439
5/20/1989,7.4,7.4,7.044528865482573
5/21/1989,5.2,5.2,8.191204336354607
5/22/1989,11.0,11.0,7.475124346738211
5/23/1989,9.5,9.5,7.077243972031158
5/24/1989,9.2,9.2,7.621019125110567
5/25/1989,10.7,10.7,7.382625620797741
5/26/1989,9.0,9.0,7.40371407777214
5/27/1989,10.2,10.2,7.533885074573046
5/28/1989,10.3,10.3,7.135610982202562
5/29/1989,12.1,12.1,7.250661236410058
5/30/1989,13.2,13.2,7.134443622639937
5/31/1989,6.6,6.6,6.039246917753959
6/1/1989,2.3,2.3,6.120530377050689
6/2/1989,1.4,1.4,6.580617174619984
6/3/1989,2.1,2.1,6.994527932176648
6/4/1989,6.6,6.6,6.720791310359576
6/5/1989,8.9,8.9,6.082298867394808
6/6/1989,7.8,7.8,5.9159752966765184
6/7/1989,9.0,9.0,6.473846364872614
6/8/1989,10.3,10.3,6.824240081948632
6/9/1989,7.9,7.9,6.888876084000085
6/10/1989,7.2,7.2,6.565154500214387
6/11/1989,8.6,8.6,6.50195543453998
6/12/1989,8.8,8.8,6.716683772794072
6/13/1989,6.2,6.2,6.7849525281113054
6/14/1989,9.5,9.5,6.898966097334082
6/15/1989,10.2,10.2,7.034035696876741
6/16/1989,9.7,9.7,7.096426032107887
6/17/1989,11.2,11.2,6.86878317371736
6/18/1989,10.2,10.2,6.626566228050995
6/19/1989,10.1,10.1,6.903648119062454
6/20/1989,8.1,8.1,7.104744678941384
6/21/1989,6.6,6.6,6.922311836646824
6/22/1989,5.0,5.0,6.681524083678813
6/23/1989,4.7,4.7,6.478664384957991
6/24/1989,5.3,5.3,6.666240965822857
6/25/1989,4.5,4.5,6.731671178920027
6/26/1989,2.3,2.3,6.562351772508268
6/27/1989,1.4,1.4,6.526186857102971
6/28/1989,0.5,0.5,6.4447194854373375
6/29/1989,2.4,2.4,6.508970723453846
6/30/1989,8.0,8.0,6.522037697264504
7/1/1989,6.0,6.0,6.571594337005551
7/2/1989,7.1,7.1,6.647490615833135
7/3/1989,9.7,9.7,6.695383332615514
7/4/1989,6.9,6.9,6.604400915758669
7/5/1989,5.3,5.3,6.595293381658556
7/6/1989,7.0,7.0,6.767954185425356
7/7/1989,6.2,6.2,6.957791436487993
7/8/1989,7.0,7.0,6.956883974141425
7/9/1989,9.7,9.7,6.854668383383865
7/10/1989,8.0,8.0,6.78682843427413
7/11/1989,8.5,8.5,6.874550762402186
7/12/1989,7.1,7.1,6.93266126321696
7/13/1989,7.5,7.5,6.904095316506842
7/14/1989,3.3,3.3,6.8276574641508265
7/15/1989,1.8,1.8,6.716981420443746
7/16/1989,2.6,2.6,6.651326156684628
7/17/1989,5.3,5.3,6.659518484759483
