Date,Daily minimum temperatures,actual,forecast
1/1/1989,14.3,14.3,13.109280586242676
1/2/1989,17.4,17.4,12.370261192321776
1/3/1989,18.5,18.5,11.81899356842041
1/4/1989,16.8,16.8,11.407779693603516
1/5/1989,11.5,11.5,11.101037979125977
1/6/1989,9.5,9.5,10.872225761413574
1/7/1989,12.2,12.2,10.701545715332031
1/8/1989,15.7,15.7,10.574227333068848
1/9/1989,16.3,16.3,10.479254722595217
1/10/1989,13.6,13.6,10.408411026000977
1/11/1989,12.6,12.6,10.355566024780272
1/12/1989,13.8,13.8,10.31614589691162
1/13/1989,12.1,12.1,10.286744117736816
1/14/1989,13.4,13.4,10.264815330505373
1/15/1989,17.3,17.3,10.248459815979004
1/16/1989,19.4,19.4,10.236261367797852
1/17/1989,16.6,16.6,10.227163314819336
1/18/1989,13.9,13.9,10.220377922058104
1/19/1989,13.1,13.1,10.215317726135254
1/20/1989,16.0,16.0,10.211543083190918
1/21/1989,14.5,14.5,10.208727836608888
1/22/1989,15.0,15.0,10.20662784576416
1/23/1989,12.6,12.6,10.205060958862305
1/24/1989,12.5,12.5,10.203892707824709
1/25/1989,15.2,15.2,10.203022003173828
1/26/1989,16.2,16.2,10.20237159729004
1/27/1989,16.5,16.5,10.201886177062988
1/28/1989,20.1,20.1,10.20152473449707
1/29/1989,20.6,20.6,10.201255798339844
1/30/1989,16.9,16.9,10.201054573059082
1/31/1989,16.5,16.5,10.200904846191406
2/1/1989,16.1,16.1,10.200793266296388
2/2/1989,14.4,14.4,10.200709342956545
2/3/1989,16.3,16.3,10.20064640045166
2/4/1989,15.7,15.7,10.200600624084473
2/5/1989,14.2,14.2,10.200565338134766
2/6/1989,13.2,13.2,10.200539588928224
2/7/1989,16.8,16.8,10.200520515441896
2/8/1989,18.5,18.5,10.200505256652832
2/9/1989,16.7,16.7,10.200493812561035
2/10/1989,15.3,15.3,10.200486183166504
2/11/1989,15.9,15.9,10.200481414794922
2/12/1989,15.2,15.2,10.20047664642334
2/13/1989,17.5,17.5,10.200472831726074
2/14/1989,18.3,18.3,10.200469970703123
2/15/1989,19.4,19.4,10.200469017028809
2/16/1989,19.4,19.4,10.200467109680176
2/17/1989,19.5,19.5,10.20046615600586
2/18/1989,20.5,20.5,10.200465202331545
2/19/1989,15.7,15.7,10.200464248657228
2/20/1989,15.0,15.0,10.200464248657228
2/21/1989,16.1,16.1,10.200464248657228
2/22/1989,14.3,14.3,10.200464248657228
2/23/1989,13.0,13.0,10.200464248657228
2/24/1989,16.2,16.2,10.200464248657228
2/25/1989,17.7,17.7,10.200464248657228
2/26/1989,13.2,13.2,10.200464248657228
2/27/1989,15.8,15.8,10.200464248657228
2/28/1989,18.5,18.5,10.200464248657228
3/1/1989,20.4,20.4,10.200464248657228
3/2/1989,22.0,22.0,10.200464248657228
3/3/1989,19.7,19.7,10.200464248657228
3/4/1989,19.6,19.6,10.200464248657228
3/5/1989,20.3,20.3,10.200464248657228
