Date,Daily minimum temperatures,actual,forecast
1/1/1989,14.3,14.3,14.332290649414062
1/2/1989,17.4,17.4,14.52421760559082
1/3/1989,18.5,18.5,13.862619400024414
1/4/1989,16.8,16.8,13.689340591430664
1/5/1989,11.5,11.5,14.466368675231934
1/6/1989,9.5,9.5,14.829795837402344
1/7/1989,12.2,12.2,14.364269256591797
1/8/1989,15.7,15.7,14.754976272583008
1/9/1989,16.3,16.3,14.34906768798828
1/10/1989,13.6,13.6,13.778142929077148
1/11/1989,12.6,12.6,13.88009262084961
1/12/1989,13.8,13.8,13.916118621826172
1/13/1989,12.1,12.1,14.100980758666992
1/14/1989,13.4,13.4,14.139389038085938
1/15/1989,17.3,17.3,14.100675582885742
1/16/1989,19.4,19.4,14.090232849121094
1/17/1989,16.6,16.6,14.012208938598633
1/18/1989,13.9,13.9,13.99439811706543
1/19/1989,13.1,13.1,14.031458854675291
1/20/1989,16.0,16.0,14.07703685760498
1/21/1989,14.5,14.5,14.092155456542969
1/22/1989,15.0,15.0,14.093058586120604
1/23/1989,12.6,12.6,14.051642417907717
1/24/1989,12.5,12.5,13.981851577758787
1/25/1989,15.2,15.2,13.95863914489746
1/26/1989,16.2,16.2,13.953245162963867
1/27/1989,16.5,16.5,13.96247100830078
1/28/1989,20.1,20.1,13.96774673461914
1/29/1989,20.6,20.6,13.95821475982666
1/30/1989,16.9,16.9,13.946533203125
1/31/1989,16.5,16.5,13.929479598999023
2/1/1989,16.1,16.1,13.916670799255373
2/2/1989,14.4,14.4,13.911638259887695
2/3/1989,16.3,16.3,13.910406112670898
2/4/1989,15.7,15.7,13.90911865234375
2/5/1989,14.2,14.2,13.904141426086426
2/6/1989,13.2,13.2,13.893816947937012
2/7/1989,16.8,16.8,13.879583358764648
2/8/1989,18.5,18.5,13.86808967590332
2/9/1989,16.7,16.7,13.860010147094728
2/10/1989,15.3,15.3,13.854331970214844
2/11/1989,15.9,15.9,13.849245071411133
2/12/1989,15.2,15.2,13.842691421508787
2/13/1989,17.5,17.5,13.835220336914062
2/14/1989,18.3,18.3,13.827104568481444
2/15/1989,19.4,19.4,13.819250106811523
2/16/1989,19.4,19.4,13.812459945678713
2/17/1989,19.5,19.5,13.806550979614258
2/18/1989,20.5,20.5,13.801074981689451
2/19/1989,15.7,15.7,13.79532241821289
2/20/1989,15.0,15.0,13.788923263549805
2/21/1989,16.1,16.1,13.782011032104492
2/22/1989,14.3,14.3,13.775218963623049
2/23/1989,13.0,13.0,13.768909454345703
2/24/1989,16.2,16.2,13.76305866241455
2/25/1989,17.7,17.7,13.757466316223145
2/26/1989,13.2,13.2,13.751850128173828
2/27/1989,15.8,15.8,13.74614429473877
2/28/1989,18.5,18.5,13.740386962890623
3/1/1989,20.4,20.4,13.734683990478516
3/2/1989,22.0,22.0,13.729166984558104
3/3/1989,19.7,19.7,13.723862648010254
3/4/1989,19.6,19.6,13.718724250793455
3/5/1989,20.3,20.3,13.71365451812744
3/6/1989,18.3,18.3,13.708576202392578
3/7/1989,18.9,18.9,13.703483581542969
3/8/1989,20.3,20.3,13.69843864440918
3/9/1989,21.4,21.4,13.693503379821776
3/10/1989,18.3,18.3,13.688694953918455
3/11/1989,17.8,17.8,13.68399429321289
3/12/1989,17.7,17.7,13.679367065429688
3/13/1989,12.8,12.8,13.674789428710938
3/14/1989,15.1,15.1,13.67025661468506
3/15/1989,15.0,15.0,13.66578197479248
3/16/1989,14.8,14.8,13.661384582519531
3/17/1989,12.0,12.0,13.657072067260742
3/18/1989,12.5,12.5,13.652839660644531
3/19/1989,15.0,15.0,13.648677825927734
3/20/1989,17.1,17.1,13.644571304321287
3/21/1989,17.3,17.3,13.64051628112793
3/22/1989,16.9,16.9,13.636514663696287
3/23/1989,16.5,16.5,13.632575988769531
3/24/1989,13.6,13.6,13.628704071044922
3/25/1989,13.2,13.2,13.62489891052246
3/26/1989,9.4,9.4,13.621153831481934
3/27/1989,9.5,9.5,13.617464065551758
3/28/1989,11.8,11.8,13.613826751708984
3/29/1989,10.4,10.4,13.610243797302246
3/30/1989,9.7,9.7,13.60671615600586
3/31/1989,12.6,12.6,13.603243827819824
4/1/1989,13.3,13.3,13.59982681274414
4/2/1989,15.1,15.1,13.596466064453123
