Date,Daily minimum temperatures,actual,forecast
1/1/1989,14.3,14.3,13.51388168334961
1/2/1989,17.4,17.4,13.640745162963867
1/3/1989,18.5,18.5,13.781715393066406
1/4/1989,16.8,16.8,14.104433059692385
1/5/1989,11.5,11.5,13.939355850219728
1/6/1989,9.5,9.5,13.967491149902344
1/7/1989,12.2,12.2,13.790838241577148
1/8/1989,15.7,15.7,13.777013778686523
1/9/1989,16.3,16.3,13.584346771240234
1/10/1989,13.6,13.6,13.42046070098877
1/11/1989,12.6,12.6,13.481399536132812
1/12/1989,13.8,13.8,13.526599884033203
1/13/1989,12.1,12.1,13.547165870666504
1/14/1989,13.4,13.4,13.513931274414062
1/15/1989,17.3,17.3,13.449973106384276
1/16/1989,19.4,19.4,13.42064094543457
1/17/1989,16.6,16.6,13.404867172241213
1/18/1989,13.9,13.9,13.40072250366211
1/19/1989,13.1,13.1,13.37594223022461
1/20/1989,16.0,16.0,13.34617805480957
1/21/1989,14.5,14.5,13.320442199707031
1/22/1989,15.0,15.0,13.297283172607422
1/23/1989,12.6,12.6,13.274460792541504
1/24/1989,12.5,12.5,13.25053596496582
1/25/1989,15.2,15.2,13.229731559753418
1/26/1989,16.2,16.2,13.211551666259766
1/27/1989,16.5,16.5,13.193744659423828
1/28/1989,20.1,20.1,13.175212860107422
1/29/1989,20.6,20.6,13.155245780944824
1/30/1989,16.9,16.9,13.136133193969728
1/31/1989,16.5,16.5,13.118430137634276
2/1/1989,16.1,16.1,13.101664543151855
2/2/1989,14.4,14.4,13.084871292114258
2/3/1989,16.3,16.3,13.067922592163086
2/4/1989,15.7,15.7,13.051339149475098
2/5/1989,14.2,14.2,13.035317420959473
2/6/1989,13.2,13.2,13.019794464111328
2/7/1989,16.8,16.8,13.004609107971191
2/8/1989,18.5,18.5,12.989721298217772
2/9/1989,16.7,16.7,12.9752197265625
2/10/1989,15.3,15.3,12.961095809936523
2/11/1989,15.9,15.9,12.947299003601074
2/12/1989,15.2,15.2,12.933767318725586
2/13/1989,17.5,17.5,12.920527458190918
2/14/1989,18.3,18.3,12.907617568969728
2/15/1989,19.4,19.4,12.895033836364746
2/16/1989,19.4,19.4,12.88274383544922
2/17/1989,19.5,19.5,12.870718955993652
2/18/1989,20.5,20.5,12.85896110534668
2/19/1989,15.7,15.7,12.847479820251465
2/20/1989,15.0,15.0,12.836273193359377
2/21/1989,16.1,16.1,12.825328826904297
2/22/1989,14.3,14.3,12.814635276794434
2/23/1989,13.0,13.0,12.804186820983888
2/24/1989,16.2,16.2,12.79398250579834
2/25/1989,17.7,17.7,12.784015655517578
2/26/1989,13.2,13.2,12.774279594421388
2/27/1989,15.8,15.8,12.764768600463867
2/28/1989,18.5,18.5,12.755475997924805
3/1/1989,20.4,20.4,12.746400833129885
3/2/1989,22.0,22.0,12.73753547668457
3/3/1989,19.7,19.7,12.728876113891602
3/4/1989,19.6,19.6,12.720417022705078
3/5/1989,20.3,20.3,12.712152481079102
3/6/1989,18.3,18.3,12.704081535339355
3/7/1989,18.9,18.9,12.696196556091309
3/8/1989,20.3,20.3,12.688494682312012
3/9/1989,21.4,21.4,12.680971145629885
3/10/1989,18.3,18.3,12.673622131347656
3/11/1989,17.8,17.8,12.666443824768066
3/12/1989,17.7,17.7,12.659431457519531
3/13/1989,12.8,12.8,12.652581214904783
3/14/1989,15.1,15.1,12.645889282226562
3/15/1989,15.0,15.0,12.639352798461914
3/16/1989,14.8,14.8,12.63296890258789
3/17/1989,12.0,12.0,12.626731872558594
3/18/1989,12.5,12.5,12.62063980102539
3/19/1989,15.0,15.0,12.614688873291016
3/20/1989,17.1,17.1,12.608877182006836
3/21/1989,17.3,17.3,12.603199005126951
3/22/1989,16.9,16.9,12.597650527954102
