Date,Daily minimum temperatures,actual,forecast
1/1/1989,14.3,14.3,13.484345436096191
1/2/1989,17.4,17.4,13.205924987792969
1/3/1989,18.5,18.5,12.80919361114502
1/4/1989,16.8,16.8,13.062785148620604
1/5/1989,11.5,11.5,14.630213737487791
1/6/1989,9.5,9.5,15.235846519470217
1/7/1989,12.2,12.2,14.703980445861816
1/8/1989,15.7,15.7,14.194292068481444
1/9/1989,16.3,16.3,14.075956344604492
1/10/1989,13.6,13.6,13.592291831970217
1/11/1989,12.6,12.6,13.665556907653809
1/12/1989,13.8,13.8,14.002813339233398
1/13/1989,12.1,12.1,14.3748140335083
1/14/1989,13.4,13.4,14.3388032913208
1/15/1989,17.3,17.3,14.087799072265623
1/16/1989,19.4,19.4,13.958480834960938
1/17/1989,16.6,16.6,13.895585060119627
1/18/1989,13.9,13.9,13.928902626037598
1/19/1989,13.1,13.1,14.177143096923828
1/20/1989,16.0,16.0,14.389740943908691
1/21/1989,14.5,14.5,14.472637176513672
1/22/1989,15.0,15.0,14.4069185256958
1/23/1989,12.6,12.6,14.34032154083252
1/24/1989,12.5,12.5,14.290549278259276
1/25/1989,15.2,15.2,14.29780101776123
1/26/1989,16.2,16.2,14.386536598205566
1/27/1989,16.5,16.5,14.493793487548828
1/28/1989,20.1,20.1,14.55029296875
1/29/1989,20.6,20.6,14.53309154510498
1/30/1989,16.9,16.9,14.48821258544922
1/31/1989,16.5,16.5,14.45973777770996
2/1/1989,16.1,16.1,14.463348388671877
2/2/1989,14.4,14.4,14.513251304626465
2/3/1989,16.3,16.3,14.581439018249512
2/4/1989,15.7,15.7,14.633134841918944
2/5/1989,14.2,14.2,14.64922046661377
2/6/1989,13.2,13.2,14.641722679138184
2/7/1989,16.8,16.8,14.632949829101562
2/8/1989,18.5,18.5,14.638930320739746
2/9/1989,16.7,16.7,14.666411399841309
2/10/1989,15.3,15.3,14.706379890441896
2/11/1989,15.9,15.9,14.74116325378418
2/12/1989,15.2,15.2,14.758872985839844
2/13/1989,17.5,17.5,14.761176109313965
2/14/1989,18.3,18.3,14.75919246673584
2/15/1989,19.4,19.4,14.76339054107666
2/16/1989,19.4,19.4,14.779187202453612
2/17/1989,19.5,19.5,14.803630828857422
2/18/1989,20.5,20.5,14.828368186950684
2/19/1989,15.7,15.7,14.84593105316162
2/20/1989,15.0,15.0,14.854938507080078
2/21/1989,16.1,16.1,14.859728813171388
2/22/1989,14.3,14.3,14.866290092468262
2/23/1989,13.0,13.0,14.878236770629885
2/24/1989,16.2,16.2,14.895148277282717
2/25/1989,17.7,17.7,14.91317081451416
2/26/1989,13.2,13.2,14.928080558776855
2/27/1989,15.8,15.8,14.938207626342772
2/28/1989,18.5,18.5,14.945080757141112
3/1/1989,20.4,20.4,14.951812744140623
3/2/1989,22.0,22.0,14.960869789123535
3/3/1989,19.7,19.7,14.97269344329834
3/4/1989,19.6,19.6,14.985712051391602
3/5/1989,20.3,20.3,14.997653007507324
3/6/1989,18.3,18.3,15.007192611694336
3/7/1989,18.9,18.9,15.014654159545898
3/8/1989,20.3,20.3,15.021523475646973
