Date,Daily minimum temperatures,actual,forecast
1/1/1989,14.3,14.3,13.078177
1/2/1989,17.4,17.4,13.307707
1/3/1989,18.5,18.5,13.609679
1/4/1989,16.8,16.8,14.80204
1/5/1989,11.5,11.5,13.354713
1/6/1989,9.5,9.5,14.131685
1/7/1989,12.2,12.2,15.581399
1/8/1989,15.7,15.7,14.945163
1/9/1989,16.3,16.3,14.67614
1/10/1989,13.6,13.6,14.269933
1/11/1989,12.6,12.6,14.812959
1/12/1989,13.8,13.8,14.637996
1/13/1989,12.1,12.1,14.5381565
1/14/1989,13.4,13.4,14.853984
1/15/1989,17.3,17.3,14.834379
1/16/1989,19.4,19.4,14.653899
1/17/1989,16.6,16.6,14.450489
1/18/1989,13.9,13.9,15.09742
1/19/1989,13.1,13.1,14.683827
1/20/1989,16.0,16.0,14.771087
1/21/1989,14.5,14.5,14.449611
1/22/1989,15.0,15.0,13.993083
1/23/1989,12.6,12.6,14.419105
1/24/1989,12.5,12.5,14.727113
1/25/1989,15.2,15.2,14.655268
1/26/1989,16.2,16.2,14.314157
1/27/1989,16.5,16.5,14.535788
1/28/1989,20.1,20.1,14.665173
1/29/1989,20.6,20.6,14.708673
1/30/1989,16.9,16.9,14.742325
1/31/1989,16.5,16.5,14.096295
2/1/1989,16.1,16.1,13.954549
2/2/1989,14.4,14.4,14.558714
2/3/1989,16.3,16.3,14.650936
2/4/1989,15.7,15.7,14.723439
2/5/1989,14.2,14.2,14.7160015
2/6/1989,13.2,13.2,14.166731
2/7/1989,16.8,16.8,14.297634
2/8/1989,18.5,18.5,14.376806
2/9/1989,16.7,16.7,14.554954
2/10/1989,15.3,15.3,14.660611
2/11/1989,15.9,15.9,14.724
2/12/1989,15.2,15.2,14.479239
2/13/1989,17.5,17.5,14.380209
2/14/1989,18.3,18.3,14.479315
2/15/1989,19.4,19.4,14.606553
2/16/1989,19.4,19.4,14.7455
2/17/1989,19.5,19.5,14.719128
2/18/1989,20.5,20.5,14.1871
2/19/1989,15.7,15.7,14.131712
2/20/1989,15.0,15.0,14.331557
2/21/1989,16.1,16.1,14.321032
2/22/1989,14.3,14.3,14.601656
2/23/1989,13.0,13.0,14.669934
2/24/1989,16.2,16.2,14.587113
2/25/1989,17.7,17.7,14.684638
2/26/1989,13.2,13.2,14.628718
2/27/1989,15.8,15.8,14.597165
2/28/1989,18.5,18.5,14.714744
3/1/1989,20.4,20.4,14.690825
3/2/1989,22.0,22.0,14.271167
3/3/1989,19.7,19.7,14.53235
3/4/1989,19.6,19.6,14.698353
3/5/1989,20.3,20.3,14.543278
3/6/1989,18.3,18.3,14.663519
3/7/1989,18.9,18.9,14.646885
3/8/1989,20.3,20.3,14.612559
3/9/1989,21.4,21.4,14.677239
3/10/1989,18.3,18.3,14.676881
3/11/1989,17.8,17.8,14.674873
3/12/1989,17.7,17.7,14.76027
3/13/1989,12.8,12.8,14.569007
3/14/1989,15.1,15.1,14.300732
3/15/1989,15.0,15.0,14.382313
3/16/1989,14.8,14.8,14.590332
3/17/1989,12.0,12.0,14.651009
3/18/1989,12.5,12.5,14.692135
3/19/1989,15.0,15.0,14.522382
3/20/1989,17.1,17.1,14.587113
3/21/1989,17.3,17.3,14.686052
3/22/1989,16.9,16.9,14.564626
3/23/1989,16.5,16.5,14.778481
3/24/1989,13.6,13.6,14.633514
3/25/1989,13.2,13.2,14.300732
3/26/1989,9.4,9.4,14.471694
3/27/1989,9.5,9.5,14.686269
3/28/1989,11.8,11.8,14.558208
3/29/1989,10.4,10.4,14.663519
3/30/1989,9.7,9.7,14.634801
3/31/1989,12.6,12.6,14.612559
4/1/1989,13.3,13.3,14.677239
4/2/1989,15.1,15.1,14.676881
4/3/1989,14.2,14.2,14.61754
4/4/1989,14.2,14.2,14.734214
4/5/1989,19.2,19.2,14.61826
4/6/1989,12.6,12.6,14.300732
4/7/1989,14.2,14.2,14.398948
4/8/1989,11.9,11.9,14.590332
4/9/1989,13.9,13.9,14.676455
4/10/1989,13.5,13.5,14.692135
4/11/1989,15.3,15.3,14.651435
4/12/1989,13.9,13.9,14.587113
4/13/1989,14.0,14.0,14.702685
4/14/1989,12.9,12.9,14.506005
4/15/1989,8.5,8.5,14.300732
4/16/1989,11.4,11.4,14.584114
4/17/1989,10.9,10.9,14.743603
4/18/1989,12.0,12.0,14.504461
4/19/1989,8.6,8.6,14.275286
4/20/1989,9.0,9.0,14.202424
4/21/1989,9.6,9.6,14.511902
4/22/1989,10.2,10.2,14.577426
4/23/1989,9.8,9.8,14.692135
4/24/1989,8.3,8.3,14.632794
4/25/1989,11.0,11.0,14.587113
4/26/1989,11.9,11.9,14.619906
4/27/1989,14.0,14.0,14.564626
4/28/1989,15.8,15.8,14.61754
4/29/1989,14.5,14.5,14.67294
4/30/1989,13.2,13.2,14.653683
5/1/1989,14.2,14.2,14.530461
5/2/1989,14.6,14.6,14.676881
5/3/1989,11.8,11.8,14.543278
5/4/1989,14.4,14.4,14.688965
5/5/1989,10.4,10.4,14.634801
5/6/1989,10.3,10.3,14.676881
5/7/1989,10.8,10.8,14.579715
5/8/1989,10.5,10.5,14.734214
5/9/1989,9.5,9.5,14.472573
5/10/1989,12.5,12.5,14.300732
5/11/1989,13.7,13.7,14.541711
5/12/1989,12.7,12.7,14.743603
5/13/1989,11.9,11.9,14.504461
5/14/1989,11.4,11.4,14.275286
5/15/1989,9.7,9.7,14.417586
5/16/1989,8.3,8.3,14.665173
5/17/1989,8.1,8.1,14.576149
5/18/1989,11.7,11.7,14.708768
5/19/1989,11.6,11.6,14.574174
5/20/1989,7.4,7.4,14.30813
5/21/1989,5.2,5.2,14.495252
5/22/1989,11.0,11.0,14.743603
5/23/1989,9.5,9.5,14.531771
5/24/1989,9.2,9.2,14.256092
5/25/1989,10.7,10.7,14.403538
5/26/1989,9.0,9.0,14.665173
5/27/1989,10.2,10.2,14.576149
5/28/1989,10.3,10.3,14.663519
