Date,Daily minimum temperatures,actual,forecast
1/1/1989,14.3,14.3,13.831314086914062
1/2/1989,17.4,17.4,14.5255708694458
1/3/1989,18.5,18.5,14.237480163574219
1/4/1989,16.8,16.8,14.346461296081543
1/5/1989,11.5,11.5,13.833511352539062
1/6/1989,9.5,9.5,14.321457862854004
1/7/1989,12.2,12.2,14.84655475616455
1/8/1989,15.7,15.7,14.854072570800781
1/9/1989,16.3,16.3,14.19261360168457
1/10/1989,13.6,13.6,14.091675758361816
1/11/1989,12.6,12.6,14.419872283935547
1/12/1989,13.8,13.8,14.835433959960938
1/13/1989,12.1,12.1,14.95107650756836
1/14/1989,13.4,13.4,14.601109504699707
1/15/1989,17.3,17.3,14.841404914855957
1/16/1989,19.4,19.4,14.879557609558105
1/17/1989,16.6,16.6,14.679495811462402
1/18/1989,13.9,13.9,14.805889129638672
1/19/1989,13.1,13.1,14.826759338378906
1/20/1989,16.0,16.0,14.679495811462402
1/21/1989,14.5,14.5,14.697002410888672
1/22/1989,15.0,15.0,14.845499992370605
1/23/1989,12.6,12.6,14.847854614257812
1/24/1989,12.5,12.5,14.665299415588379
1/25/1989,15.2,15.2,14.697002410888672
1/26/1989,16.2,16.2,14.865361213684082
1/27/1989,16.5,16.5,14.716104507446289
1/28/1989,20.1,20.1,14.679495811462402
1/29/1989,20.6,20.6,14.682806015014648
1/30/1989,16.9,16.9,14.847854614257812
1/31/1989,16.5,16.5,16.074079513549805
2/1/1989,16.1,16.1,15.874237060546875
2/2/1989,14.4,14.4,15.637752532958984
2/3/1989,16.3,16.3,15.637725830078125
2/4/1989,15.7,15.7,15.961925506591797
2/5/1989,14.2,14.2,15.688232421875
2/6/1989,13.2,13.2,15.617504119873047
2/7/1989,16.8,16.8,15.217683792114258
2/8/1989,18.5,18.5,14.218966484069824
2/9/1989,16.7,16.7,14.68338680267334
2/10/1989,15.3,15.3,14.980363845825195
2/11/1989,15.9,15.9,15.363387107849121
2/12/1989,15.2,15.2,16.150131225585938
2/13/1989,17.5,17.5,16.34000587463379
2/14/1989,18.3,18.3,15.803860664367676
2/15/1989,19.4,19.4,15.52271556854248
2/16/1989,19.4,19.4,14.671998023986816
2/17/1989,19.5,19.5,14.592463493347168
2/18/1989,20.5,20.5,14.563064575195312
2/19/1989,15.7,15.7,14.657754898071289
2/20/1989,15.0,15.0,14.7489595413208
2/21/1989,16.1,16.1,14.748517036437988
2/22/1989,14.3,14.3,14.875846862792969
2/23/1989,13.0,13.0,14.894275665283203
2/24/1989,16.2,16.2,14.53596305847168
2/25/1989,17.7,17.7,14.489855766296387
2/26/1989,13.2,13.2,14.29368782043457
2/27/1989,15.8,15.8,14.085933685302734
2/28/1989,18.5,18.5,14.38183307647705
3/1/1989,20.4,20.4,14.349390029907227
3/2/1989,22.0,22.0,18.453380584716797
3/3/1989,19.7,19.7,18.772663116455078
3/4/1989,19.6,19.6,19.016849517822266
3/5/1989,20.3,20.3,17.48349952697754
3/6/1989,18.3,18.3,16.401504516601562
3/7/1989,18.9,18.9,15.762165069580078
3/8/1989,20.3,20.3,14.390386581420898
3/9/1989,21.4,21.4,13.144428253173828
3/10/1989,18.3,18.3,14.431737899780273
3/11/1989,17.8,17.8,14.399650573730469
3/12/1989,17.7,17.7,14.162960052490234
3/13/1989,12.8,12.8,14.35599422454834
3/14/1989,15.1,15.1,14.881277084350586
3/15/1989,15.0,15.0,14.745387077331543
3/16/1989,14.8,14.8,15.20339298248291
3/17/1989,12.0,12.0,15.69117546081543
3/18/1989,12.5,12.5,15.781553268432617
3/19/1989,15.0,15.0,16.450185775756836
3/20/1989,17.1,17.1,16.411680221557617
3/21/1989,17.3,17.3,16.197341918945312
3/22/1989,16.9,16.9,15.284509658813477
3/23/1989,16.5,16.5,14.137467384338379
3/24/1989,13.6,13.6,14.66817569732666
3/25/1989,13.2,13.2,14.755136489868164
3/26/1989,9.4,9.4,14.874702453613281
3/27/1989,9.5,9.5,14.854965209960938
3/28/1989,11.8,11.8,14.871673583984375
3/29/1989,10.4,10.4,14.888349533081055
3/30/1989,9.7,9.7,14.620782852172852
3/31/1989,12.6,12.6,14.684904098510742
4/1/1989,13.3,13.3,13.084366798400879
4/2/1989,15.1,15.1,12.119711875915527
4/3/1989,14.2,14.2,12.329684257507324
4/4/1989,14.2,14.2,12.180233001708984
