Date,Daily minimum temperatures,actual,forecast
1/1/1989,14.3,14.3,13.831314
1/2/1989,17.4,17.4,14.525571
1/3/1989,18.5,18.5,14.23748
1/4/1989,16.8,16.8,14.346461
1/5/1989,11.5,11.5,13.833511
1/6/1989,9.5,9.5,14.321458
1/7/1989,12.2,12.2,14.846555
1/8/1989,15.7,15.7,14.854073
1/9/1989,16.3,16.3,14.192614
1/10/1989,13.6,13.6,14.091676
1/11/1989,12.6,12.6,14.419872
1/12/1989,13.8,13.8,14.835434
1/13/1989,12.1,12.1,14.9510765
1/14/1989,13.4,13.4,14.6011095
1/15/1989,17.3,17.3,14.841405
1/16/1989,19.4,19.4,14.879558
1/17/1989,16.6,16.6,14.679496
1/18/1989,13.9,13.9,14.805889
1/19/1989,13.1,13.1,14.826759
1/20/1989,16.0,16.0,14.679496
1/21/1989,14.5,14.5,14.697002
1/22/1989,15.0,15.0,14.8455
1/23/1989,12.6,12.6,14.847855
1/24/1989,12.5,12.5,14.665299
1/25/1989,15.2,15.2,14.697002
1/26/1989,16.2,16.2,14.865361
1/27/1989,16.5,16.5,14.7161045
1/28/1989,20.1,20.1,14.679496
1/29/1989,20.6,20.6,14.682806
1/30/1989,16.9,16.9,14.847855
1/31/1989,16.5,16.5,16.07408
2/1/1989,16.1,16.1,15.874237
2/2/1989,14.4,14.4,15.637753
2/3/1989,16.3,16.3,15.637726
2/4/1989,15.7,15.7,15.9619255
2/5/1989,14.2,14.2,15.688232
2/6/1989,13.2,13.2,15.617504
2/7/1989,16.8,16.8,15.217684
2/8/1989,18.5,18.5,14.2189665
2/9/1989,16.7,16.7,14.683387
2/10/1989,15.3,15.3,14.980364
2/11/1989,15.9,15.9,15.363387
2/12/1989,15.2,15.2,16.150131
2/13/1989,17.5,17.5,16.340006
2/14/1989,18.3,18.3,15.803861
2/15/1989,19.4,19.4,15.522716
2/16/1989,19.4,19.4,14.719026
2/17/1989,19.5,19.5,14.5924635
2/18/1989,20.5,20.5,14.5165825
2/19/1989,15.7,15.7,14.657755
2/20/1989,15.0,15.0,14.74896
2/21/1989,16.1,16.1,14.748517
2/22/1989,14.3,14.3,14.875847
2/23/1989,13.0,13.0,14.894276
2/24/1989,16.2,16.2,14.535963
2/25/1989,17.7,17.7,14.489856
2/26/1989,13.2,13.2,14.293688
2/27/1989,15.8,15.8,14.085934
2/28/1989,18.5,18.5,14.381833
3/1/1989,20.4,20.4,14.34939
3/2/1989,22.0,22.0,18.276972
3/3/1989,19.7,19.7,17.217722
3/4/1989,19.6,19.6,17.645403
3/5/1989,20.3,20.3,15.747886
3/6/1989,18.3,18.3,15.725
3/7/1989,18.9,18.9,15.901659
3/8/1989,20.3,20.3,15.48483
3/9/1989,21.4,21.4,14.309299
3/10/1989,18.3,18.3,14.63929
3/11/1989,17.8,17.8,14.840857
3/12/1989,17.7,17.7,14.530634
3/13/1989,12.8,12.8,14.324634
3/14/1989,15.1,15.1,15.190921
3/15/1989,15.0,15.0,14.984118
3/16/1989,14.8,14.8,15.193413
3/17/1989,12.0,12.0,15.454414
3/18/1989,12.5,12.5,15.633346
3/19/1989,15.0,15.0,15.08785
3/20/1989,17.1,17.1,14.789863
3/21/1989,17.3,17.3,14.871547
3/22/1989,16.9,16.9,14.839986
3/23/1989,16.5,16.5,14.731364
3/24/1989,13.6,13.6,14.720826
3/25/1989,13.2,13.2,14.776407
3/26/1989,9.4,9.4,14.7597065
3/27/1989,9.5,9.5,14.771183
3/28/1989,11.8,11.8,14.668386
3/29/1989,10.4,10.4,14.752127
3/30/1989,9.7,9.7,14.753006
3/31/1989,12.6,12.6,14.743436
4/1/1989,13.3,13.3,13.084367
4/2/1989,15.1,15.1,12.119712
4/3/1989,14.2,14.2,12.329684
4/4/1989,14.2,14.2,12.180233
4/5/1989,19.2,19.2,12.2383995
4/6/1989,12.6,12.6,11.6516485
4/7/1989,14.2,14.2,11.455815
4/8/1989,11.9,11.9,11.206421
4/9/1989,13.9,13.9,11.310982
4/10/1989,13.5,13.5,11.840974
4/11/1989,15.3,15.3,12.745252
4/12/1989,13.9,13.9,11.995568
4/13/1989,14.0,14.0,12.73579
4/14/1989,12.9,12.9,12.824788
4/15/1989,8.5,8.5,12.490191
4/16/1989,11.4,11.4,12.578738
4/17/1989,10.9,10.9,12.87921
4/18/1989,12.0,12.0,12.849152
4/19/1989,8.6,8.6,12.974662
4/20/1989,9.0,9.0,12.888607
4/21/1989,9.6,9.6,13.103469
4/22/1989,10.2,10.2,13.396375
4/23/1989,9.8,9.8,13.551019
4/24/1989,8.3,8.3,13.7518425
4/25/1989,11.0,11.0,14.035417
4/26/1989,11.9,11.9,14.061323
4/27/1989,14.0,14.0,14.335848
4/28/1989,15.8,15.8,14.106134
4/29/1989,14.5,14.5,14.047585
4/30/1989,13.2,13.2,14.408859
5/1/1989,14.2,14.2,12.195554
5/2/1989,14.6,14.6,11.327839
5/3/1989,11.8,11.8,11.155187
5/4/1989,14.4,14.4,11.406349
5/5/1989,10.4,10.4,11.83682
5/6/1989,10.3,10.3,12.051571
5/7/1989,10.8,10.8,11.686469
5/8/1989,10.5,10.5,12.018391
5/9/1989,9.5,9.5,13.294538
5/10/1989,12.5,12.5,12.537901
5/11/1989,13.7,13.7,12.98809
5/12/1989,12.7,12.7,12.688507
5/13/1989,11.9,11.9,13.131475
5/14/1989,11.4,11.4,13.360832
5/15/1989,9.7,9.7,13.329289
5/16/1989,8.3,8.3,13.514784
5/17/1989,8.1,8.1,13.859999
5/18/1989,11.7,11.7,14.116994
5/19/1989,11.6,11.6,14.021666
5/20/1989,7.4,7.4,14.191232
5/21/1989,5.2,5.2,14.100276
5/22/1989,11.0,11.0,14.151343
5/23/1989,9.5,9.5,14.246455
5/24/1989,9.2,9.2,14.203062
5/25/1989,10.7,10.7,14.332631
5/26/1989,9.0,9.0,14.280162
5/27/1989,10.2,10.2,14.439773
5/28/1989,10.3,10.3,14.640947
5/29/1989,12.1,12.1,14.830387
5/30/1989,13.2,13.2,14.815414
5/31/1989,6.6,6.6,11.667242
6/1/1989,2.3,2.3,10.223015
6/2/1989,1.4,1.4,9.818522
6/3/1989,2.1,2.1,10.032483
6/4/1989,6.6,6.6,10.743361
6/5/1989,8.9,8.9,10.377123
6/6/1989,7.8,7.8,10.767998
6/7/1989,9.0,9.0,10.6888685
6/8/1989,10.3,10.3,10.606021
6/9/1989,7.9,7.9,10.649253
6/10/1989,7.2,7.2,10.938587
6/11/1989,8.6,8.6,10.674024
6/12/1989,8.8,8.8,10.768162
6/13/1989,6.2,6.2,10.582539
6/14/1989,9.5,9.5,10.619872
6/15/1989,10.2,10.2,10.606236
6/16/1989,9.7,9.7,10.694565
6/17/1989,11.2,11.2,10.661437
6/18/1989,10.2,10.2,10.661015
6/19/1989,10.1,10.1,10.6166525
6/20/1989,8.1,8.1,10.661015
6/21/1989,6.6,6.6,10.6166525
6/22/1989,5.0,5.0,10.661015
6/23/1989,4.7,4.7,10.661015
6/24/1989,5.3,5.3,10.661015
6/25/1989,4.5,4.5,10.661015
6/26/1989,2.3,2.3,10.661015
6/27/1989,1.4,1.4,10.661015
6/28/1989,0.5,0.5,10.661015
6/29/1989,2.4,2.4,10.661015
6/30/1989,8.0,8.0,5.7121043
7/1/1989,6.0,6.0,7.32819
7/2/1989,7.1,7.1,7.77681
7/3/1989,9.7,9.7,7.7423725
7/4/1989,6.9,6.9,6.7768965
7/5/1989,5.3,5.3,6.7369556
7/6/1989,7.0,7.0,6.6930795
7/7/1989,6.2,6.2,7.282721
7/8/1989,7.0,7.0,7.8537884
7/9/1989,9.7,9.7,6.9813848
7/10/1989,8.0,8.0,6.9160295
7/11/1989,8.5,8.5,7.1197653
7/12/1989,7.1,7.1,7.6540494
7/13/1989,7.5,7.5,7.2618127
7/14/1989,3.3,3.3,7.856237
