dataset,scenario,challenger_branch,n_pairs,mae_base_count,mae_base_mean,mae_base_std,mae_base_median,mae_base_q1,mae_base_q3,mae_base_iqr,mae_base_ci95_low,mae_base_ci95_high,mae_challenger_count,mae_challenger_mean,mae_challenger_std,mae_challenger_median,mae_challenger_q1,mae_challenger_q3,mae_challenger_iqr,mae_challenger_ci95_low,mae_challenger_ci95_high,mae_difference_count,mae_difference_mean,mae_difference_std,mae_difference_median,mae_difference_q1,mae_difference_q3,mae_difference_iqr,mae_difference_ci95_low,mae_difference_ci95_high,mae_mean_difference,mae_median_difference,mae_challenger_better_by_mean,rmse_base_count,rmse_base_mean,rmse_base_std,rmse_base_median,rmse_base_q1,rmse_base_q3,rmse_base_iqr,rmse_base_ci95_low,rmse_base_ci95_high,rmse_challenger_count,rmse_challenger_mean,rmse_challenger_std,rmse_challenger_median,rmse_challenger_q1,rmse_challenger_q3,rmse_challenger_iqr,rmse_challenger_ci95_low,rmse_challenger_ci95_high,rmse_difference_count,rmse_difference_mean,rmse_difference_std,rmse_difference_median,rmse_difference_q1,rmse_difference_q3,rmse_difference_iqr,rmse_difference_ci95_low,rmse_difference_ci95_high,rmse_mean_difference,rmse_median_difference,rmse_challenger_better_by_mean,smape_base_count,smape_base_mean,smape_base_std,smape_base_median,smape_base_q1,smape_base_q3,smape_base_iqr,smape_base_ci95_low,smape_base_ci95_high,smape_challenger_count,smape_challenger_mean,smape_challenger_std,smape_challenger_median,smape_challenger_q1,smape_challenger_q3,smape_challenger_iqr,smape_challenger_ci95_low,smape_challenger_ci95_high,smape_difference_count,smape_difference_mean,smape_difference_std,smape_difference_median,smape_difference_q1,smape_difference_q3,smape_difference_iqr,smape_difference_ci95_low,smape_difference_ci95_high,smape_mean_difference,smape_median_difference,smape_challenger_better_by_mean,mase_base_count,mase_base_mean,mase_base_std,mase_base_median,mase_base_q1,mase_base_q3,mase_base_iqr,mase_base_ci95_low,mase_base_ci95_high,mase_challenger_count,mase_challenger_mean,mase_challenger_std,mase_challenger_median,mase_challenger_q1,mase_challenger_q3,mase_challenger_iqr,mase_challenger_ci95_low,mase_challenger_ci95_high,mase_difference_count,mase_difference_mean,mase_difference_std,mase_difference_median,mase_difference_q1,mase_difference_q3,mase_difference_iqr,mase_difference_ci95_low,mase_difference_ci95_high,mase_mean_difference,mase_median_difference,mase_challenger_better_by_mean,r2_base_count,r2_base_mean,r2_base_std,r2_base_median,r2_base_q1,r2_base_q3,r2_base_iqr,r2_base_ci95_low,r2_base_ci95_high,r2_challenger_count,r2_challenger_mean,r2_challenger_std,r2_challenger_median,r2_challenger_q1,r2_challenger_q3,r2_challenger_iqr,r2_challenger_ci95_low,r2_challenger_ci95_high,r2_difference_count,r2_difference_mean,r2_difference_std,r2_difference_median,r2_difference_q1,r2_difference_q3,r2_difference_iqr,r2_difference_ci95_low,r2_difference_ci95_high,r2_mean_difference,r2_median_difference,r2_challenger_better_by_mean
AirPassengers,S1,ChalML,16,16,21.959840810149878,0.0,21.959840810149878,21.959840810149878,21.959840810149878,0.0,21.959840810149878,21.959840810149878,16,77.79012400696496,0.0,77.79012400696496,77.79012400696496,77.79012400696496,0.0,77.79012400696496,77.79012400696496,16,55.83028319681508,0.0,55.83028319681508,55.83028319681508,55.83028319681508,0.0,55.83028319681508,55.83028319681508,55.83028319681508,55.83028319681508,False,16,26.03914002066169,0.0,26.03914002066169,26.03914002066169,26.03914002066169,0.0,26.03914002066169,26.03914002066169,16,101.90508797688334,0.0,101.90508797688334,101.90508797688334,101.90508797688334,0.0,101.90508797688334,101.90508797688334,16,75.86594795622165,0.0,75.86594795622165,75.86594795622165,75.86594795622165,0.0,75.86594795622165,75.86594795622165,75.86594795622165,75.86594795622165,False,16,4.892850811020417,0.0,4.892850811020417,4.892850811020417,4.892850811020417,0.0,4.892850811020417,4.892850811020417,16,17.917062569495812,0.0,17.917062569495812,17.917062569495812,17.917062569495812,0.0,17.917062569495812,17.917062569495812,16,13.024211758475396,0.0,13.024211758475396,13.024211758475396,13.024211758475396,0.0,13.024211758475396,13.024211758475396,13.024211758475396,13.024211758475396,False,16,0.7464896381008044,0.0,0.7464896381008044,0.7464896381008044,0.7464896381008044,0.0,0.7464896381008044,0.7464896381008044,16,2.6443507500717462,0.0,2.6443507500717462,2.6443507500717462,2.6443507500717462,0.0,2.6443507500717462,2.6443507500717462,16,1.8978611119709419,0.0,1.8978611119709419,1.8978611119709419,1.8978611119709419,0.0,1.8978611119709419,1.8978611119709419,1.8978611119709419,1.8978611119709419,False,16,0.8889281782913843,0.0,0.8889281782913843,0.8889281782913843,0.8889281782913843,0.0,0.8889281782913843,0.8889281782913843,16,-0.7011490128783204,0.0,-0.7011490128783204,-0.7011490128783204,-0.7011490128783204,0.0,-0.7011490128783204,-0.7011490128783204,16,-1.5900771911697047,0.0,-1.5900771911697047,-1.5900771911697047,-1.5900771911697047,0.0,-1.5900771911697047,-1.5900771911697047,-1.5900771911697047,-1.5900771911697047,False
AirPassengers,S2,ChalML,16,16,11.49637137855457,0.0,11.49637137855457,11.49637137855457,11.49637137855457,0.0,11.49637137855457,11.49637137855457,16,30.627559457965717,0.5862539900884522,30.480995967470367,30.480995967470367,30.480995967470367,0.0,30.340295002822376,30.914823913109057,16,19.131188079411146,0.5862539900884522,18.984624588915796,18.984624588915796,18.984624588915796,0.0,18.843923624267806,19.418452534554486,19.131188079411146,18.984624588915796,False,16,15.014304915841558,0.0,15.014304915841558,15.014304915841558,15.014304915841558,0.0,15.014304915841558,15.014304915841558,16,36.78245753034305,0.9346509430803753,36.54879478523569,36.54879478523569,36.54879478523569,0.0,36.324478568233665,37.24043649245244,16,21.76815261450149,0.9346509430803753,21.534489869394136,21.534489869394136,21.534489869394136,0.0,21.310173652392105,22.22613157661087,21.76815261450149,21.534489869394136,False,16,2.595548758638514,0.0,2.595548758638514,2.595548758638514,2.595548758638514,0.0,2.595548758638514,2.595548758638514,16,7.029997131843865,0.0949353781249773,7.006263288794157,7.006263288794157,7.006263288794157,0.0,6.983478796562626,7.0765154671251045,16,4.434448373205351,0.09493537812497728,4.4107145301556425,4.4107145301556425,4.4107145301556425,0.0,4.387930037924112,4.48096670848659,4.434448373205351,4.4107145301556425,False,16,0.390800743231393,0.0,0.390800743231393,0.390800743231393,0.390800743231393,0.0,0.390800743231393,0.390800743231393,16,1.041134859462201,0.019928765999706492,1.036152668201138,1.036152668201138,1.036152668201138,0.0,1.0313697641223447,1.0508999548020572,16,0.6503341162308081,0.019928765999706492,0.6453519249697449,0.6453519249697449,0.6453519249697449,0.0,0.6405690208909519,0.6600992115706642,0.6503341162308081,0.6453519249697449,False,16,0.9630715496203976,0.0,0.9630715496203976,0.9630715496203976,0.9630715496203976,0.0,0.9630715496203976,0.9630715496203976,16,0.7782340244942344,0.011764295108512445,0.7811750983831706,0.7811750983831706,0.7811750983831706,0.0,0.7724695198910633,0.7839985290974055,16,-0.18483752512616328,0.011764295108512445,-0.18189645123722709,-0.18189645123722709,-0.18189645123722709,0.0,-0.19060202972933438,-0.17907302052299218,-0.18483752512616328,-0.18189645123722709,False
AirPassengers,S3,ChalML,11,11,22.569776337054623,28.102905715493822,13.008424846188102,13.008424846188102,13.448151334244995,0.43972648805689296,5.962020354966128,39.17753231914312,11,40.432418000774085,31.318100399992304,26.035337098333983,26.035337098333983,27.043594105020915,1.0082570066869323,21.924603380776855,58.94023262077131,11,17.862641663719458,22.632429829030226,13.02691225214588,13.02691225214588,13.59544277077592,0.5685305186300393,4.487730340046394,31.237552987392522,17.862641663719458,13.02691225214588,False,11,28.690388126286837,34.62108753014099,17.23978255624867,17.23978255624867,17.450215321552605,0.21043276530393484,8.230632848450618,49.15014340412306,11,51.99472079816906,38.87180419742081,34.54519917741978,34.519815434627624,34.54519917741978,0.02538374279215816,29.02295249670237,74.96648909963575,11,23.30433267188222,28.039851142473545,17.305416621171112,17.06960011307502,17.305416621171112,0.235816508096093,6.733839561216243,39.8748257825482,23.30433267188222,17.305416621171112,False,11,5.271182891509294,6.666644059710769,2.990891995661545,2.990891995661545,3.0743914890087334,0.0834994933471882,1.3314480155503752,9.210917767468214,11,9.249504022840851,7.50544313109369,5.802373560782968,5.802373560782968,6.036737418102145,0.23436385731917753,4.8140705726291735,13.684937473052528,11,3.9783211313315565,5.375950906077133,2.8114815651214227,2.8114815651214227,2.962345929093412,0.15086436397198932,0.8013371666238451,7.1553050960392675,3.9783211313315565,2.8114815651214227,False,11,0.7672234200384906,0.9553132965992949,0.4422005805799916,0.4422005805799916,0.4571483786888564,0.014947798108864763,0.2026693387991788,1.3317775012778026,11,1.3744353313794493,1.0646086934650851,0.8850296109334655,0.8850296109334655,0.9193036939990608,0.03427408306559521,0.7452917980924146,2.003578864666484,11,0.6072119113409585,0.7693532252112586,0.44282903035347393,0.44282903035347393,0.4621553153102044,0.019326284956730444,0.15255320957913482,1.0618706131027822,0.6072119113409585,0.44282903035347393,False,11,0.6866580699279565,0.8530704360296509,0.9513128684301208,0.950117041700978,0.9513128684301208,0.0011958267291427571,0.1825256581217518,1.1907904817341612,11,0.33211406236874746,1.052210977836348,0.8045093354026089,0.8045093354026089,0.8047964165941864,0.00028708119157749845,-0.28970288917681714,0.953931013914312,11,-0.35454400755920906,0.8051987711316939,-0.1468035330275118,-0.1468035330275118,-0.14532062510679156,0.0014829079207202556,-0.8303860732663177,0.12129805814789968,-0.35454400755920906,-0.1468035330275118,False
AirPassengers,S4,ChalML,14,14,22.644646704584886,17.917330789012343,17.856038626157734,17.856038626157734,17.856038626157734,0.0,13.25897487086766,32.03031853830211,14,63.431492997774406,5.812770242382814,64.06806099013284,59.65817121992185,64.06806099013284,4.409889770210988,60.38657773767001,66.4764082578788,14,40.78684629318951,12.751217393789764,44.007077478869604,41.802132593764114,46.2120223639751,4.409889770210988,34.10735014793278,47.46634243844625,40.78684629318951,44.007077478869604,False,14,26.483086846772576,22.563965301506492,20.452613457823094,20.452613457823094,20.452613457823094,0.0,14.663359004431602,38.302814689113546,14,85.54319477113516,6.302252786444222,87.29326535970138,80.33324445986463,87.29326535970138,6.960020899836749,82.24187287429497,88.84451666797536,14,59.06010792436259,17.607173405031997,63.67117101856799,59.88063100204154,66.84065190187829,6.960020899836749,49.83690646400192,68.28330938472327,59.06010792436259,63.67117101856799,False,14,5.187802383580087,3.8675745493932077,4.154149606320374,4.154149606320374,4.154149606320374,0.0,3.1618429401510486,7.213761827009126,14,14.207915238428754,1.2088106870472748,14.434319019364494,13.33569051303543,14.434319019364494,1.0986285063290637,13.574701477332514,14.841128999524994,14,9.020112854848666,2.848261120301781,9.730855159879589,9.181540906715057,10.28016941304412,1.0986285063290637,7.528102438415321,10.512123271282011,9.020112854848666,9.730855159879589,False,14,0.7697685183406746,0.6090709806165912,0.6069874516482662,0.6069874516482662,0.6069874516482662,0.0,0.4507176276235543,1.088819409057795,14,2.156252072201572,0.19759582012060395,2.1778911821728326,2.0279840381689604,2.1778911821728326,0.14990714400387217,2.0527450518085844,2.25975909259456,14,1.386483553860898,0.4334572249374077,1.4959501585226305,1.4209965865206944,1.5709037305245666,0.14990714400387217,1.159424774005636,1.6135423337161598,1.386483553860898,1.4959501585226305,False,14,0.8076629119960058,0.4632628872436488,0.931475126572679,0.931475126572679,0.931475126572679,0.0,0.5649909714257267,1.050334852566285,14,-0.20477216981198318,0.18775914322030018,-0.2482802512158306,-0.2482802512158306,-0.0571612499293094,0.1911190012865212,-0.30312642373502474,-0.10641791588894162,14,-1.0124350818079892,0.31508109402118667,-1.0924004205672502,-1.1797553777885095,-0.9886363765019883,0.19111900128652115,-1.1774846522107956,-0.8473855114051829,-1.0124350818079892,-1.0924004205672502,False
ILINet,S1,ChalML,9,9,0.8384738287770014,0.054854773430028356,0.8667413094702294,0.7790097318894154,0.8793790903084411,0.10036935841902572,0.8026353768027162,0.8743122807512865,9,0.9110527398376544,0.03248932928520473,0.8958114994658546,0.8958114994658546,0.9220978275596208,0.026286328093766187,0.8898263780379874,0.9322791016373215,9,0.07257891106065308,0.04904141162630671,0.061190932489505134,0.029070189995625162,0.08821962699023933,0.05914943699461417,0.040538522131466026,0.10461929998984013,0.07257891106065308,0.061190932489505134,False,9,1.2369934582484192,0.043010639814903405,1.245265652113518,1.1951902734378126,1.271818548673902,0.0766282752360894,1.2088931735693489,1.2650937429274896,9,1.3296860590512916,0.04202636093525677,1.30517881793554,1.30517881793554,1.3441748350311276,0.03899601709558764,1.3022288365735906,1.3571432815289926,9,0.09269260080287246,0.04133559430889784,0.07235628635722557,0.059913165822021996,0.13091463290812522,0.07100146708610322,0.06568667918772587,0.11969852241801905,0.09269260080287246,0.07235628635722557,False,9,36.87809563164859,4.817288169786939,40.06215074192544,31.875307302387185,40.06215074192544,8.186843439538258,33.73080069405446,40.025390569242724,9,40.148375788603595,1.6221662274973985,39.3699640420181,39.3699640420181,40.88154554118058,1.5115814991624816,39.08856051997196,41.208191057235226,9,3.270280156954998,4.517866081539154,1.322168001122563,-0.6921866999073458,6.149381946590282,6.8415686464976275,0.3186076503494175,6.221952663560579,3.270280156954998,1.322168001122563,False,9,1.2350771929324722,0.08080142428026194,1.2767153687557873,1.1474862063762097,1.2953308989570351,0.14784469258082544,1.1822869290693678,1.2878674567955766,9,1.3419863827752094,0.04785698519935731,1.3195359404010345,1.3195359404010345,1.3582558660568005,0.038719925655765985,1.3107198191116294,1.3732529464387895,9,0.10690918984273706,0.07223830599127012,0.09013462619613666,0.04282057164524722,0.1299480622115312,0.087127490566284,0.059713496595107246,0.15410488309036688,0.10690918984273706,0.09013462619613666,False,9,0.342305876384028,0.04552172457345432,0.3341955201868151,0.3054987947954246,0.3866663467263987,0.08116755193097414,0.31256501632937117,0.3720467364386848,9,0.2401875771453197,0.04872908811094157,0.2685869104362947,0.224227794597928,0.2685869104362947,0.044359115838366686,0.20835123957950452,0.27202391471113485,9,-0.1021182992387083,0.0458206021940634,-0.08127100019749658,-0.13936862522486704,-0.06560860975052041,0.07376001547434663,-0.13205442600549638,-0.07218217247192021,-0.1021182992387083,-0.08127100019749658,False
ILINet,S4,ChalML,9,9,0.8347188943771923,0.007951062578914828,0.8305597573948241,0.8299410644289085,0.8406760033064878,0.01073493887757937,0.8295242001589679,0.8399135885954166,9,0.8652772056269052,0.07659462647302252,0.8677585447049926,0.8677585447049926,0.9314890561806836,0.06373051147569098,0.8152353829978639,0.9153190282559466,9,0.030558311249713,0.07840107663248007,0.037817480276084114,0.03719878731016846,0.09081305287419572,0.053614265564027264,-0.020663725483507308,0.08178034798293331,0.030558311249713,0.037817480276084114,False,9,1.2845494974712055,0.03517729743024814,1.261018717575495,1.261018717575495,1.3237386233720103,0.06271990579651532,1.2615669964834433,1.3075319984589677,9,1.327635827360756,0.09588599189586985,1.3314675266239815,1.3314675266239815,1.4102505839703925,0.078783057346411,1.2649903126554545,1.3902813420660576,9,0.0430863298895506,0.07650338268995957,0.0704488090484865,0.050371376586301864,0.08651196059838218,0.03614058401208031,-0.0068958801345563245,0.09306853991365752,0.0430863298895506,0.0704488090484865,False,9,34.55046219725365,1.1280973449940128,34.72402112786588,33.76983630143668,34.72402112786588,0.9541848264291986,33.81343859852423,35.28748579598307,9,35.172931796494396,2.476779665965747,35.543946457119034,35.543946457119034,36.914318445214526,1.370371988095492,33.55476908139678,36.791094511592014,9,0.6224695992407602,3.5552545934879545,0.8199253292531523,0.8199253292531523,3.144482143777843,2.3245568145246907,-1.7002967351713698,2.9452359336528904,0.6224695992407602,0.8199253292531523,False,9,1.2295461510812002,0.0117119648983204,1.2234197162982596,1.2225083776906551,1.238321009785042,0.01581263209438677,1.2218943340142976,1.237197968148103,9,1.2745587346392377,0.11282436375622584,1.278213762617568,1.278213762617568,1.3720892045408497,0.09387544192328168,1.2008468169851703,1.3482706522933052,9,0.045012583558037424,0.11548527613719971,0.055705384926912904,0.0547940463193084,0.1337681947558078,0.07897414843649941,-0.030437796851599717,0.12046296396767456,0.045012583558037424,0.055705384926912904,False,9,0.29105296663010405,0.03888205784073682,0.3172436304871374,0.2476374394156165,0.3172436304871374,0.06960619107152088,0.265650022174156,0.3164559110860521,9,0.23969189704782862,0.10374156658613055,0.2388261632995312,0.1460837642750522,0.2388261632995312,0.092742399024479,0.17191407354489,0.30746972055076727,9,-0.05136106958227542,0.0813050322884357,-0.07841746718760617,-0.10155367514056429,-0.054793424563566395,0.0467602505769979,-0.10448035734405342,0.0017582181795025784,-0.05136106958227542,-0.07841746718760617,False
IceCreamHeater,S1,ChalML,17,17,16.583964457504567,3.2985468599420096,15.329068497912804,15.329068497912804,15.6821605751342,0.3530920772213957,15.015934813704737,18.1519941013044,17,15.269985630435164,5.866372759281957,12.288475327757167,12.288475327757167,14.609764546756406,2.3212892189992385,12.481289038052774,18.058682222817556,17,-1.3139788270694037,3.009576042194838,-3.0405931701556366,-3.0405931701556366,-0.7193039511563981,2.3212892189992385,-2.744640463786076,0.11668280964726874,-1.3139788270694037,-3.0405931701556366,True,17,20.337934726342343,3.6228482191605362,18.93834847716184,18.93834847716184,19.44218870072853,0.5038402235666908,18.615742002140443,22.060127450544243,17,18.18203046892327,6.378824925510265,14.98290497237263,14.98290497237263,17.250379716751738,2.2674747443791077,15.149729579923564,21.214331357922973,17,-2.155904257419071,3.2562616810983345,-3.9554435047892085,-3.9554435047892085,-1.6879687604101008,2.2674747443791077,-3.703832803148879,-0.607975711689263,-2.155904257419071,-3.9554435047892085,True,17,30.144784840473843,9.710037603519677,26.600505918807265,26.600505918807265,27.01627171772699,0.4157657989197254,25.528925963453798,34.76064371749389,17,29.825880736138068,16.849050196114554,22.21109647426008,22.21109647426008,26.305156983188787,4.094060508928706,21.816350691795012,37.835410780481126,17,-0.3189041043357759,7.711036378020793,-4.389409444547184,-4.389409444547184,-0.2953489356184775,4.094060508928706,-3.9844981184732773,3.3466899098017255,-0.3189041043357759,-4.389409444547184,True,17,3.9563052463981485,0.786908237829303,3.656934641658937,3.656934641658937,3.7411690260941066,0.08423438443516984,3.5822328150341365,4.3303776777621605,17,3.6428397092214606,1.3994941549921005,2.9315643755760568,2.9315643755760568,3.485335986644502,0.5537716110684454,2.9775624175746813,4.30811700086824,17,-0.31346553717668746,0.7179707551641277,-0.72537026608288,-0.72537026608288,-0.1715986550144346,0.5537716110684454,-0.6547671694653052,0.02783609511193036,-0.31346553717668746,-0.72537026608288,True,17,-0.4310661202877785,0.6010628331208357,-0.2048973564795444,-0.2698609034763348,-0.2048973564795444,0.06496354699679038,-0.7167932541252378,-0.14533898645031934,17,-0.23923445214490394,1.051669035372948,0.2458497236702685,0.0003150294781928,0.2458497236702685,0.2455346941920757,-0.7391661775229532,0.2606972732331454,17,0.1918316681428746,0.5023308888281545,0.4507470801498129,0.20521238595773722,0.4507470801498129,0.2455346941920757,-0.04696127860723193,0.43062461489298115,0.1918316681428746,0.4507470801498129,True
IceCreamHeater,S2,ChalML,14,14,6.723811518040106,5.015621911232661,5.3844259377134565,5.370276590469533,5.39857528495738,0.028298694487846277,4.096468089760057,9.351154946320156,14,7.856696313409423,5.819512252826902,5.78110761642456,5.75633430480957,7.5777242422103885,1.8213899374008182,4.80824937225985,10.905143254558997,14,1.1328847953693184,1.2346451651241637,0.39657671165516906,0.3860574845304665,2.2003729781188937,1.8143154935884271,0.4861381070709,1.7796314836677367,1.1328847953693184,0.39657671165516906,False,14,7.888652668180829,5.809497249465468,6.336765351713112,6.326947481957138,6.346583221469086,0.019635739511947747,4.845451906614079,10.93185342974758,14,10.222015520992183,6.9513483992396115,7.328085565022986,7.287708592099347,11.020575053467224,3.7328664613678777,6.580676548944609,13.863354493039758,14,2.333362852811356,2.235779086711073,0.98599009601618,0.9540295772391212,4.16086007981849,3.206830502579369,1.1621901459131503,3.5045355597095615,2.333362852811356,0.98599009601618,False,14,13.295548790483846,10.74683323941754,10.425952298836677,10.39279631914403,10.458974324752395,0.06617800560836606,7.666013274026635,18.925084306941056,14,13.81991338623909,9.832445271665842,10.454681684120333,10.404975123172868,13.042519185633186,2.637544062460318,8.669363578930028,18.970463193548152,14,0.524364595755244,1.7845548197827015,0.012178900164136586,-0.05399891317363448,0.11065014646542393,0.1646490596390584,-0.41044238554077395,1.4591715770512619,0.524364595755244,0.012178900164136586,False,14,1.6040465386174108,1.1965372533332819,1.2845199132453669,1.2811444153734508,1.2878954111172831,0.006750995743832311,0.9772619952695559,2.2308310819652655,14,1.8743099048329677,1.3883150145632805,1.3791531241797155,1.3732431511473813,1.807757744056727,0.4345145929093457,1.1470660267155859,2.6015537829503494,14,0.27026336621555663,0.29453953285641826,0.09460816977394582,0.09209868095007856,0.524925579747318,0.43282689879723946,0.11597412358227374,0.4245526088488395,0.27026336621555663,0.09460816977394582,False,14,0.6856567240898299,0.6715484858584535,0.8651030475901718,0.8646850433067462,0.8655210518735972,0.0008360085668509543,0.33387811471335055,1.0374353334663093,14,0.4982375045807075,0.936119998815331,0.8195927239149214,0.5771798333235716,0.8215782308026862,0.24439839747911463,0.007867861394319997,0.988607147767095,14,-0.18741921950912246,0.28881588562716953,-0.04524914300001548,-0.2881322164083129,-0.0437075904389744,0.24442462596933848,-0.3387102323715604,-0.03612820664668451,-0.18741921950912246,-0.04524914300001548,False
IceCreamHeater,S3,ChalML,5,5,5.375936329367103,0.012655560909864574,5.370276590469533,5.370276590469533,5.370276590469533,0.0,5.364843241127867,5.387029417606339,5,5.616904502068261,0.10869412623248814,5.541952736510973,5.541952736510973,5.722574952983507,0.18062221647253374,5.521629899704032,5.712179104432489,5,0.24096817270115753,0.1149246154124775,0.17167614604144,0.17167614604144,0.35229836251397373,0.18062221647253374,0.1402323057798322,0.34170403962248286,0.24096817270115753,0.17167614604144,False,5,6.330874629859528,0.008781369667438742,6.326947481957138,6.326947481957138,6.326947481957138,0.0,6.323177419970844,6.338571839748211,5,7.663422270135032,0.12285013024353657,7.5785417160797,7.575064834154564,7.753392583616174,0.17832774946160956,7.555739383165486,7.771105157104579,5,1.3325476402755052,0.12650143548047296,1.2481173521974265,1.2481173521974265,1.426445101659036,0.17832774946160956,1.2216642431531337,1.4434310373978767,1.3325476402755052,1.2481173521974265,False,5,10.4060319202657,0.02959570383113377,10.39279631914403,10.39279631914403,10.39279631914403,0.0,10.380090142067221,10.43197369846418,5,10.064412299117995,0.17675517292239132,9.9487186138684,9.9487186138684,10.231995770384517,0.2832771565161174,9.90947955896255,10.21934503927344,5,-0.34161962114770716,0.19278896129232326,-0.44407770527562995,-0.44407770527562995,-0.16080054875951255,0.2832771565161174,-0.5106065964701016,-0.17263264582531265,-0.34161962114770716,-0.44407770527562995,True,5,1.2824946145222171,0.003019137079804161,1.2811444153734508,1.2811444153734508,1.2811444153734508,0.0,1.2798482241906348,1.2851410048537995,5,1.339980485787526,0.025930298088142616,1.3220998358343172,1.3220998358343172,1.3651894495679608,0.04308961373364362,1.3172515773803735,1.3627093941946784,5,0.05748587126530889,0.027416656618009287,0.04095542046086642,0.04095542046086642,0.08404503419451004,0.04308961373364362,0.0334541121631627,0.08151763036745507,0.05748587126530889,0.04095542046086642,False,5,0.865353850160227,0.0003738743970501822,0.8655210518735972,0.8655210518735972,0.8655210518735972,0.0,0.8650261348020215,0.8656815655184326,5,0.8026665839776017,0.006351448017122165,0.807053397608134,0.7980474257532395,0.8072303970079384,0.009182971254698913,0.7970992943250399,0.8082338736301635,5,-0.06268726618262518,0.006504950489214076,-0.058290654865658764,-0.06747362612035768,-0.058290654865658764,0.009182971254698913,-0.06838910668441323,-0.056985425680837136,-0.06268726618262518,-0.058290654865658764,False
IceCreamHeater,S4,ChalML,14,14,7.955943789729162,5.015777712906485,6.619460654197326,6.5678397756659646,6.671081532728687,0.10324175706272243,5.3285187475413895,10.583368831916934,14,9.840025002565552,4.641061637724929,8.555017113942679,8.167996727885358,9.207489251574906,1.0394925236895478,7.408888244268221,12.271161760862883,14,1.8840812128363904,0.6294372139296744,1.6001569522193932,1.521558399522751,2.3742075983530526,0.8526491988303015,1.5543618366949379,2.213800588977843,1.8840812128363904,1.6001569522193932,False,14,10.016629769728452,5.7286353075575525,8.490847749481762,8.423773411799964,8.557922087163561,0.13414867536359765,7.015787083676511,13.017472455780393,14,12.883419709167503,5.167562904766554,11.51077318257616,10.67541909466331,12.600081860354887,1.9246627656915773,10.176484721174074,15.590354697160933,14,2.866789939439055,1.1263738650919024,2.251645682863346,2.150891837757576,3.8888166898481487,1.7379248520905728,2.2767592264764223,3.4568206524016873,2.866789939439055,2.251645682863346,False,14,16.0240066766499,12.30154488628342,12.744696087264106,12.636871719173945,12.852520455354268,0.21564873618032365,9.580063395700801,22.467949957599,14,18.48468970813634,12.07099100755965,15.005852295427337,14.603819503618196,16.35659260625112,1.7527731026329239,12.161517934459907,24.807861481812772,14,2.460683031486442,0.8631067920466382,1.9669477844442511,1.8035271058206064,2.7710317351791627,0.9675046293585563,2.008560044921393,2.9128060180514908,2.460683031486442,1.9669477844442511,False,14,1.8979865903602249,1.1965744217064487,1.5791523782889045,1.5668375935412269,1.5914671630365822,0.02462956949535533,1.2711825770278482,2.5247906036926016,14,2.3474569450564884,1.1071813710912415,2.040902775548417,1.94857438279618,2.196557893349569,0.24798351055338896,1.767479875266602,2.9274340148463747,14,0.44947035469626295,0.15015985822505296,0.381736789254953,0.3629861541345122,0.5663959303260553,0.2034097761915431,0.37081181071480535,0.5281288986777206,0.44947035469626295,0.381736789254953,False,14,0.5605659995988408,0.739048804627347,0.7577883365675258,0.753961822743902,0.7616148503911495,0.007653027647247512,0.1734285609359898,0.9477034382616918,14,0.359091602288308,0.7214494530153253,0.5525380610185135,0.4665774383669278,0.617143776222522,0.15056633785559426,-0.01882673221992559,0.7370099367965416,14,-0.20147439731053293,0.07516643945307938,-0.14447107416862748,-0.2717692476648326,-0.13872109404889887,0.13304815361593375,-0.24084898618892842,-0.16209980843213745,-0.20147439731053293,-0.14447107416862748,False
