branch,part0_model,metric,comparisons,wins,ties,losses,win_rate_pct,mean_delta_part2_minus_part0
Base,Auto-ARIMA,mae,7,4,0,3,57.14,1.2671433812142996
Base,Naive (Flat),mae,11,10,0,1,90.91,-18.319481475165485
Base,Naive (Seasonal),mae,11,5,0,6,45.45,-8.08974700026328
ChalDL,Auto-ARIMA,mae,8,1,0,7,12.5,81.12671377575971
ChalDL,Naive (Flat),mae,14,6,0,8,42.86,59.08206789818532
ChalDL,Naive (Seasonal),mae,14,3,0,11,21.43,67.08474015819472
ChalML,Auto-ARIMA,mae,9,3,0,6,33.33,11.943376460791686
ChalML,Naive (Flat),mae,18,15,0,3,83.33,-4.292483607101164
ChalML,Naive (Seasonal),mae,18,9,0,9,50.0,1.8131872485378497
Base,Auto-ARIMA,mase,7,4,0,3,57.14,1.2232866584642363
Base,Naive (Flat),mase,11,10,0,1,90.91,-0.611343053669438
Base,Naive (Seasonal),mase,11,5,0,6,45.45,0.2966421335078503
ChalDL,Auto-ARIMA,mase,8,1,0,7,12.5,5.925067128007518
ChalDL,Naive (Flat),mase,14,6,0,8,42.86,4.189773593557979
ChalDL,Naive (Seasonal),mase,14,3,0,11,21.43,4.45568152755894
ChalML,Auto-ARIMA,mase,9,3,0,6,33.33,0.7820595441394205
ChalML,Naive (Flat),mase,18,15,0,3,83.33,-0.28521615286091934
ChalML,Naive (Seasonal),mase,18,9,0,9,50.0,-0.14382546113981987
Base,Auto-ARIMA,r2,7,3,0,4,42.86,-1.238834688589618
Base,Naive (Flat),r2,11,8,0,3,72.73,-0.08956907066958206
Base,Naive (Seasonal),r2,11,4,0,7,36.36,-0.6441601471279378
ChalDL,Auto-ARIMA,r2,8,1,0,7,12.5,-19.658824949616132
ChalDL,Naive (Flat),r2,14,4,0,10,28.57,-12.859240132387056
ChalDL,Naive (Seasonal),r2,14,4,0,10,28.57,-13.195249486634086
ChalML,Auto-ARIMA,r2,9,3,0,6,33.33,-0.481822275448599
ChalML,Naive (Flat),r2,18,12,0,6,66.67,0.17899034965466484
ChalML,Naive (Seasonal),r2,18,9,0,9,50.0,-0.07017830400160559
Base,Auto-ARIMA,rmse,7,3,0,4,42.86,1.416724470805842
Base,Naive (Flat),rmse,11,10,0,1,90.91,-21.234641026600073
Base,Naive (Seasonal),rmse,11,5,0,6,45.45,-8.70121301596562
ChalDL,Auto-ARIMA,rmse,8,1,0,7,12.5,86.11793289583741
ChalDL,Naive (Flat),rmse,14,6,0,8,42.86,60.26461341031232
ChalDL,Naive (Seasonal),rmse,14,4,0,10,28.57,70.02465636999197
ChalML,Auto-ARIMA,rmse,9,3,0,6,33.33,16.267766242160494
ChalML,Naive (Flat),rmse,18,13,0,5,72.22,-3.534143463948107
ChalML,Naive (Seasonal),rmse,18,9,0,9,50.0,3.9030935657190073
Base,Auto-ARIMA,smape,7,4,0,3,57.14,12.826445946078454
Base,Naive (Flat),smape,11,9,0,2,81.82,0.05094985119481666
Base,Naive (Seasonal),smape,11,5,0,6,45.45,4.943608758498175
ChalDL,Auto-ARIMA,smape,8,1,0,7,12.5,39.493670839235094
ChalDL,Naive (Flat),smape,14,6,0,8,42.86,35.15508969897504
ChalDL,Naive (Seasonal),smape,14,3,0,11,21.43,35.38354917702913
ChalML,Auto-ARIMA,smape,9,3,0,6,33.33,5.317370669378221
ChalML,Naive (Flat),smape,18,15,0,3,83.33,-1.709541039946973
ChalML,Naive (Seasonal),smape,18,9,0,9,50.0,-2.2033230193968407
