branch,metric,n_pairs,base_median,challenger_median,median_difference,statistic,p_value,challenger_better_by_median
ChalML,mae,125,11.49637137855457,14.609764546756406,2.728130101760904,898.0,6.739335325719646e-14,False
ChalML,rmse,125,15.014304915841558,17.250379716751738,4.260968204487231,829.0,1.8171426572221e-14,False
ChalML,smape,125,10.39279631914403,14.603819503618196,3.0458454224406,1215.0,1.927716323614519e-11,False
ChalML,mase,125,1.2234197162982596,1.9482031054642808,0.44282903035347393,1113.0,3.334760618973659e-12,False
ChalML,r2,125,0.8655210518735972,0.2685869104362947,-0.1468035330275118,1256.0,3.834794689171953e-11,False
ChalDL,mae,121,11.49637137855457,39.706007325,33.4505822763443,334.0,3.878758368096546e-18,False
ChalDL,rmse,121,15.014304915841558,43.29370898495456,36.41803430545771,235.0,3.949343178245333e-19,False
ChalDL,smape,121,10.39279631914403,58.55645180310189,18.49430106117645,266.0,8.132609694389882e-19,False
ChalDL,mase,121,1.238321009785042,4.38763819769317,1.7100595985527625,254.0,6.153512504250109e-19,False
ChalDL,r2,121,0.8655210518735972,-1.3905637767643793,-1.6146172578237523,213.0,2.3562487373165728e-19,False
