dataset,error_category,runs,total_runs,rate_pct
AirPassengers,OK,189,216,87.5
AirPassengers,FORECAST_PARSE_FAILURE,6,216,2.78
AirPassengers,SCRIPT_TORCH_ERROR,6,216,2.78
AirPassengers,FORECAST_LENGTH_MISMATCH,4,216,1.85
AirPassengers,MODEL_RETURNED_ERROR,3,216,1.39
AirPassengers,SCRIPT_KEY_ERROR,2,216,0.93
AirPassengers,SCRIPT_VALUE_ERROR,2,216,0.93
AirPassengers,FORECAST_NUMPY_WRAPPED,1,216,0.46
AirPassengers,SCRIPT_NAME_ERROR,1,216,0.46
AirPassengers,SCRIPT_SYNTAX_ERROR,1,216,0.46
AirPassengers,SCRIPT_TYPE_ERROR,1,216,0.46
ETTh1,TIMEOUT,17,56,30.36
ETTh1,SCRIPT_ATTRIBUTE_ERROR,7,56,12.5
ETTh1,SCRIPT_SYNTAX_ERROR,6,56,10.71
ETTh1,SCRIPT_VALUE_ERROR,6,56,10.71
ETTh1,OK,5,56,8.93
ETTh1,SCRIPT_MODEL_WARNING_OUTPUT,4,56,7.14
ETTh1,MODEL_RETURNED_ERROR,3,56,5.36
ETTh1,SCRIPT_KEY_ERROR,2,56,3.57
ETTh1,SCRIPT_TORCH_ERROR,2,56,3.57
ETTh1,FORECAST_NUMPY_WRAPPED,1,56,1.79
ETTh1,SCRIPT_EMPTY_OUTPUT,1,56,1.79
ETTh1,SCRIPT_RUNTIME_ERROR,1,56,1.79
ETTh1,SCRIPT_TYPE_ERROR,1,56,1.79
ILINet,OK,99,216,45.83
ILINet,TIMEOUT,33,216,15.28
ILINet,FORECAST_PARSE_FAILURE,29,216,13.43
ILINet,SCRIPT_MODEL_WARNING_OUTPUT,7,216,3.24
ILINet,SCRIPT_TYPE_ERROR,7,216,3.24
ILINet,SCRIPT_RUNTIME_ERROR,6,216,2.78
ILINet,SCRIPT_SYNTAX_ERROR,6,216,2.78
ILINet,FORECAST_LENGTH_MISMATCH,5,216,2.31
ILINet,MODEL_RETURNED_ERROR,5,216,2.31
ILINet,SCRIPT_VALUE_ERROR,4,216,1.85
ILINet,FORECAST_NUMPY_WRAPPED,3,216,1.39
ILINet,SCRIPT_STATSMODELS_WARNING,3,216,1.39
ILINet,SCRIPT_TORCH_WARNING,3,216,1.39
ILINet,SCRIPT_TORCH_ERROR,2,216,0.93
ILINet,SCRIPT_ATTRIBUTE_ERROR,1,216,0.46
ILINet,SCRIPT_KEY_ERROR,1,216,0.46
ILINet,SCRIPT_SKLEARN_ERROR,1,216,0.46
ILINet,UNSTRUCTURED_TEXT_OUTPUT,1,216,0.46
IceCreamHeater,OK,180,216,83.33
IceCreamHeater,FORECAST_PARSE_FAILURE,11,216,5.09
IceCreamHeater,MODEL_RETURNED_ERROR,6,216,2.78
IceCreamHeater,FORECAST_LENGTH_MISMATCH,4,216,1.85
IceCreamHeater,UNSTRUCTURED_TEXT_OUTPUT,4,216,1.85
IceCreamHeater,FORECAST_NUMPY_WRAPPED,3,216,1.39
IceCreamHeater,SCRIPT_STATSMODELS_WARNING,3,216,1.39
IceCreamHeater,SCRIPT_KEY_ERROR,1,216,0.46
IceCreamHeater,SCRIPT_SKLEARN_ERROR,1,216,0.46
IceCreamHeater,SCRIPT_SYNTAX_ERROR,1,216,0.46
IceCreamHeater,SCRIPT_TORCH_ERROR,1,216,0.46
IceCreamHeater,SCRIPT_VALUE_ERROR,1,216,0.46
Temperature,TIMEOUT,97,216,44.91
Temperature,OK,62,216,28.7
Temperature,SCRIPT_VALUE_ERROR,16,216,7.41
Temperature,FORECAST_LENGTH_MISMATCH,13,216,6.02
Temperature,FORECAST_PARSE_FAILURE,10,216,4.63
Temperature,SCRIPT_MODEL_WARNING_OUTPUT,5,216,2.31
Temperature,SCRIPT_SYNTAX_ERROR,4,216,1.85
Temperature,FORECAST_NUMPY_WRAPPED,2,216,0.93
Temperature,SCRIPT_TORCH_ERROR,2,216,0.93
Temperature,UNSTRUCTURED_TEXT_OUTPUT,2,216,0.93
Temperature,NO_FORECAST_LIST_FOUND,1,216,0.46
Temperature,SCRIPT_MISSING_IMPORT,1,216,0.46
Temperature,SCRIPT_TYPE_ERROR,1,216,0.46
