llm_version,dataset,error_category,runs,total_runs,rate_pct
ClaudeOpus47,AirPassengers,OK,34,36,94.44
ClaudeOpus47,AirPassengers,OTHER_FAIL,2,36,5.56
ClaudeOpus47,ETTh1,OTHER_FAIL,4,4,100.0
ClaudeOpus47,ILINet,OK,24,36,66.67
ClaudeOpus47,ILINet,TIMEOUT,7,36,19.44
ClaudeOpus47,ILINet,OTHER_FAIL,5,36,13.89
ClaudeOpus47,IceCreamHeater,OK,33,36,91.67
ClaudeOpus47,IceCreamHeater,OTHER_FAIL,3,36,8.33
ClaudeOpus47,Temperature,TIMEOUT,22,36,61.11
ClaudeOpus47,Temperature,OK,10,36,27.78
ClaudeOpus47,Temperature,FORECAST_LENGTH_MISMATCH,4,36,11.11
DeepSeekV4Pro,AirPassengers,OK,29,36,80.56
DeepSeekV4Pro,AirPassengers,OTHER_FAIL,7,36,19.44
DeepSeekV4Pro,ETTh1,OTHER_FAIL,19,36,52.78
DeepSeekV4Pro,ETTh1,TIMEOUT,12,36,33.33
DeepSeekV4Pro,ETTh1,OK,4,36,11.11
DeepSeekV4Pro,ETTh1,SCRIPT_SYNTAX_ERROR,1,36,2.78
DeepSeekV4Pro,ILINet,OTHER_FAIL,22,36,61.11
DeepSeekV4Pro,ILINet,TIMEOUT,7,36,19.44
DeepSeekV4Pro,ILINet,OK,5,36,13.89
DeepSeekV4Pro,ILINet,MODEL_RETURNED_ERROR,1,36,2.78
DeepSeekV4Pro,ILINet,SCRIPT_SYNTAX_ERROR,1,36,2.78
DeepSeekV4Pro,IceCreamHeater,OK,31,36,86.11
DeepSeekV4Pro,IceCreamHeater,OTHER_FAIL,4,36,11.11
DeepSeekV4Pro,IceCreamHeater,MODEL_RETURNED_ERROR,1,36,2.78
DeepSeekV4Pro,Temperature,TIMEOUT,20,36,55.56
DeepSeekV4Pro,Temperature,FORECAST_LENGTH_MISMATCH,6,36,16.67
DeepSeekV4Pro,Temperature,OK,6,36,16.67
DeepSeekV4Pro,Temperature,SCRIPT_VALUE_ERROR,3,36,8.33
DeepSeekV4Pro,Temperature,SCRIPT_NAME_ERROR,1,36,2.78
GPT55,AirPassengers,OK,35,36,97.22
GPT55,AirPassengers,SCRIPT_SYNTAX_ERROR,1,36,2.78
GPT55,ETTh1,SCRIPT_SYNTAX_ERROR,4,4,100.0
GPT55,ILINet,OK,24,36,66.67
GPT55,ILINet,TIMEOUT,9,36,25.0
GPT55,ILINet,SCRIPT_SYNTAX_ERROR,3,36,8.33
GPT55,IceCreamHeater,OK,32,36,88.89
GPT55,IceCreamHeater,OTHER_FAIL,3,36,8.33
GPT55,IceCreamHeater,SCRIPT_SYNTAX_ERROR,1,36,2.78
GPT55,Temperature,TIMEOUT,26,36,72.22
GPT55,Temperature,OK,7,36,19.44
GPT55,Temperature,SCRIPT_SYNTAX_ERROR,3,36,8.33
Gemini31Pro,AirPassengers,OK,29,36,80.56
Gemini31Pro,AirPassengers,OTHER_FAIL,7,36,19.44
Gemini31Pro,ETTh1,OK,2,5,40.0
Gemini31Pro,ETTh1,TIMEOUT,2,5,40.0
Gemini31Pro,ETTh1,OTHER_FAIL,1,5,20.0
Gemini31Pro,ILINet,OK,28,36,77.78
Gemini31Pro,ILINet,TIMEOUT,6,36,16.67
Gemini31Pro,ILINet,OTHER_FAIL,2,36,5.56
Gemini31Pro,IceCreamHeater,OK,29,36,80.56
Gemini31Pro,IceCreamHeater,OTHER_FAIL,7,36,19.44
Gemini31Pro,Temperature,TIMEOUT,17,36,47.22
Gemini31Pro,Temperature,OK,7,36,19.44
Gemini31Pro,Temperature,SCRIPT_VALUE_ERROR,7,36,19.44
Gemini31Pro,Temperature,FORECAST_LENGTH_MISMATCH,4,36,11.11
Gemini31Pro,Temperature,SCRIPT_TYPE_ERROR,1,36,2.78
Grok43,AirPassengers,OK,33,36,91.67
Grok43,AirPassengers,OTHER_FAIL,2,36,5.56
Grok43,AirPassengers,MODEL_RETURNED_ERROR,1,36,2.78
Grok43,ETTh1,MODEL_RETURNED_ERROR,2,7,28.57
Grok43,ETTh1,OK,2,7,28.57
Grok43,ETTh1,TIMEOUT,2,7,28.57
Grok43,ETTh1,OTHER_FAIL,1,7,14.29
Grok43,ILINet,OTHER_FAIL,23,36,63.89
Grok43,ILINet,TIMEOUT,5,36,13.89
Grok43,ILINet,MODEL_RETURNED_ERROR,4,36,11.11
Grok43,ILINet,FORECAST_LENGTH_MISMATCH,3,36,8.33
Grok43,ILINet,UNSTRUCTURED_TEXT_OUTPUT,1,36,2.78
Grok43,IceCreamHeater,OK,30,36,83.33
Grok43,IceCreamHeater,MODEL_RETURNED_ERROR,5,36,13.89
Grok43,IceCreamHeater,OTHER_FAIL,1,36,2.78
Grok43,Temperature,TIMEOUT,19,36,52.78
Grok43,Temperature,OK,10,36,27.78
Grok43,Temperature,SCRIPT_VALUE_ERROR,5,36,13.89
Grok43,Temperature,SCRIPT_TENSOR_SHAPE_ERROR,2,36,5.56
KimiK26,AirPassengers,OK,29,36,80.56
KimiK26,AirPassengers,FORECAST_LENGTH_MISMATCH,4,36,11.11
KimiK26,AirPassengers,MODEL_RETURNED_ERROR,2,36,5.56
KimiK26,AirPassengers,OTHER_FAIL,1,36,2.78
KimiK26,ETTh1,MODEL_RETURNED_ERROR,1,4,25.0
KimiK26,ETTh1,OTHER_FAIL,1,4,25.0
KimiK26,ETTh1,SCRIPT_SYNTAX_ERROR,1,4,25.0
KimiK26,ETTh1,TIMEOUT,1,4,25.0
KimiK26,ILINet,OTHER_FAIL,15,36,41.67
KimiK26,ILINet,OK,13,36,36.11
KimiK26,ILINet,TIMEOUT,6,36,16.67
KimiK26,ILINet,SCRIPT_SYNTAX_ERROR,2,36,5.56
KimiK26,IceCreamHeater,OK,25,36,69.44
KimiK26,IceCreamHeater,FORECAST_LENGTH_MISMATCH,4,36,11.11
KimiK26,IceCreamHeater,UNSTRUCTURED_TEXT_OUTPUT,4,36,11.11
KimiK26,IceCreamHeater,OTHER_FAIL,3,36,8.33
KimiK26,Temperature,TIMEOUT,21,36,58.33
KimiK26,Temperature,OK,6,36,16.67
KimiK26,Temperature,FORECAST_LENGTH_MISMATCH,5,36,13.89
KimiK26,Temperature,UNSTRUCTURED_TEXT_OUTPUT,2,36,5.56
KimiK26,Temperature,SCRIPT_SYNTAX_ERROR,1,36,2.78
KimiK26,Temperature,SCRIPT_VALUE_ERROR,1,36,2.78
