llm_version,error_category,runs,total_runs,rate_pct
ClaudeOpus47,OK,105,148,70.95
ClaudeOpus47,TIMEOUT,24,148,16.22
ClaudeOpus47,FORECAST_PARSE_FAILURE,10,148,6.76
ClaudeOpus47,SCRIPT_ATTRIBUTE_ERROR,4,148,2.7
ClaudeOpus47,SCRIPT_MODEL_WARNING_OUTPUT,3,148,2.03
ClaudeOpus47,NO_FORECAST_LIST_FOUND,1,148,0.68
ClaudeOpus47,SCRIPT_TYPE_ERROR,1,148,0.68
DeepSeekV4Pro,OK,75,180,41.67
DeepSeekV4Pro,TIMEOUT,34,180,18.89
DeepSeekV4Pro,SCRIPT_VALUE_ERROR,11,180,6.11
DeepSeekV4Pro,FORECAST_PARSE_FAILURE,9,180,5.0
DeepSeekV4Pro,SCRIPT_MODEL_WARNING_OUTPUT,7,180,3.89
DeepSeekV4Pro,SCRIPT_KEY_ERROR,6,180,3.33
DeepSeekV4Pro,FORECAST_LENGTH_MISMATCH,5,180,2.78
DeepSeekV4Pro,FORECAST_NUMPY_WRAPPED,5,180,2.78
DeepSeekV4Pro,SCRIPT_RUNTIME_ERROR,5,180,2.78
DeepSeekV4Pro,SCRIPT_ATTRIBUTE_ERROR,4,180,2.22
DeepSeekV4Pro,SCRIPT_TORCH_ERROR,4,180,2.22
DeepSeekV4Pro,SCRIPT_TYPE_ERROR,3,180,1.67
DeepSeekV4Pro,MODEL_RETURNED_ERROR,2,180,1.11
DeepSeekV4Pro,SCRIPT_STATSMODELS_WARNING,2,180,1.11
DeepSeekV4Pro,SCRIPT_SYNTAX_ERROR,2,180,1.11
DeepSeekV4Pro,SCRIPT_TORCH_WARNING,2,180,1.11
DeepSeekV4Pro,SCRIPT_EMPTY_OUTPUT,1,180,0.56
DeepSeekV4Pro,SCRIPT_MISSING_IMPORT,1,180,0.56
DeepSeekV4Pro,SCRIPT_NAME_ERROR,1,180,0.56
DeepSeekV4Pro,SCRIPT_SKLEARN_ERROR,1,180,0.56
GPT55,OK,109,148,73.65
GPT55,TIMEOUT,24,148,16.22
GPT55,SCRIPT_SYNTAX_ERROR,12,148,8.11
GPT55,FORECAST_PARSE_FAILURE,2,148,1.35
GPT55,SCRIPT_STATSMODELS_WARNING,1,148,0.68
Gemini31Pro,OK,96,148,64.86
Gemini31Pro,TIMEOUT,20,148,13.51
Gemini31Pro,FORECAST_PARSE_FAILURE,13,148,8.78
Gemini31Pro,SCRIPT_VALUE_ERROR,8,148,5.41
Gemini31Pro,FORECAST_LENGTH_MISMATCH,3,148,2.03
Gemini31Pro,FORECAST_NUMPY_WRAPPED,3,148,2.03
Gemini31Pro,SCRIPT_TORCH_ERROR,3,148,2.03
Gemini31Pro,SCRIPT_MODEL_WARNING_OUTPUT,1,148,0.68
Gemini31Pro,SCRIPT_TYPE_ERROR,1,148,0.68
Grok43,OK,76,148,51.35
Grok43,TIMEOUT,23,148,15.54
Grok43,MODEL_RETURNED_ERROR,12,148,8.11
Grok43,FORECAST_PARSE_FAILURE,10,148,6.76
Grok43,SCRIPT_VALUE_ERROR,8,148,5.41
Grok43,SCRIPT_TORCH_ERROR,5,148,3.38
Grok43,SCRIPT_TYPE_ERROR,5,148,3.38
Grok43,FORECAST_LENGTH_MISMATCH,3,148,2.03
Grok43,SCRIPT_MODEL_WARNING_OUTPUT,3,148,2.03
Grok43,FORECAST_NUMPY_WRAPPED,2,148,1.35
Grok43,UNSTRUCTURED_TEXT_OUTPUT,1,148,0.68
KimiK26,OK,74,148,50.0
KimiK26,TIMEOUT,22,148,14.86
KimiK26,FORECAST_LENGTH_MISMATCH,15,148,10.14
KimiK26,FORECAST_PARSE_FAILURE,12,148,8.11
KimiK26,UNSTRUCTURED_TEXT_OUTPUT,6,148,4.05
KimiK26,SCRIPT_SYNTAX_ERROR,4,148,2.7
KimiK26,MODEL_RETURNED_ERROR,3,148,2.03
KimiK26,SCRIPT_STATSMODELS_WARNING,3,148,2.03
KimiK26,SCRIPT_MODEL_WARNING_OUTPUT,2,148,1.35
KimiK26,SCRIPT_RUNTIME_ERROR,2,148,1.35
KimiK26,SCRIPT_VALUE_ERROR,2,148,1.35
KimiK26,SCRIPT_SKLEARN_ERROR,1,148,0.68
KimiK26,SCRIPT_TORCH_ERROR,1,148,0.68
KimiK26,SCRIPT_TORCH_WARNING,1,148,0.68
