dataset,error_group,runs,total_runs,rate_pct
AirPassengers,OK,189,216,87.5
AirPassengers,model/output issue,14,216,6.48
AirPassengers,code issue,13,216,6.02
ETTh1,code issue,30,56,53.57
ETTh1,runtime/infra issue,17,56,30.36
ETTh1,OK,5,56,8.93
ETTh1,model/output issue,4,56,7.14
ILINet,OK,99,216,45.83
ILINet,model/output issue,43,216,19.91
ILINet,code issue,41,216,18.98
ILINet,runtime/infra issue,33,216,15.28
IceCreamHeater,OK,180,216,83.33
IceCreamHeater,model/output issue,28,216,12.96
IceCreamHeater,code issue,8,216,3.7
Temperature,runtime/infra issue,97,216,44.91
Temperature,OK,62,216,28.7
Temperature,code issue,29,216,13.43
Temperature,model/output issue,28,216,12.96
