llm_version,error_group,runs,total_runs,rate_pct
ClaudeOpus47,OK,105,148,70.95
ClaudeOpus47,runtime/infra issue,24,148,16.22
ClaudeOpus47,model/output issue,11,148,7.43
ClaudeOpus47,code issue,8,148,5.41
DeepSeekV4Pro,OK,75,180,41.67
DeepSeekV4Pro,code issue,50,180,27.78
DeepSeekV4Pro,runtime/infra issue,34,180,18.89
DeepSeekV4Pro,model/output issue,21,180,11.67
GPT55,OK,109,148,73.65
GPT55,runtime/infra issue,24,148,16.22
GPT55,code issue,13,148,8.78
GPT55,model/output issue,2,148,1.35
Gemini31Pro,OK,96,148,64.86
Gemini31Pro,runtime/infra issue,20,148,13.51
Gemini31Pro,model/output issue,19,148,12.84
Gemini31Pro,code issue,13,148,8.78
Grok43,OK,76,148,51.35
Grok43,model/output issue,28,148,18.92
Grok43,runtime/infra issue,23,148,15.54
Grok43,code issue,21,148,14.19
KimiK26,OK,74,148,50.0
KimiK26,model/output issue,36,148,24.32
KimiK26,runtime/infra issue,22,148,14.86
KimiK26,code issue,16,148,10.81
